"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","http://www.moib.gov.pk/","1","25333","25333","0","25333","25333","26570","26570","0","26570","26570","2012","2012","0","2012","2012","8176","8176","0","8176","8176","10587042","10587042","0","10587042","10587042","216","216","0","216","216","25333","25333","0","25333","25333","11952","11952","0","11952","11952","30155","30155","0","30155","30155","30155","30155","0","30155","30155","230330_87_9H"
"","http://www.moib.gov.pk/Pages/146/Logo","1","11502","11502","0","11502","11502","12507","12507","0","12507","12507","1458","1458","0","1458","1458","7678","7678","0","7678","7678","3490195","3490195","0","3490195","3490195","43","43","0","43","43","11502","11502","0","11502","11502","7992","7992","0","7992","7992","9158","9158","0","9158","9158","9158","9158","0","9158","9158","230330_4T_9J"
"","http://www.moib.gov.pk/Pages/132/The-Ministry","1","9235","9235","0","9235","9235","10266","10266","0","10266","10266","1120","1120","0","1120","1120","7286","7286","0","7286","7286","3485976","3485976","0","3485976","3485976","43","43","0","43","43","9235","9235","0","9235","9235","7612","7612","0","7612","7612","8776","8776","0","8776","8776","8776","8776","0","8776","8776","230330_EH_9K"
"","http://www.moib.gov.pk/Pages/133/Vision-Mission-and-Values","1","9733","9733","0","9733","9733","10799","10799","0","10799","10799","1248","1248","0","1248","1248","7610","7610","0","7610","7610","3485559","3485559","0","3485559","3485559","43","43","0","43","43","9733","9733","0","9733","9733","7949","7949","0","7949","7949","9066","9066","0","9066","9066","9066","9066","0","9066","9066","230330_AR_9M"
"","http://www.moib.gov.pk/Pages/1217/MediaCoordinator","1","9576","9576","0","9576","9576","10609","10609","0","10609","10609","1269","1269","0","1269","1269","7530","7530","0","7530","7530","3505920","3505920","0","3505920","3505920","44","44","0","44","44","9576","9576","0","9576","9576","8041","8041","0","8041","8041","9037","9037","0","9037","9037","9037","9037","0","9037","9037","230330_MA_9N"
"","http://www.moib.gov.pk/Pages/15/Media-laws-Rules","1","9793","9793","0","9793","9793","11107","11107","0","11107","11107","1260","1260","0","1260","1260","7648","7648","0","7648","7648","3503144","3503144","0","3503144","3503144","43","43","0","43","43","9794","9794","0","9794","9794","7985","7985","0","7985","7985","9145","9145","0","9145","9145","9145","9145","0","9145","9145","230330_PK_9P"
"","http://www.moib.gov.pk/Pages/50/Notifications","1","10424","10424","0","10424","10424","11490","11490","0","11490","11490","1550","1550","0","1550","1550","7763","7763","0","7763","7763","3502060","3502060","0","3502060","3502060","44","44","0","44","44","10424","10424","0","10424","10424","8111","8111","0","8111","8111","9226","9226","0","9226","9226","9226","9226","0","9226","9226","230330_YG_9Q"
"","http://www.moib.gov.pk/Pages/1222/Posting-of-Press-Officers-Abroad","1","14380","14380","0","14380","14380","15402","15402","0","15402","15402","1497","1497","0","1497","1497","12342","12342","0","12342","12342","3485632","3485632","0","3485632","3485632","43","43","0","43","43","14380","14380","0","14380","14380","12654","12654","0","12654","12654","13839","13839","0","13839","13839","13839","13839","0","13839","13839","230330_TQ_9R"
"","http://www.moib.gov.pk/Pages/1198/YearBooks","1","9562","9562","0","9562","9562","10594","10594","0","10594","10594","1401","1401","0","1401","1401","7507","7507","0","7507","7507","3485491","3485491","0","3485491","3485491","43","43","0","43","43","9562","9562","0","9562","9562","7894","7894","0","7894","7894","8977","8977","0","8977","8977","8977","8977","0","8977","8977","230330_KB_9S"
"","http://www.moib.gov.pk/Pages/1196/RTA","1","9630","9630","0","9630","9630","10661","10661","0","10661","10661","1092","1092","0","1092","1092","7581","7581","0","7581","7581","3485879","3485879","0","3485879","3485879","43","43","0","43","43","9630","9630","0","9630","9630","7906","7906","0","7906","7906","9070","9070","0","9070","9070","9070","9070","0","9070","9070","230330_JZ_9T"
