"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","cpu.FunctionCall","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings",
"3","230330_N2_B8","44555FB70DC7CC79D2342AF8489F3381","127.0.0.1","https://moitt.gov.pk/","1","GET","moitt.gov.pk","/","44555FB70DC7CC79D2342AF8489F3381","FEB908BE3AA5B5CF9814FEBF19D414E0","https://moitt.gov.pk/","200","Document","20632","20486","1920","1920.343","87234","87234","87234","","private","text/html","","30","http/1.1","631","631","700","703","704","1918","","","","script","Highest","Highest","","2080","-1","-1","18","-1","100","-1","-1","-1","-1","0","3","1214","87234","71034","","","","","","","","67","TLS 1.3","False","http/1.1","4865","8081","1","1","22552","1920","22406","22406","22552","146","700","22552","21849","0","1","4","3","7","1","0","","","","","","","","","","",
"3","230330_N2_B8","10762.4","127.0.0.1","https://moitt.gov.pk/Content/css/bootstrap.min.css","1","GET","moitt.gov.pk","/Content/css/bootstrap.min.css","10762.4","FEB908BE3AA5B5CF9814FEBF19D414E0","https://moitt.gov.pk/","200","Stylesheet","2235","2009","22627","22626.514","166888","166888","166888","","","text/css","","30","http/1.1","-1","-1","-1","-1","-1","-1","https://moitt.gov.pk/","90","","parser","Highest","Highest","","1873","0","0","13","-1","100","-1","-1","-1","-1","-1","-1","-1","166888","144164","","","","","0","","","22619","","","","","8081","","","24862","22627","24636","24636","24862","226","22627","24862","2235","1","2","","","","1","0","blocking","","","","","","","","","",
"3","230330_N2_B8","10762.5","127.0.0.1","https://moitt.gov.pk/Content/css/jquery-ui.min.css","1","GET","moitt.gov.pk","/Content/css/jquery-ui.min.css","10762.5","FEB908BE3AA5B5CF9814FEBF19D414E0","https://moitt.gov.pk/","200","Stylesheet","1676","1642","22710","22710.331","29279","29279","29279","","","text/css","","44","http/1.1","-1","-1","22634","22637","22637","22668","https://moitt.gov.pk/","91","","parser","Highest","Highest","","1873","0","0","24","-1","100","-1","-1","-1","-1","-1","3","31","29279","22066","","","","","0","","","22623","TLS 1.3","False","http/1.1","4865","8081","","","24386","22710","24352","24352","24386","34","22634","24386","1710","2","3","","","","1","0","blocking","","","","","","","","","",
"3","230330_N2_B8","10762.6","127.0.0.1","https://moitt.gov.pk/Content/css/animate.css","1","GET","moitt.gov.pk","/Content/css/animate.css","10762.6","FEB908BE3AA5B5CF9814FEBF19D414E0","https://moitt.gov.pk/","200","Stylesheet","2477","2232","22734","22733.823","88597","88597","88597","","","text/css","","50","http/1.1","-1","-1","22645","22647","22647","22680","https://moitt.gov.pk/","92","","parser","Highest","Highest","","1855","0","0","7","-1","100","-1","-1","-1","-1","-1","2","33","88597","82141","","","","","0","","","22630","TLS 1.3","False","http/1.1","4865","8081","","","25211","22734","24966","24966","25211","245","22645","25211","2512","3","4","","","","1","0","blocking","","","","","","","","","",
"3","230330_N2_B8","10762.7","127.0.0.1","https://moitt.gov.pk/Content/css/css-plugin-collections.css","1","GET","moitt.gov.pk","/Content/css/css-plugin-collections.css","10762.7","FEB908BE3AA5B5CF9814FEBF19D414E0","https://moitt.gov.pk/","200","Stylesheet","4818","4042","22735","22734.698","321650","321650","321650","","","text/css","","58","http/1.1","-1","-1","22660","22662","22662","22687","https://moitt.gov.pk/","93","","parser","Highest","Highest","","1900","0","0","12","-1","100","-1","-1","-1","-1","-1","2","25","321650","281254","","","","","0","","","22639","TLS 1.3","False","http/1.1","4865","8081","","","27553","22735","26777","26777","27553","776","22660","27553","4845","4","5","","","","1","0","blocking","","","","","","","","","",
"3","230330_N2_B8","10762.8","127.0.0.1","https://moitt.gov.pk/Content/css/menuzord-skins/menuzord-rounded-boxed.css","1","GET","moitt.gov.pk","/Content/css/menuzord-skins/menuzord-rounded-boxed.css","10762.8","FEB908BE3AA5B5CF9814FEBF19D414E0","https://moitt.gov.pk/","200","Stylesheet","1208","1202","22743","22743.413","2501","2501","2501","","","text/css","","64","http/1.1","-1","-1","22684","22688","22688","22707","https://moitt.gov.pk/","95","","parser","Highest","Highest","","1945","0","0","24","-1","100","-1","-1","-1","-1","-1","4","19","2501","1879","","","","","0","","","22651","TLS 1.3","True","http/1.1","4865","8081","","","23951","22743","23945","23945","23951","6","22684","23951","1231","5","6","","","","1","0","blocking","","","","","","","","","",
"3","230330_N2_B8","10762.20","127.0.0.1","https://fonts.googleapis.com/css2?family=Open+Sans&family=Roboto:wght@300&display=swap","1","GET","fonts.googleapis.com","/css2?family=Open+Sans&family=Roboto:wght@300&display=swap","10762.20","FEB908BE3AA5B5CF9814FEBF19D414E0","https://moitt.gov.pk/","200","Stylesheet","766","759","22748","22747.593","770","770","5726","Thu, 30 Mar 2023 14:42:07 GMT","private, max-age=86400, stale-while-revalidate=604800","text/css","gzip","126","HTTP/2","22645","22646","22724","22725","22725","22740","https://moitt.gov.pk/","115","","parser","Highest","Highest","","1840","50","100","100","-1","100","-1","-1","-1","-1","1","1","15","770","0","","","","","86400","Google","","22702","TLS 1.3","False","h2","4865","8081","","","23514","22748","23507","23507","23514","7","22645","23514","783","6","7","","","","1","0","blocking","1","0","256","1","","","","","",
"3","230330_N2_B8","10762.21","127.0.0.1","https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css","1","GET","cdnjs.cloudflare.com","/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css","10762.21","FEB908BE3AA5B5CF9814FEBF19D414E0","https://moitt.gov.pk/","200","Stylesheet","516","498","22749","22748.698","6874","6874","31000","Tue, 19 Mar 2024 14:42:07 GMT","public, max-age=30672000","text/css","gzip","134","HTTP/2","22651","22651","22730","22730","22730","22746","https://moitt.gov.pk/","116","","parser","Highest","Highest","","1828","100","100","100","-1","100","-1","-1","-1","-1","0","0","16","6874","0","","","","","30079864","Cloudflare","","22704","TLS 1.3","False","h2","4865","8081","","","23265","22749","23247","23247","23265","18","22730","23265","532","7","8","","","","1","0","blocking","1","0","256","1","","","","","",
"3","230330_N2_B8","10762.40","127.0.0.1","https://cdnjs.cloudflare.com/ajax/libs/prettyPhoto/3.1.6/js/jquery.prettyPhoto.min.js","1","GET","cdnjs.cloudflare.com","/ajax/libs/prettyPhoto/3.1.6/js/jquery.prettyPhoto.min.js","10762.40","FEB908BE3AA5B5CF9814FEBF19D414E0","https://moitt.gov.pk/","200","Script","529","525","22750","22749.876","6168","6168","23576","Tue, 19 Mar 2024 14:42:07 GMT","public, max-age=30672000","application/javascript","gzip","134","HTTP/2","-1","-1","-1","-1","-1","-1","https://moitt.gov.pk/","1504","","parser","High","High","","1795","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","6168","0","","","","","30378942","Cloudflare","","22715","","","","","8081","","","23279","22750","23275","23275","23279","4","22750","23279","529","8","9","7","6","13","1","0","in_body_parser_blocking","3","1","220","1","","","","","",
"3","230330_N2_B8","10762.9","127.0.0.1","https://moitt.gov.pk/Content/css/style-main.css","1","GET","moitt.gov.pk","/Content/css/style-main.css","10762.9","FEB908BE3AA5B5CF9814FEBF19D414E0","https://moitt.gov.pk/","200","Stylesheet","2833","2475","23958","23957.929","224390","224390","224390","","","text/css","","64","http/1.1","-1","-1","-1","-1","-1","-1","https://moitt.gov.pk/","97","","parser","Highest","Highest","","1864","0","0","14","-1","100","-1","-1","-1","-1","-1","-1","-1","224390","191811","","","","","0","","","22655","","","","","8081","","","26791","23958","26433","26433","26791","358","23958","26791","2833","9","10","","","","1","0","blocking","","","","","","","","","",
