"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpu.FunctionCall","cpuTime","run","cached","renderBlocking","initiator_function","jpeg_scan_count","score_progressive_jpeg","http2_server_settings",
"3","230330_07_JP","B22530DCE8D6AEF30FDB2E4BBD2DA45E","127.0.0.1","https://www.supremecourt.gov.pk/","1","GET","www.supremecourt.gov.pk","/","B22530DCE8D6AEF30FDB2E4BBD2DA45E","54167B8B2F37A8ADE5E805FD446B36B7","https://www.supremecourt.gov.pk/","200","Document","1586","1556","404","403.537","22404","22404","116160","Thu, 30 Mar 2023 19:31:36 GMT","max-age=0","text/html","gzip","25","HTTP/2","0","0","76","79","80","396","","","","script","Highest","Highest","","2137","-1","100","100","-1","100","-1","-1","-1","-1","-1","3","316","22879","0","","","","","","Cloudflare","","86","1","0","256","1","TLS 1.3","False","h2","4865","8081","1","1","1990","404","1960","1960","1990","30","76","1990","1905","0","1","278","8","223","509","1","0","","","","","",
"3","230330_07_JP","30058.4","127.0.0.1","https://fonts.googleapis.com/css?family=Source%20Sans%20Pro:200,300,400,600,700,900,200italic,300italic,400italic,600italic,700italic,900italic%7CRoboto:100,300,400,500,700,900,100italic,300italic,400italic,500italic,700italic,900italic%7CRoboto%20Condensed:300,400,700,300italic,400italic,700italic&display=swap&ver=1676353682","1","GET","fonts.googleapis.com","/css?family=Source%20Sans%20Pro:200,300,400,600,700,900,200italic,300italic,400italic,600italic,700italic,900italic%7CRoboto:100,300,400,500,700,900,100italic,300italic,400italic,500italic,700italic,900italic%7CRoboto%20Condensed:300,400,700,300italic,400italic,700italic&display=swap&ver=1676353682","30058.4","54167B8B2F37A8ADE5E805FD446B36B7","https://www.supremecourt.gov.pk/","200","Stylesheet","801","797","2184","2184.178","2652","2652","80827","Thu, 30 Mar 2023 19:31:37 GMT","private, max-age=86400, stale-while-revalidate=604800","text/css","gzip","36","HTTP/2","2079","2079","2146","2149","2150","2159","https://www.supremecourt.gov.pk/","76","","parser","Highest","Highest","","2698","50","100","100","-1","100","-1","-1","-1","-1","0","3","9","2652","0","","","","","86400","Google","","2142","1","0","256","1","TLS 1.3","False","h2","4865","8081","","","2985","2184","2981","2981","2985","4","2146","2985","813","1","2","","","","","1","0","non_blocking","","","","",
"3","230330_07_JP","30058.5","127.0.0.1","https://www.supremecourt.gov.pk/wp-content/plugins/wp-smart-preloader/assets/css/wsp-front-preloader.css","1","GET","www.supremecourt.gov.pk","/wp-content/plugins/wp-smart-preloader/assets/css/wsp-front-preloader.css","30058.5","54167B8B2F37A8ADE5E805FD446B36B7","https://www.supremecourt.gov.pk/","200","Stylesheet","84","82","2191","2191.088","246","246","546","Thu, 20 Apr 2023 08:25:28 GMT","max-age=3600","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.supremecourt.gov.pk/","76","","parser","Highest","Highest","","2032","0","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","246","0","","","","","-295836","Cloudflare","","2160","3","0","256","1","","","","","8081","","","2275","2191","2273","2273","2275","2","2191","2275","84","2","3","","","","","1","0","blocking","","","","",
"3","230330_07_JP","30058.6","127.0.0.1","https://www.supremecourt.gov.pk/wp-content/plugins/wp-smart-preloader/assets/css/wsp-smart-preload-style.css","1","GET","www.supremecourt.gov.pk","/wp-content/plugins/wp-smart-preloader/assets/css/wsp-smart-preload-style.css","30058.6","54167B8B2F37A8ADE5E805FD446B36B7","https://www.supremecourt.gov.pk/","200","Stylesheet","103","102","2216","2215.518","1766","1766","12357","Thu, 20 Apr 2023 08:25:28 GMT","max-age=3600","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.supremecourt.gov.pk/","76","","parser","Highest","Highest","","2044","0","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1766","0","","","","","-295835","Cloudflare","","2180","5","3","256","1","","","","","8081","","","2319","2216","2318","2318","2319","1","2216","2319","103","3","4","","","","","1","0","blocking","","","","",
"3","230330_07_JP","30058.7","127.0.0.1","https://www.supremecourt.gov.pk/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css","1","GET","www.supremecourt.gov.pk","/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css","30058.7","54167B8B2F37A8ADE5E805FD446B36B7","https://www.supremecourt.gov.pk/","200","Stylesheet","133","130","2254","2254.182","5214","5214","22659","Thu, 20 Apr 2023 08:25:28 GMT","max-age=3600","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.supremecourt.gov.pk/","76","","parser","Highest","Highest","","2023","0","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","5311","0","","","","","-295835","Cloudflare","","2196","7","5","256","1","","","","","8081","","","2387","2254","2384","2384","2387","3","2254","2387","133","4","5","","","","","1","0","blocking","","","","",
"3","230330_07_JP","30058.8","127.0.0.1","https://www.supremecourt.gov.pk/wp-includes/css/dist/block-library/style.min.css","1","GET","www.supremecourt.gov.pk","/wp-includes/css/dist/block-library/style.min.css","30058.8","54167B8B2F37A8ADE5E805FD446B36B7","https://www.supremecourt.gov.pk/","200","Stylesheet","110","106","2269","2269.177","15139","15139","88932","Thu, 20 Apr 2023 08:25:27 GMT","max-age=3600","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.supremecourt.gov.pk/","76","","parser","Highest","Highest","","1960","0","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","15259","0","","","","","-295836","Cloudflare","","2200","9","7","256","1","","","","","8081","","","2379","2269","2375","2375","2379","4","2269","2379","110","5","6","","","","","1","0","blocking","","","","",
"3","230330_07_JP","30058.9","127.0.0.1","https://www.supremecourt.gov.pk/wp-content/plugins/download-manager/assets/fontawesome/css/all.css","1","GET","www.supremecourt.gov.pk","/wp-content/plugins/download-manager/assets/fontawesome/css/all.css","30058.9","54167B8B2F37A8ADE5E805FD446B36B7","https://www.supremecourt.gov.pk/","200","Stylesheet","224","220","2276","2276.316","11392","11392","45687","Sun, 16 Apr 2023 11:07:43 GMT","max-age=3600","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.supremecourt.gov.pk/","76","","parser","Highest","Highest","","2014","0","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","11489","0","","","","","-631717","Cloudflare","","2203","11","9","256","1","","","","","8081","","","2500","2276","2496","2496","2500","4","2276","2500","224","6","7","","","","","1","0","blocking","","","","",
"3","230330_07_JP","30058.10","127.0.0.1","https://www.supremecourt.gov.pk/wp-content/plugins/download-manager/assets/bootstrap/css/bootstrap.css","1","GET","www.supremecourt.gov.pk","/wp-content/plugins/download-manager/assets/bootstrap/css/bootstrap.css","30058.10","54167B8B2F37A8ADE5E805FD446B36B7","https://www.supremecourt.gov.pk/","200","Stylesheet","307","287","2278","2278.046","25258","25258","144212","Thu, 20 Apr 2023 08:25:28 GMT","max-age=3600","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.supremecourt.gov.pk/","76","","parser","Highest","Highest","","2026","0","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","25341","0","","","","","-295835","Cloudflare","","2205","13","11","256","1","","","","","8081","","","2585","2278","2565","2565","2585","20","2278","2585","307","7","8","","","","","1","0","blocking","","","","",
"3","230330_07_JP","30058.11","127.0.0.1","https://www.supremecourt.gov.pk/wp-content/plugins/download-manager/assets/css/front.css","1","GET","www.supremecourt.gov.pk","/wp-content/plugins/download-manager/assets/css/front.css","30058.11","54167B8B2F37A8ADE5E805FD446B36B7","https://www.supremecourt.gov.pk/","200","Stylesheet","522","465","2279","2279.1","42916","42916","143071","Sun, 16 Apr 2023 11:07:43 GMT","max-age=3600","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.supremecourt.gov.pk/","76","","parser","Highest","Highest","","1984","0","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","43008","0","","","","","-631717","Cloudflare","","2208","15","13","256","1","","","","","8081","","","2801","2279","2744","2744","2801","57","2279","2801","522","8","9","","","","","1","0","blocking","","","","",
"3","230330_07_JP","30058.12","127.0.0.1","https://www.supremecourt.gov.pk/wp-content/themes/broker/style.css","1","GET","www.supremecourt.gov.pk","/wp-content/themes/broker/style.css","30058.12","54167B8B2F37A8ADE5E805FD446B36B7","https://www.supremecourt.gov.pk/","200","Stylesheet","121","118","2281","2280.638","352","352","560","Sun, 16 Apr 2023 11:07:42 GMT","max-age=3600","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.supremecourt.gov.pk/","76","","parser","Highest","Highest","","1918","0","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","352","0","","","","","-631718","Cloudflare","","2210","17","15","256","1","","","","","8081","","","2402","2281","2399","2399","2402","3","2281","2402","121","9","10","","","","","1","0","blocking","","","","",
