"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpu.FunctionCall","cpuTime","run","cached","renderBlocking","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings",
"3","230330_MD_DR","2EAA9F01B498E28D39F8FEBBA989D6AB","127.0.0.1","https://www.piac.com.pk/","1","GET","www.piac.com.pk","/","2EAA9F01B498E28D39F8FEBBA989D6AB","649CEDA592775127C2B462F3C311CB1B","https://www.piac.com.pk/","200","Document","1109","1075","351","350.649","42227","42227","270129","Wed, 17 Aug 2005 00:00:00 GMT","no-store, no-cache, must-revalidate, post-check=0, pre-check=0,public","text/html","gzip","25","HTTP/2","0","0","56","60","60","337","","","","script","Highest","Highest","","2113","-1","100","100","-1","100","-1","-1","-1","-1","-1","4","277","43257","0","","","","","","Cloudflare","","65","1","0","256","1","TLS 1.3","False","h2","4865","8081","1","1","1460","351","1426","1426","1460","34","56","1460","1390","0","1","140","30","3","173","1","0","","","","","",
"3","230330_MD_DR","8989.4","127.0.0.1","https://www.piac.com.pk/templates/pia2/css/bootstrap.min.css?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/pia2/css/bootstrap.min.css?f3479f8edf906ba500bd918b491dff14","8989.4","649CEDA592775127C2B462F3C311CB1B","https://www.piac.com.pk/","200","Stylesheet","185","177","1657","1656.796","22975","22975","155844","Tue, 19 Mar 2024 05:57:42 GMT","public, max-age=31536000","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/","108","","parser","Highest","Highest","","1975","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","22975","0","","","","","30636257","Cloudflare","","1618","3","0","256","1","","","","","8081","","","1842","1657","1834","1834","1842","8","1657","1842","185","1","2","","","","","1","0","blocking","","","","",
"3","230330_MD_DR","8989.5","127.0.0.1","https://www.piac.com.pk/templates/pia2/css/travelicon.css?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/pia2/css/travelicon.css?f3479f8edf906ba500bd918b491dff14","8989.5","649CEDA592775127C2B462F3C311CB1B","https://www.piac.com.pk/","200","Stylesheet","466","451","1685","1684.789","5520","5520","33527","Fri, 22 Mar 2024 02:26:13 GMT","public, max-age=31536000","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/","109","","parser","Highest","Highest","","1966","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","5520","0","","","","","30882768","Cloudflare","","1653","5","3","256","1","","","","","8081","","","2151","1685","2136","2136","2151","15","1685","2151","466","2","3","","","","","1","0","blocking","","","","",
"3","230330_MD_DR","8989.6","127.0.0.1","https://www.piac.com.pk/templates/pia2/css/select2.css?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/pia2/css/select2.css?f3479f8edf906ba500bd918b491dff14","8989.6","649CEDA592775127C2B462F3C311CB1B","https://www.piac.com.pk/","200","Stylesheet","401","385","1703","1702.601","2209","2209","18211","Tue, 19 Mar 2024 05:57:42 GMT","public, max-age=31536000","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/","110","","parser","Highest","Highest","","1957","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","2209","0","","","","","30636257","Cloudflare","","1666","7","5","256","1","","","","","8081","","","2104","1703","2088","2088","2104","16","1703","2104","401","3","4","","","","","1","0","blocking","","","","",
"3","230330_MD_DR","8989.7","127.0.0.1","https://www.piac.com.pk/templates/pia2/css/jquery.scrollbar.css?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/pia2/css/jquery.scrollbar.css?f3479f8edf906ba500bd918b491dff14","8989.7","649CEDA592775127C2B462F3C311CB1B","https://www.piac.com.pk/","200","Stylesheet","181","175","1708","1707.684","3071","3071","22615","Tue, 19 Mar 2024 05:57:42 GMT","public, max-age=31536000","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/","111","","parser","Highest","Highest","","1984","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","3071","0","","","","","30636257","Cloudflare","","1668","9","7","256","1","","","","","8081","","","1889","1708","1883","1883","1889","6","1708","1889","181","4","5","","","","","1","0","blocking","","","","",
"3","230330_MD_DR","8989.8","127.0.0.1","https://www.piac.com.pk/templates/pia2/css/cookiealert.css?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/pia2/css/cookiealert.css?f3479f8edf906ba500bd918b491dff14","8989.8","649CEDA592775127C2B462F3C311CB1B","https://www.piac.com.pk/","200","Stylesheet","415","402","1711","1711.227","297","297","533","Tue, 19 Mar 2024 05:57:42 GMT","public, max-age=31536000","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/","112","","parser","Highest","Highest","","1969","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","297","0","","","","","30636257","Cloudflare","","1673","11","9","256","1","","","","","8081","","","2126","1711","2113","2113","2126","13","1711","2126","415","5","6","","","","","1","0","blocking","","","","",
"3","230330_MD_DR","8989.9","127.0.0.1","https://www.piac.com.pk/templates/pia2/css/styles.css?6","1","GET","www.piac.com.pk","/templates/pia2/css/styles.css?6","8989.9","649CEDA592775127C2B462F3C311CB1B","https://www.piac.com.pk/","200","Stylesheet","155","141","1715","1715.142","10402","10402","59480","Tue, 19 Mar 2024 05:57:42 GMT","public, max-age=31536000","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/","113","","parser","Highest","Highest","","1861","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","10402","0","","","","","30636257","Cloudflare","","1679","13","11","256","1","","","","","8081","","","1870","1715","1856","1856","1870","14","1715","1870","155","6","7","","","","","1","0","blocking","","","","",
"3","230330_MD_DR","8989.10","127.0.0.1","https://www.piac.com.pk/templates/pia2/js/jquery.min.js?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/pia2/js/jquery.min.js?f3479f8edf906ba500bd918b491dff14","8989.10","649CEDA592775127C2B462F3C311CB1B","https://www.piac.com.pk/","200","Script","415","389","1718","1718.054","30947","30947","89501","Tue, 19 Mar 2024 05:57:42 GMT","public, max-age=31536000","application/javascript","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/","115","","parser","High","High","","1918","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","30947","0","","","","","30636257","Cloudflare","","1681","15","13","220","1","","","","","8081","","","2133","1718","2107","2107","2133","26","1718","2133","415","7","8","93","37","452","581","1","0","blocking","","","","",
"3","230330_MD_DR","8989.11","127.0.0.1","https://www.piac.com.pk/templates/pia2/js/jquery-ui-datepicker.js?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/pia2/js/jquery-ui-datepicker.js?f3479f8edf906ba500bd918b491dff14","8989.11","649CEDA592775127C2B462F3C311CB1B","https://www.piac.com.pk/","200","Script","465","454","1718","1718.457","14054","14054","54250","Tue, 19 Mar 2024 05:57:42 GMT","public, max-age=31536000","application/javascript","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/","116","","parser","High","High","","1948","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","14054","0","","","","","30636257","Cloudflare","","1683","17","15","220","1","","","","","8081","","","2183","1718","2172","2172","2183","11","1718","2183","465","8","9","73","20","","92","1","0","blocking","","","","",
"3","230330_MD_DR","8989.12","127.0.0.1","https://www.piac.com.pk/templates/pia2/js/bootstrap.min.js?f3479f8edf906ba500bd918b491dff14","1","GET","www.piac.com.pk","/templates/pia2/js/bootstrap.min.js?f3479f8edf906ba500bd918b491dff14","8989.12","649CEDA592775127C2B462F3C311CB1B","https://www.piac.com.pk/","200","Script","186","178","1722","1722.474","23051","23051","78129","Tue, 19 Mar 2024 05:57:42 GMT","public, max-age=31536000","application/javascript","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.piac.com.pk/","117","","parser","High","High","","1927","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","23051","0","","","","","30636258","Cloudflare","","1686","21","17","220","1","","","","","8081","","","1908","1722","1900","1900","1908","8","1722","1908","186","9","10","29","22","82","133","1","0","blocking","","","","",
