"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://mohtasib.gov.pk/","1","86370","86370","0","86370","86370","91055","91055","0","91055","91055","5039","5039","0","5039","5039","10524","10524","0","10524","10524","46937689","46937689","0","46937689","46937689","140","140","0","140","140","86369","86369","0","86369","86369","28686","28686","0","28686","28686","91099","91099","0","91099","91099","91099","91099","0","91099","91099","230330_3K_P3"
"","https://mohtasib.gov.pk/index","1","84668","84668","0","84668","84668","89581","89581","0","89581","89581","2606","2606","0","2606","2606","8320","8320","0","8320","8320","47390952","47390952","0","47390952","47390952","139","139","0","139","139","84669","84669","0","84669","84669","27004","27004","0","27004","27004","92278","92278","0","92278","92278","92278","92278","0","92278","92278","230330_BW_P4"
"","https://mohtasib.gov.pk/Detail/YzUzMDZlZGItY2UzYi00NGUyLWE2MjctNTdkZTliM2E5YWI0","1","11237","11237","0","11237","11237","12262","12262","0","12262","12262","2003","2003","0","2003","2003","7018","7018","0","7018","7018","3968626","3968626","0","3968626","3968626","51","51","0","51","51","11237","11237","0","11237","11237","7902","7902","0","7902","7902","9110","9110","0","9110","9110","9110","9110","0","9110","9110","230330_1T_P5"
"","https://mohtasib.gov.pk/Detail/N2ExMmNlYmYtZTY1OS00OWI5LWE2YzQtZWQwZTg0ZTk5NTdi","1","9402","9402","0","9402","9402","14539","14539","0","14539","14539","1570","1570","0","1570","1570","5893","5893","0","5893","5893","3877823","3877823","0","3877823","3877823","52","52","0","52","52","9402","9402","0","9402","9402","7914","7914","0","7914","7914","8576","8576","0","8576","8576","8576","8576","0","8576","8576","230330_AC_P6"
"","https://mohtasib.gov.pk/Detail/ODBhNTcwYjAtNjJmYS00ZTIzLWI0NGMtODY2OGU3YWE0NDI2","1","11603","11603","0","11603","11603","14274","14274","0","14274","14274","2030","2030","0","2030","2030","6853","6853","0","6853","6853","4019231","4019231","0","4019231","4019231","62","62","0","62","62","11603","11603","0","11603","11603","8204","8204","0","8204","8204","10744","10744","0","10744","10744","10744","10744","0","10744","10744","230330_AD_P7"
"","https://mohtasib.gov.pk/Detail/OGM4YzViMzItYzUzMS00MDVjLWJkZjAtZTEyMjBmMWY3NWVm","1","10490","10490","0","10490","10490","11488","11488","0","11488","11488","2017","2017","0","2017","2017","6576","6576","0","6576","6576","3673361","3673361","0","3673361","3673361","51","51","0","51","51","10490","10490","0","10490","10490","6819","6819","0","6819","6819","9506","9506","0","9506","9506","9506","9506","0","9506","9506","230330_5V_P8"
"","https://mohtasib.gov.pk/Detail/MDk4ZmQ0ZjItMmZkNy00MzM4LWE5MTEtOTdhYzE0NGRmNDYw","1","12406","12406","0","12406","12406","15203","15203","0","15203","15203","2787","2787","0","2787","2787","7512","7512","0","7512","7512","3804841","3804841","0","3804841","3804841","51","51","0","51","51","12406","12406","0","12406","12406","7807","7807","0","7807","7807","10998","10998","0","10998","10998","10998","10998","0","10998","10998","230330_T0_P9"
"","https://mohtasib.gov.pk/Detail/Mzk4NTFjZjUtZjc0NC00MGM1LTkwOTctOGM3MjllNjU3YWIx","1","11658","11658","0","11658","11658","13548","13548","0","13548","13548","2138","2138","0","2138","2138","7162","7162","0","7162","7162","3824546","3824546","0","3824546","3824546","53","53","0","53","53","11657","11657","0","11657","11657","7473","7473","0","7473","7473","10600","10600","0","10600","10600","10600","10600","0","10600","10600","230330_DF_PA"
"","https://mohtasib.gov.pk/Detail/MjA2OTc4NzAtNTIwMi00NDkxLWFkMDctMDAwMmRhOGJiNzhj","1","14493","14493","0","14493","14493","15368","15368","0","15368","15368","3527","3527","0","3527","3527","10723","10723","0","10723","10723","3896881","3896881","0","3896881","3896881","52","52","0","52","52","14493","14493","0","14493","14493","11034","11034","0","11034","11034","14588","14588","0","14588","14588","14588","14588","0","14588","14588","230330_WH_PB"
"","https://mohtasib.gov.pk/Publications","1","14504","14504","0","14504","14504","15770","15770","0","15770","15770","2619","2619","0","2619","2619","9368","9368","0","9368","9368","3812241","3812241","0","3812241","3812241","51","51","0","51","51","14504","14504","0","14504","14504","9579","9579","0","9579","9579","13667","13667","0","13667","13667","13667","13667","0","13667","13667","230330_P0_PC"
