"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://mofa.gov.pk/","1","13475","13475","0","13475","13475","13830","13830","0","13830","13830","4944","4944","0","4944","4944","10225","10225","0","10225","10225","2217786","2217786","0","2217786","2217786","87","87","0","87","87","13474","13474","0","13474","13474","10831","10831","0","10831","10831","13787","13787","0","13787","13787","13787","13787","0","13787","13787","230330_QC_6Z"
"","https://mofa.gov.pk/ministry/","1","11327","11327","0","11327","11327","12151","12151","0","12151","12151","3171","3171","0","3171","3171","7103","7103","0","7103","7103","1510243","1510243","0","1510243","1510243","56","56","0","56","56","11327","11327","0","11327","11327","9438","9438","0","9438","9438","11438","11438","0","11438","11438","11438","11438","0","11438","11438","230330_59_70"
"","https://mofa.gov.pk/science-for-sustainable-development/","1","11530","11530","0","11530","11530","16588","16588","0","16588","16588","2372","2372","0","2372","2372","6755","6755","0","6755","6755","3853557","3853557","0","3853557","3853557","90","90","0","90","90","11531","11531","0","11531","11531","8602","8602","0","8602","8602","13028","13028","0","13028","13028","13028","13028","0","13028","13028","230330_52_71"
"","https://mofa.gov.pk/acdis/","1","7830","7830","0","7830","7830","8538","8538","0","8538","8538","1969","1969","0","1969","1969","5832","5832","0","5832","5832","1386377","1386377","0","1386377","1386377","69","69","0","69","69","7830","7830","0","7830","7830","6447","6447","0","6447","6447","7720","7720","0","7720","7720","7720","7720","0","7720","7720","230330_3S_72"
"","https://mofa.gov.pk/cwc/","1","7373","7373","0","7373","7373","8376","8376","0","8376","8376","1184","1184","0","1184","1184","5523","5523","0","5523","5523","1390878","1390878","0","1390878","1390878","70","70","0","70","70","7373","7373","0","7373","7373","6153","6153","0","6153","6153","7542","7542","0","7542","7542","7542","7542","0","7542","7542","230330_K8_73"
"","https://mofa.gov.pk/events-gallery/","1","14296","14296","0","14296","14296","15267","15267","0","15267","15267","2564","2564","0","2564","2564","6698","6698","0","6698","6698","2055599","2055599","0","2055599","2055599","102","102","0","102","102","14296","14296","0","14296","14296","8999","8999","0","8999","8999","14453","14453","0","14453","14453","14453","14453","0","14453","14453","230330_A3_74"
"","https://mofa.gov.pk/data-and-statistics/","1","10457","10457","0","10457","10457","11236","11236","0","11236","11236","1930","1930","0","1930","1930","6314","6314","0","6314","6314","1269050","1269050","0","1269050","1269050","57","57","0","57","57","10457","10457","0","10457","10457","7593","7593","0","7593","7593","10597","10597","0","10597","10597","10597","10597","0","10597","10597","230330_0A_75"
"","https://mofa.gov.pk/mous-agreements/","1","11039","11039","0","11039","11039","11744","11744","0","11744","11744","2720","2720","0","2720","2720","7519","7519","0","7519","7519","1238089","1238089","0","1238089","1238089","54","54","0","54","54","11040","11040","0","11040","11040","8613","8613","0","8613","8613","11195","11195","0","11195","11195","11195","11195","0","11195","11195","230330_0T_76"
"","https://mofa.gov.pk/vacancies2/","1","12789","12789","0","12789","12789","13735","13735","0","13735","13735","2675","2675","0","2675","2675","7732","7732","0","7732","7732","1715626","1715626","0","1715626","1715626","73","73","0","73","73","12789","12789","0","12789","12789","8389","8389","0","8389","8389","11681","11681","0","11681","11681","11681","11681","0","11681","11681","230330_KS_77"
"","https://mofa.gov.pk/recruitment-rules/","1","10096","10096","0","10096","10096","11164","11164","0","11164","11164","2240","2240","0","2240","2240","6976","6976","0","6976","6976","1347573","1347573","0","1347573","1347573","68","68","0","68","68","10096","10096","0","10096","10096","8005","8005","0","8005","8005","10420","10420","0","10420","10420","10420","10420","0","10420","10420","230330_HZ_78"
