"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpu.FunctionCall","cpuTime","run","cached","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","renderBlocking","initiator_function","jpeg_scan_count","score_progressive_jpeg","http2_server_settings",
"3","230330_QC_6Z","A2C5918DF564C865FEBDF3E77F2D1F17","127.0.0.1","https://mofa.gov.pk/","1","GET","mofa.gov.pk","/","A2C5918DF564C865FEBDF3E77F2D1F17","E6C5C3664993671FB858B21A3F871E53","https://mofa.gov.pk/","200","Document","2802","2784","2160","2159.768","27181","27181","152266","","","text/html","gzip","30","http/1.1","949","950","1024","1027","1027","2158","","","","script","Highest","Highest","","2077","-1","-1","100","-1","100","-1","-1","-1","-1","1","3","1131","27181","0","","","","","","","","73","TLS 1.3","False","http/1.1","4865","8081","1","1","4962","2160","4944","4944","4962","18","949","4962","3937","0","1","292","11","1","303","1","0","","","","","","","","","",
"3","230330_QC_6Z","973.4","127.0.0.1","https://fonts.googleapis.com/css?family=Nunito%20Sans:200,300,400,600,700,800,900,200italic,300italic,400italic,600italic,700italic,800italic,900italic%7CPoppins:400,700,600,500&subset=latin&display=swap&ver=1674735361","1","GET","fonts.googleapis.com","/css?family=Nunito%20Sans:200,300,400,600,700,800,900,200italic,300italic,400italic,600italic,700italic,800italic,900italic%7CPoppins:400,700,600,500&subset=latin&display=swap&ver=1674735361","973.4","E6C5C3664993671FB858B21A3F871E53","https://mofa.gov.pk/","200","Stylesheet","589","585","5230","5229.692","1255","1255","29379","Thu, 30 Mar 2023 12:44:44 GMT","private, max-age=86400, stale-while-revalidate=604800","text/css","gzip","36","HTTP/2","5078","5078","5141","5143","5143","5170","https://mofa.gov.pk/","134","","parser","Highest","Highest","","2335","50","100","100","-1","100","-1","-1","-1","-1","0","2","27","1255","0","","","","","86400","Google","","5135","TLS 1.3","False","h2","4865","8081","","","5819","5230","5815","5815","5819","4","5141","5819","618","1","2","","","","","1","0","1","0","256","1","non_blocking","","","","",
"3","230330_QC_6Z","973.6","127.0.0.1","https://mofa.gov.pk/wp-includes/css/dist/block-library/style.min.css?ver=6.0.3","1","GET","mofa.gov.pk","/wp-includes/css/dist/block-library/style.min.css?ver=6.0.3","973.6","E6C5C3664993671FB858B21A3F871E53","https://mofa.gov.pk/","200","Stylesheet","327","315","5230","5230.26","11681","11681","88932","","","text/css","gzip","30","http/1.1","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/","106","","parser","Highest","Highest","","1975","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","11681","0","","","","","0","","","5186","","","","","8081","","","5557","5230","5545","5545","5557","12","5230","5557","327","2","3","","","","","1","0","","","","","blocking","","","","",
"3","230330_QC_6Z","973.7","127.0.0.1","https://mofa.gov.pk/wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilities.css?ver=4.4.0","1","GET","mofa.gov.pk","/wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilities.css?ver=4.4.0","973.7","E6C5C3664993671FB858B21A3F871E53","https://mofa.gov.pk/","200","Stylesheet","489","479","5300","5299.633","5880","5880","53435","","","text/css","gzip","88","http/1.1","-1","-1","5218","5219","5219","5228","https://mofa.gov.pk/","110","","parser","Highest","Highest","","2071","0","0","100","-1","100","-1","-1","-1","-1","-1","1","9","5880","0","","","","","0","","","5189","TLS 1.3","False","http/1.1","4865","8081","","","5789","5300","5779","5779","5789","10","5218","5789","499","3","4","","","","","1","0","","","","","blocking","","","","",
"3","230330_QC_6Z","973.28","127.0.0.1","https://fonts.googleapis.com/css?family=Roboto%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto+Slab%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=auto&ver=6.0.3","1","GET","fonts.googleapis.com","/css?family=Roboto%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto+Slab%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=auto&ver=6.0.3","973.28","E6C5C3664993671FB858B21A3F871E53","https://mofa.gov.pk/","200","Stylesheet","526","521","5300","5300.364","1712","1712","50391","Thu, 30 Mar 2023 12:44:44 GMT","private, max-age=86400, stale-while-revalidate=604800","text/css","gzip","36","HTTP/2","-1","-1","-1","-1","-1","-1","https://mofa.gov.pk/","134","","parser","Highest","Highest","","2902","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1712","0","","","","","86400","Google","","5236","","","","","8081","","","5826","5300","5821","5821","5826","5","5300","5826","526","4","5","","","","","1","0","3","1","256","1","blocking","","","","",
"3","230330_QC_6Z","973.8","127.0.0.1","https://mofa.gov.pk/wp-content/plugins/custom-twitter-feeds/css/ctf-styles.min.css?ver=2.0.6","1","GET","mofa.gov.pk","/wp-content/plugins/custom-twitter-feeds/css/ctf-styles.min.css?ver=2.0.6","973.8","E6C5C3664993671FB858B21A3F871E53","https://mofa.gov.pk/","200","Stylesheet","763","757","5301","5300.722","3113","3113","17382","","","text/css","gzip","102","http/1.1","-1","-1","5232","5233","5233","5240","https://mofa.gov.pk/","111","","parser","Highest","Highest","","2017","0","0","100","-1","100","-1","-1","-1","-1","-1","1","7","3113","0","","","","","0","","","5191","TLS 1.3","True","http/1.1","4865","8081","","","6064","5301","6058","6058","6064","6","5232","6064","771","5","6","","","","","1","0","","","","","blocking","","","","",
"3","230330_QC_6Z","973.9","127.0.0.1","https://mofa.gov.pk/wp-content/plugins/eleslider/assets/eleslider.css?ver=6.0.3","1","GET","mofa.gov.pk","/wp-content/plugins/eleslider/assets/eleslider.css?ver=6.0.3","973.9","E6C5C3664993671FB858B21A3F871E53","https://mofa.gov.pk/","200","Stylesheet","1048","1045","5303","5302.752","2044","2044","7879","","","text/css","gzip","110","http/1.1","-1","-1","5241","5242","5242","5248","https://mofa.gov.pk/","112","","parser","Highest","Highest","","1978","0","0","100","-1","100","-1","-1","-1","-1","-1","1","6","2044","0","","","","","0","","","5197","TLS 1.3","True","http/1.1","4865","8081","","","6351","5303","6348","6348","6351","3","5241","6351","1055","6","7","","","","","1","0","","","","","blocking","","","","",
"3","230330_QC_6Z","973.10","127.0.0.1","https://mofa.gov.pk/wp-content/plugins/events-manager/includes/css/events-manager.min.css?ver=6.3","1","GET","mofa.gov.pk","/wp-content/plugins/events-manager/includes/css/events-manager.min.css?ver=6.3","973.10","E6C5C3664993671FB858B21A3F871E53","https://mofa.gov.pk/","200","Stylesheet","1445","1423","5305","5304.902","38278","38278","210868","","","text/css","gzip","116","http/1.1","-1","-1","5245","5248","5248","5254","https://mofa.gov.pk/","113","","parser","Highest","Highest","","2032","0","0","100","-1","100","-1","-1","-1","-1","-1","3","6","38278","0","","","","","0","","","5198","TLS 1.3","True","http/1.1","4865","8081","","","6750","5305","6728","6728","6750","22","5245","6750","1454","7","8","","","","","1","0","","","","","blocking","","","","",
"3","230330_QC_6Z","973.50","127.0.0.1","http://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js","0","GET","ajax.googleapis.com","/ajax/libs/jquery/3.3.1/jquery.min.js","973.50","E6C5C3664993671FB858B21A3F871E53","https://mofa.gov.pk/","200","Script","496","480","5312","5311.917","30399","30399","86927","Thu, 28 Mar 2024 18:12:47 GMT","public, max-age=31536000, stale-while-revalidate=2592000","text/javascript","gzip","252","http/1.1","5215","5215","5302","5303","-1","-1","https://mofa.gov.pk/","1339","","parser","High","High","","976","100","100","100","-1","100","-1","-1","-1","-1","0","1","-1","30399","0","","","","","31469283","Google","","5277","","","","","8080","","","5808","5312","5792","5792","5808","16","5302","5808","497","8","9","49","24","134","207","1","0","","","","","in_body_parser_blocking","","","","",
"3","230330_QC_6Z","973.5","127.0.0.1","https://cdnjs.cloudflare.com/ajax/libs/chosen/1.8.7/chosen.css","1","GET","cdnjs.cloudflare.com","/ajax/libs/chosen/1.8.7/chosen.css","973.5","E6C5C3664993671FB858B21A3F871E53","https://mofa.gov.pk/","200","Stylesheet","669","661","5385","5384.776","2469","2469","12188","Tue, 19 Mar 2024 12:44:45 GMT","public, max-age=30672000","text/css","gzip","42","HTTP/2","5114","5114","5176","5183","5183","5383","https://mofa.gov.pk/","77","","parser","Highest","Highest","","1951","100","100","100","-1","100","-1","-1","-1","-1","0","7","200","2469","0","","","","","30672000","Cloudflare","","5151","TLS 1.3","False","h2","4865","8081","","","6054","5385","6046","6046","6054","8","5176","6054","876","9","10","","","","","1","0","1","0","256","1","blocking","","","","",
