"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://nepra.org.pk/","1","62457","62457","0","62457","62457","63786","63786","0","63786","63786","2515","2515","0","2515","2515","18819","18819","0","18819","18819","24723240","24723240","0","24723240","24723240","108","108","0","108","108","62457","62457","0","62457","62457","63681","63681","0","63681","63681","65674","65674","0","65674","65674","65674","65674","0","65674","65674","230330_FM_GB"
"","https://nepra.org.pk/index.php","1","47939","47939","0","47939","47939","48372","48372","0","48372","48372","1914","1914","0","1914","1914","3491","3491","0","3491","3491","24715980","24715980","0","24715980","24715980","108","108","0","108","108","47940","47940","0","47940","47940","50319","50319","0","50319","50319","52892","52892","0","52892","52892","52892","52892","0","52892","52892","230330_AV_GC"
"","https://nepra.org.pk/About.php","1","18194","18194","0","18194","18194","20328","20328","0","20328","20328","922","922","0","922","922","2968","2968","0","2968","2968","2944734","2944734","0","2944734","2944734","53","53","0","53","53","18194","18194","0","18194","18194","19333","19333","0","19333","19333","20323","20323","0","20323","20323","20323","20323","0","20323","20323","230330_ZM_GD"
"","https://nepra.org.pk/Authority.php","1","6992","6992","0","6992","6992","7353","7353","0","7353","7353","1361","1361","0","1361","1361","2449","2449","0","2449","2449","2772126","2772126","0","2772126","2772126","59","59","0","59","59","6992","6992","0","6992","6992","8396","8396","0","8396","8396","9107","9107","0","9107","9107","9107","9107","0","9107","9107","230330_4X_GE"
"","https://nepra.org.pk/Management.php","1","6800","6800","0","6800","6800","7130","7130","0","7130","7130","1477","1477","0","1477","1477","2472","2472","0","2472","2472","2672879","2672879","0","2672879","2672879","60","60","0","60","60","6800","6800","0","6800","6800","7983","7983","0","7983","7983","8971","8971","0","8971","8971","8971","8971","0","8971","8971","230330_W1_GF"
"","https://nepra.org.pk/careers.php","1","6748","6748","0","6748","6748","7090","7090","0","7090","7090","1160","1160","0","1160","1160","2257","2257","0","2257","2257","2771629","2771629","0","2771629","2771629","54","54","0","54","54","6748","6748","0","6748","6748","7866","7866","0","7866","7866","8841","8841","0","8841","8841","8841","8841","0","8841","8841","230330_RV_GG"
"","https://nepra.org.pk/tenders.php","1","7117","7117","0","7117","7117","7471","7471","0","7471","7471","1721","1721","0","1721","1721","2849","2849","0","2849","2849","2809135","2809135","0","2809135","2809135","54","54","0","54","54","7117","7117","0","7117","7117","8786","8786","0","8786","8786","9296","9296","0","9296","9296","9296","9296","0","9296","9296","230330_WF_GH"
"","https://nepra.org.pk/Legal.php","1","6575","6575","0","6575","6575","6900","6900","0","6900","6900","1414","1414","0","1414","1414","2638","2638","0","2638","2638","2712249","2712249","0","2712249","2712249","54","54","0","54","54","6575","6575","0","6575","6575","8033","8033","0","8033","8033","8664","8664","0","8664","8664","8664","8664","0","8664","8664","230330_H7_GJ"
"","https://nepra.org.pk/licensing/Generation%20GENCOs.php","1","7144","7144","0","7144","7144","7425","7425","0","7425","7425","793","793","0","793","793","2543","2543","0","2543","2543","2824948","2824948","0","2824948","2824948","54","54","0","54","54","7144","7144","0","7144","7144","8717","8717","0","8717","8717","9274","9274","0","9274","9274","9274","9274","0","9274","9274","230330_Y6_GK"
"","https://nepra.org.pk/licensing/Generation%20K-Electric.php","1","6410","6410","0","6410","6410","6759","6759","0","6759","6759","787","787","0","787","787","1928","1928","0","1928","1928","2723058","2723058","0","2723058","2723058","54","54","0","54","54","6410","6410","0","6410","6410","7506","7506","0","7506","7506","8535","8535","0","8535","8535","8535","8535","0","8535","8535","230330_FR_GM"
"","https://nepra.org.pk/licensing/Generation%20IPPs.php","1","18553","18553","0","18553","18553","18825","18825","0","18825","18825","1153","1153","0","1153","1153","2498","2498","0","2498","2498","9179496","9179496","0","9179496","9179496","63","63","0","63","63","18552","18552","0","18552","18552","19878","19878","0","19878","19878","20627","20627","0","20627","20627","20627","20627","0","20627","20627","230330_TV_GN"
