"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","cpu.FunctionCall","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings",
"3","230330_FM_GB","8D3D4A91E5CCE80B10EB21D1A3098BF3","127.0.0.1","https://nepra.org.pk/","1","GET","nepra.org.pk","/","8D3D4A91E5CCE80B10EB21D1A3098BF3","6F04301E6E82FA203A225FE24D17ECAB","https://nepra.org.pk/","200","Document","2261","2219","296","295.528","29564","29564","239144","","","text/html","gzip","25","HTTP/2","0","0","59","65","65","283","","","","script","Highest","Highest","","2104","-1","100","100","-1","100","-1","-1","-1","-1","-1","6","218","29977","0","","","","","","Cloudflare","","71","1","0","256","1","TLS 1.3","False","h2","4865","8081","1","1","2557","296","2515","2515","2557","42","59","2557","2485","0","1","3","2","5","1","0","","","","","","",
"3","230330_FM_GB","6510.4","127.0.0.1","https://nepra.org.pk/assets/css/bootstrap.min.css","1","GET","nepra.org.pk","/assets/css/bootstrap.min.css","6510.4","6F04301E6E82FA203A225FE24D17ECAB","https://nepra.org.pk/","200","Stylesheet","1857","1841","2712","2712.185","20502","20502","144872","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://nepra.org.pk/","77","","parser","Highest","Highest","","1834","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","20825","0","","","","","14400","Cloudflare","","2703","3","0","256","1","","","","","8081","","","4569","2712","4553","4553","4569","16","2712","4569","1857","1","2","","","","1","0","blocking","","","","","",
"3","230330_FM_GB","6510.5","127.0.0.1","https://nepra.org.pk/assets/css/owl.carousel.min.css","1","GET","nepra.org.pk","/assets/css/owl.carousel.min.css","6510.5","6F04301E6E82FA203A225FE24D17ECAB","https://nepra.org.pk/","200","Stylesheet","343","333","2721","2720.627","1054","1054","3351","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://nepra.org.pk/","79","","parser","Highest","Highest","","1843","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1054","0","","","","","14400","Cloudflare","","2707","5","3","256","1","","","","","8081","","","3064","2721","3054","3054","3064","10","2721","3064","343","2","3","","","","1","0","blocking","","","","","",
"3","230330_FM_GB","6510.6","127.0.0.1","https://nepra.org.pk/assets/css/owl.theme.default.min.css","1","GET","nepra.org.pk","/assets/css/owl.theme.default.min.css","6510.6","6F04301E6E82FA203A225FE24D17ECAB","https://nepra.org.pk/","200","Stylesheet","696","685","2738","2738.16","480","480","1013","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://nepra.org.pk/","81","","parser","Highest","Highest","","1858","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","480","0","","","","","14400","Cloudflare","","2714","7","5","256","1","","","","","8081","","","3434","2738","3423","3423","3434","11","2738","3434","696","3","4","","","","1","0","blocking","","","","","",
"3","230330_FM_GB","6510.7","127.0.0.1","https://nepra.org.pk/assets/css/animate.css","1","GET","nepra.org.pk","/assets/css/animate.css","6510.7","6F04301E6E82FA203A225FE24D17ECAB","https://nepra.org.pk/","200","Stylesheet","837","829","2747","2746.858","4675","4675","77757","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://nepra.org.pk/","83","","parser","Highest","Highest","","1816","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","4944","0","","","","","14400","Cloudflare","","2717","9","7","256","1","","","","","8081","","","3584","2747","3576","3576","3584","8","2747","3584","837","4","5","","","","1","0","blocking","","","","","",
"3","230330_FM_GB","6510.8","127.0.0.1","https://nepra.org.pk/assets/css/font-awesome.min.css","1","GET","nepra.org.pk","/assets/css/font-awesome.min.css","6510.8","6F04301E6E82FA203A225FE24D17ECAB","https://nepra.org.pk/","200","Stylesheet","15626","15619","2755","2755.412","6875","6875","31000","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://nepra.org.pk/","85","","parser","Highest","Highest","","1843","0","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","7183","0","","","","","-12115","Cloudflare","","2731","11","9","256","1","","","","","8081","","","18381","2755","18374","18374","18381","7","2755","18381","15626","5","6","","","","1","0","blocking","","","","","",
"3","230330_FM_GB","6510.9","127.0.0.1","https://nepra.org.pk/assets/css/fontello.css","1","GET","nepra.org.pk","/assets/css/fontello.css","6510.9","6F04301E6E82FA203A225FE24D17ECAB","https://nepra.org.pk/","200","Stylesheet","812","804","2762","2761.718","19791","19791","118370","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://nepra.org.pk/","86","","parser","Highest","Highest","","1819","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","20128","0","","","","","14400","Cloudflare","","2735","13","11","256","1","","","","","8081","","","3574","2762","3566","3566","3574","8","2762","3574","812","6","7","","","","1","0","blocking","","","","","",
"3","230330_FM_GB","6510.10","127.0.0.1","https://nepra.org.pk/assets/font/flaticon.css","1","GET","nepra.org.pk","/assets/font/flaticon.css","6510.10","6F04301E6E82FA203A225FE24D17ECAB","https://nepra.org.pk/","200","Stylesheet","748","744","2764","2763.838","1032","1032","4246","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://nepra.org.pk/","89","","parser","Highest","Highest","","1822","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1032","0","","","","","14400","Cloudflare","","2741","15","13","256","1","","","","","8081","","","3512","2764","3508","3508","3512","4","2764","3512","748","7","8","","","","1","0","blocking","","","","","",
"3","230330_FM_GB","6510.11","127.0.0.1","https://nepra.org.pk/assets/css/magnific-popup.css","1","GET","nepra.org.pk","/assets/css/magnific-popup.css","6510.11","6F04301E6E82FA203A225FE24D17ECAB","https://nepra.org.pk/","200","Stylesheet","741","736","2765","2764.781","1813","1813","6951","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://nepra.org.pk/","91","","parser","Highest","Highest","","1837","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1813","0","","","","","14400","Cloudflare","","2743","17","15","256","1","","","","","8081","","","3506","2765","3501","3501","3506","5","2765","3506","741","8","9","","","","1","0","blocking","","","","","",
"3","230330_FM_GB","6510.12","127.0.0.1","https://nepra.org.pk/assets/css/style.css","1","GET","nepra.org.pk","/assets/css/style.css","6510.12","6F04301E6E82FA203A225FE24D17ECAB","https://nepra.org.pk/","200","Stylesheet","358","348","2765","2765.225","22467","22467","192831","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://nepra.org.pk/","93","","parser","Highest","Highest","","1810","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","22766","0","","","","","14400","Cloudflare","","2745","19","17","256","1","","","","","8081","","","3123","2765","3113","3113","3123","10","2765","3123","358","9","10","","","","1","0","blocking","","","","","",
