"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://nitb.gov.pk/","1","24816","24816","0","24816","24816","29791","29791","0","29791","29791","4814","4814","0","4814","4814","10526","10526","0","10526","10526","6783446","6783446","0","6783446","6783446","176","176","0","176","176","24816","24816","0","24816","24816","16561","16561","0","16561","16561","33037","33037","0","33037","33037","33037","33037","0","33037","33037","230330_GK_TP"
"","https://nitb.gov.pk/index","1","19456","19456","0","19456","19456","26982","26982","0","26982","26982","3680","3680","0","3680","3680","8779","8779","0","8779","8779","6655584","6655584","0","6655584","6655584","165","165","0","165","165","19456","19456","0","19456","19456","16967","16967","0","16967","16967","30307","30307","0","30307","30307","30307","30307","0","30307","30307","230330_CY_TQ"
"","https://nitb.gov.pk/BitTraning","1","11278","11278","0","11278","11278","12264","12264","0","12264","12264","2111","2111","0","2111","2111","6688","6688","0","6688","6688","3543774","3543774","0","3543774","3543774","49","49","0","49","49","11278","11278","0","11278","11278","8595","8595","0","8595","8595","9739","9739","0","9739","9739","9739","9739","0","9739","9739","230330_N5_TR"
"","https://nitb.gov.pk/ContactUs","1","21552","21552","0","21552","21552","23114","23114","0","23114","23114","1731","1731","0","1731","1731","7699","7699","0","7699","7699","3551583","3551583","0","3551583","3551583","55","55","0","55","55","21552","21552","0","21552","21552","8168","8168","0","8168","8168","21200","21200","0","21200","21200","21200","21200","0","21200","21200","230330_Y4_TS"
"","https://nitb.gov.pk/Detail/ZWZjZTY3MjItZWQ4OS00MDc0LTgxZWItZWNjMGZhYzEyOGE5","1","12846","12846","0","12846","12846","14240","14240","0","14240","14240","798","798","0","798","798","4755","4755","0","4755","4755","3481749","3481749","0","3481749","3481749","48","48","0","48","48","12846","12846","0","12846","12846","5002","5002","0","5002","5002","9785","9785","0","9785","9785","9785","9785","0","9785","9785","230330_G1_TT"
"","https://nitb.gov.pk/importantinfo","1","10706","10706","0","10706","10706","11691","11691","0","11691","11691","2029","2029","0","2029","2029","6472","6472","0","6472","6472","3707726","3707726","0","3707726","3707726","53","53","0","53","53","10706","10706","0","10706","10706","6963","6963","0","6963","6963","10802","10802","0","10802","10802","10802","10802","0","10802","10802","230330_AS_TV"
"","https://nitb.gov.pk/ProjectDetail/YTZhM2Q5ZDEtNzAzNy00MjJjLWIzNGYtM2ZhM2VkOTFhNDk2","1","13609","13609","0","13609","13609","14403","14403","0","14403","14403","1847","1847","0","1847","1847","5731","5731","0","5731","5731","3522904","3522904","0","3522904","3522904","49","49","0","49","49","13608","13608","0","13608","13608","6204","6204","0","6204","6204","13722","13722","0","13722","13722","13722","13722","0","13722","13722","230330_C4_TW"
"","https://nitb.gov.pk/ProjectDetail/ODljNTQyMjAtNWIwMS00NTM0LTljYmMtYjJkZjkxZGMwNTg2","1","15429","15429","0","15429","15429","16471","16471","0","16471","16471","1608","1608","0","1608","1608","6261","6261","0","6261","6261","3567093","3567093","0","3567093","3567093","49","49","0","49","49","15429","15429","0","15429","15429","6433","6433","0","6433","6433","11638","11638","0","11638","11638","11638","11638","0","11638","11638","230330_PE_TX"
"","https://nitb.gov.pk/ProjectDetail/YWRhNWI2YjUtNDE3MS00NTk0LWIxYjQtMWNhNzZjYWJjZDQx","1","19550","19550","0","19550","19550","20878","20878","0","20878","20878","1902","1902","0","1902","1902","7803","7803","0","7803","7803","3510165","3510165","0","3510165","3510165","49","49","0","49","49","19550","19550","0","19550","19550","8446","8446","0","8446","8446","19650","19650","0","19650","19650","19650","19650","0","19650","19650","230330_63_TY"
"","https://nitb.gov.pk/ProjectDetail/MzI1NjAwNjQtMjQyMi00NjY2LTkwYmQtNTMxMmViYjY3NzJj","1","20228","20228","0","20228","20228","21475","21475","0","21475","21475","2494","2494","0","2494","2494","8047","8047","0","8047","8047","3512680","3512680","0","3512680","3512680","49","49","0","49","49","20228","20228","0","20228","20228","8648","8648","0","8648","8648","17585","17585","0","17585","17585","17585","17585","0","17585","17585","230330_25_TZ"
