"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpu.FunctionCall","cpuTime","run","cached","renderBlocking","jpeg_scan_count","score_progressive_jpeg","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","initiator_function",
"3","230330_A8_CS","95F8D7F53628A71ADFA90830F4D3EEAD","127.0.0.1","https://pakistan.gov.pk/","1","GET","pakistan.gov.pk","/","95F8D7F53628A71ADFA90830F4D3EEAD","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Document","3036","2989","2036","2036.073","56010","56010","56010","","","text/html","","25","http/1.1","0","0","51","55","55","2029","","","","script","Highest","Highest","","2089","-1","-1","21","-1","100","-1","-1","-1","-1","-1","4","1974","56010","44043","","","","","","","","61","TLS 1.3","False","http/1.1","4865","8081","1","1","5072","2036","5025","5025","5072","47","51","5072","5014","0","1","115","6","7","128","1","0","","","","","","","","",
"3","230330_A8_CS","19065.4","127.0.0.1","https://pakistan.gov.pk/css/style.css","1","GET","pakistan.gov.pk","/css/style.css","19065.4","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Stylesheet","502","480","5250","5250.035","15063","15063","15063","","","text/css","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/","76","","parser","Highest","Highest","","1960","0","0","16","-1","100","-1","-1","-1","-1","-1","-1","-1","15063","12533","","","","","0","","","5243","","","","","8081","","","5752","5250","5730","5730","5752","22","5250","5752","502","1","2","","","","","1","0","blocking","","","","","","","",
"3","230330_A8_CS","19065.5","127.0.0.1","https://pakistan.gov.pk/css/tabs.css","1","GET","pakistan.gov.pk","/css/tabs.css","19065.5","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Stylesheet","962","956","5265","5264.549","1254","1254","1254","","","text/css","","23","http/1.1","-1","-1","48","53","53","2035","https://pakistan.gov.pk/","77","","parser","Highest","Highest","","1957","0","0","-1","-1","100","-1","-1","-1","-1","-1","5","1982","","","","","","","0","","","5247","TLS 1.3","False","http/1.1","4865","8081","","","6227","5265","6221","6221","6227","6","48","6227","2949","2","3","","","","","1","0","blocking","","","","","","","",
"3","230330_A8_CS","19065.6","127.0.0.1","https://pakistan.gov.pk/scripts/jquery-1.4.min.js","1","GET","pakistan.gov.pk","/scripts/jquery-1.4.min.js","19065.6","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Script","2093","2035","5324","5324.29","69838","69838","69838","","","application/x-javascript","","43","http/1.1","-1","-1","5274","5276","5277","5287","https://pakistan.gov.pk/","103","","parser","High","High","","1954","0","0","33","-1","100","-1","-1","-1","-1","-1","2","10","69838","46138","","","","","0","","","5261","TLS 1.3","True","http/1.1","4865","8081","","","7417","5324","7359","7359","7417","58","5274","7417","2105","3","4","53","30","21","104","1","0","blocking","","","","","","","",
"3","230330_A8_CS","19065.7","127.0.0.1","https://pakistan.gov.pk/scripts/custom.js","1","GET","pakistan.gov.pk","/scripts/custom.js","19065.7","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Script","2050","2042","5325","5325.071","178","178","178","","","application/x-javascript","","49","http/1.1","-1","-1","5292","5294","5294","5302","https://pakistan.gov.pk/","104","","parser","High","High","","1930","0","0","-1","-1","100","-1","-1","-1","-1","-1","2","8","","","","","","","0","","","5281","TLS 1.3","True","http/1.1","4865","8081","","","7375","5325","7367","7367","7375","8","5292","7375","2060","4","5","0","0","","1","1","0","blocking","","","","","","","",
"3","230330_A8_CS","19065.8","127.0.0.1","https://pakistan.gov.pk/scripts/jquery.imagerotator.1.0.min.js","1","GET","pakistan.gov.pk","/scripts/jquery.imagerotator.1.0.min.js","19065.8","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Script","2058","2051","5326","5325.895","1150","1150","1150","","","application/x-javascript","","61","http/1.1","-1","-1","5314","5315","5316","5321","https://pakistan.gov.pk/","105","","parser","High","High","","1993","0","0","-1","-1","100","-1","-1","-1","-1","-1","1","5","","","","","","","0","","","5297","TLS 1.3","True","http/1.1","4865","8081","","","7384","5326","7377","7377","7384","7","5314","7384","2064","5","6","1","1","","1","1","0","blocking","","","","","","","",
"3","230330_A8_CS","19065.9","127.0.0.1","https://pakistan.gov.pk/scripts/tabs.js","1","GET","pakistan.gov.pk","/scripts/tabs.js","19065.9","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Script","2058","2058","5327","5326.53","0","0","","","","application/x-javascript","","65","http/1.1","-1","-1","5318","5319","5319","5323","https://pakistan.gov.pk/","106","","parser","High","High","","1924","-1","-1","-1","-1","100","-1","-1","-1","-1","-1","1","4","","","","","","","","","","5305","TLS 1.3","True","http/1.1","4865","8081","","","7385","5327","7385","7385","7385","0","5318","7385","2063","6","7","0","0","","1","1","0","blocking","","","","","","","",
"3","230330_A8_CS","19065.10","127.0.0.1","https://pakistan.gov.pk/scripts/boxOver.js","1","GET","pakistan.gov.pk","/scripts/boxOver.js","19065.10","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Script","1675","1641","5755","5755.288","11231","11231","11231","","","application/x-javascript","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/","107","","parser","High","High","","1933","0","0","30","-1","100","-1","-1","-1","-1","-1","-1","-1","11231","7775","","","","","0","","","5309","","","","","8081","","","7430","5755","7396","7396","7430","34","5755","7430","1675","7","8","5","4","2","11","1","0","blocking","","","","","","","",
"3","230330_A8_CS","19065.11","127.0.0.1","https://pakistan.gov.pk/js/jssor.slider-25.2.1.min.js","1","GET","pakistan.gov.pk","/js/jssor.slider-25.2.1.min.js","19065.11","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Script","1630","1609","6236","6235.699","49153","49153","49153","","","application/x-javascript","","23","http/1.1","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/","121","","parser","High","High","","1966","0","0","40","-1","100","-1","-1","-1","-1","-1","-1","-1","49153","29192","","","","","0","","","5312","","","","","8081","","","7866","6236","7845","7845","7866","21","6236","7866","1630","8","9","32","20","314","366","1","0","blocking","","","","","","","",
"3","230330_A8_CS","19065.33","127.0.0.1","https://pakistan.gov.pk/images/sprite2.png","1","GET","pakistan.gov.pk","/images/sprite2.png","19065.33","527B605B508CD2AA7AAE6B89C8FDD54B","https://pakistan.gov.pk/","200","Image","399","394","7965","7965.103","4365","4365","4365","","","image/png","","23","http/1.1","-1","-1","-1","-1","-1","-1","https://pakistan.gov.pk/css/tabs.css","","","parser","High","Low","","2149","0","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","4365","0","0","","","7962","","","","","8081","","","8364","7965","8359","8359","8364","5","7965","8364","399","9","10","","","","","1","0","","","","","","","","",
