"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","http://cms.ndma.gov.pk/","1","65650","65650","0","65650","65650","70078","70078","0","70078","70078","1858","1858","0","1858","1858","4290","4290","0","4290","4290","16271154","16271154","0","16271154","16271154","230","230","0","230","230","65650","65650","0","65650","65650","5600","5600","0","5600","5600","74057","74057","0","74057","74057","74057","74057","0","74057","74057","230330_VJ_EY"
"","http://cms.ndma.gov.pk/faq","1","5963","5963","0","5963","5963","6290","6290","0","6290","6290","1702","1702","0","1702","1702","3983","3983","0","3983","3983","648852","648852","0","648852","648852","44","44","0","44","44","5963","5963","0","5963","5963","4270","4270","0","4270","4270","9753","9753","0","9753","9753","9753","9753","0","9753","9753","230330_3G_EZ"
"","http://cms.ndma.gov.pk/page/items-required-for-eq-turkey-and-syria","1","5608","5608","0","5608","5608","5917","5917","0","5917","5917","1630","1630","0","1630","1630","4062","4062","0","4062","4062","649846","649846","0","649846","649846","44","44","0","44","44","5608","5608","0","5608","5608","4301","4301","0","4301","4301","9274","9274","0","9274","9274","9274","9274","0","9274","9274","230330_HF_F0"
"","http://cms.ndma.gov.pk/page/about-us","1","6848","6848","0","6848","6848","7510","7510","0","7510","7510","1687","1687","0","1687","1687","3943","3943","0","3943","3943","650506","650506","0","650506","650506","44","44","0","44","44","6848","6848","0","6848","6848","4247","4247","0","4247","4247","10974","10974","0","10974","10974","10974","10974","0","10974","10974","230330_S4_F1"
"","http://cms.ndma.gov.pk/page/national-disaster-management-commission","1","4762","4762","0","4762","4762","5212","5212","0","5212","5212","821","821","0","821","821","3042","3042","0","3042","3042","650779","650779","0","650779","650779","44","44","0","44","44","4762","4762","0","4762","4762","3294","3294","0","3294","3294","8706","8706","0","8706","8706","8706","8706","0","8706","8706","230330_EM_F2"
"","http://cms.ndma.gov.pk/page/national-disaster-management-authority","1","6165","6165","0","6165","6165","6495","6495","0","6495","6495","1471","1471","0","1471","1471","3871","3871","0","3871","3871","651149","651149","0","651149","651149","44","44","0","44","44","6165","6165","0","6165","6165","4174","4174","0","4174","4174","9926","9926","0","9926","9926","9926","9926","0","9926","9926","230330_VY_F3"
"","http://cms.ndma.gov.pk/page/chairman-national-disaster-management-authority","1","5274","5274","0","5274","5274","5814","5814","0","5814","5814","1607","1607","0","1607","1607","3655","3655","0","3655","3655","650205","650205","0","650205","650205","44","44","0","44","44","5274","5274","0","5274","5274","3923","3923","0","3923","3923","9242","9242","0","9242","9242","9242","9242","0","9242","9242","230330_5C_F4"
"","http://cms.ndma.gov.pk/page/previous-ndma-chairman","1","5674","5674","0","5674","5674","6196","6196","0","6196","6196","1288","1288","0","1288","1288","3625","3625","0","3625","3625","649415","649415","0","649415","649415","44","44","0","44","44","5674","5674","0","5674","5674","3988","3988","0","3988","3988","9522","9522","0","9522","9522","9522","9522","0","9522","9522","230330_CH_F5"
"","http://cms.ndma.gov.pk/page/national-disaster-management-fund","1","5089","5089","0","5089","5089","5501","5501","0","5501","5501","798","798","0","798","798","2948","2948","0","2948","2948","650010","650010","0","650010","650010","44","44","0","44","44","5089","5089","0","5089","5089","3284","3284","0","3284","3284","8862","8862","0","8862","8862","8862","8862","0","8862","8862","230330_Y8_F6"
"","http://cms.ndma.gov.pk/page/provincial-disaster-management-commission","1","6231","6231","0","6231","6231","6560","6560","0","6560","6560","1489","1489","0","1489","1489","3735","3735","0","3735","3735","650332","650332","0","650332","650332","44","44","0","44","44","6231","6231","0","6231","6231","4005","4005","0","4005","4005","9994","9994","0","9994","9994","9994","9994","0","9994","9994","230330_R5_F7"
"","http://cms.ndma.gov.pk/page/provincial-disaster-management-authority","1","5398","5398","0","5398","5398","5740","5740","0","5740","5740","1237","1237","0","1237","1237","3607","3607","0","3607","3607","650587","650587","0","650587","650587","44","44","0","44","44","5398","5398","0","5398","5398","3860","3860","0","3860","3860","9211","9211","0","9211","9211","9211","9211","0","9211","9211","230330_4X_F8"
"","http://cms.ndma.gov.pk/page/district-disaster-management-authority","1","4834","4834","0","4834","4834","5393","5393","0","5393","5393","1372","1372","0","1372","1372","3434","3434","0","3434","3434","651112","651112","0","651112","651112","44","44","0","44","44","4835","4835","0","4835","4835","3679","3679","0","3679","3679","8884","8884","0","8884","8884","8884","8884","0","8884","8884","230330_ZX_F9"
"","http://cms.ndma.gov.pk/page/vision-mission-aim","1","5728","5728","0","5728","5728","6202","6202","0","6202","6202","1488","1488","0","1488","1488","3682","3682","0","3682","3682","650610","650610","0","650610","650610","44","44","0","44","44","5728","5728","0","5728","5728","3944","3944","0","3944","3944","9664","9664","0","9664","9664","9664","9664","0","9664","9664","230330_4P_FA"
"","http://cms.ndma.gov.pk/page/our-achievement","1","9590","9590","0","9590","9590","10028","10028","0","10028","10028","1411","1411","0","1411","1411","3405","3405","0","3405","3405","650394","650394","0","650394","650394","44","44","0","44","44","9591","9591","0","9591","9591","3787","3787","0","3787","3787","13482","13482","0","13482","13482","13482","13482","0","13482","13482","230330_EN_FB"
"","http://cms.ndma.gov.pk/page/ndma-hrfs-warehouses","1","10331","10331","0","10331","10331","10808","10808","0","10808","10808","1377","1377","0","1377","1377","3801","3801","0","3801","3801","1573537","1573537","0","1573537","1573537","90","90","0","90","90","10331","10331","0","10331","10331","4200","4200","0","4200","4200","14234","14234","0","14234","14234","14234","14234","0","14234","14234","230330_7C_FC"
"","http://cms.ndma.gov.pk/news","1","0","0","0","0","0","56845","56845","0","56845","56845","1658","1658","0","1658","1658","3766","3766","0","3766","3766","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6685","6685","0","6685","6685","120943","120943","0","120943","120943","120943","120943","0","120943","120943","230330_VZ_FD"
"","http://cms.ndma.gov.pk/page/sitrep-2022","1","8176","8176","0","8176","8176","8742","8742","0","8742","8742","1987","1987","0","1987","1987","4655","4655","0","4655","4655","650158","650158","0","650158","650158","43","43","0","43","43","8176","8176","0","8176","8176","5273","5273","0","5273","5273","12433","12433","0","12433","12433","12433","12433","0","12433","12433","230330_Q0_FE"
"","http://cms.ndma.gov.pk/page/advisories-2022","1","6070","6070","0","6070","6070","6368","6368","0","6368","6368","1144","1144","0","1144","1144","3414","3414","0","3414","3414","651427","651427","0","651427","651427","44","44","0","44","44","6070","6070","0","6070","6070","3679","3679","0","3679","3679","9840","9840","0","9840","9840","9840","9840","0","9840","9840","230330_GN_FF"
"","http://cms.ndma.gov.pk/tenders","1","6579","6579","0","6579","6579","6967","6967","0","6967","6967","2384","2384","0","2384","2384","4927","4927","0","4927","4927","303334","303334","0","303334","303334","41","41","0","41","41","6580","6580","0","6580","6580","5280","5280","0","5280","5280","10834","10834","0","10834","10834","10834","10834","0","10834","10834","230330_T7_FG"
