"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","cpu.FunctionCall","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","jpeg_scan_count","score_progressive_jpeg","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","initiator_function","http2_server_settings",
"3","230330_VJ_EY","1E87D40A81E9BFD0C6F30EE754AF53BA","127.0.0.1","http://cms.ndma.gov.pk/","0","GET","cms.ndma.gov.pk","/","1E87D40A81E9BFD0C6F30EE754AF53BA","02ECCA037D554393547FD27783D007AB","http://cms.ndma.gov.pk/","200","Document","1794","1779","79","79.449","10222","10222","76817","","no-cache, private","text/html","gzip","23","http/1.1","-1","-1","48","53","-1","-1","","","","script","Highest","Highest","","1510","-1","-1","100","-1","100","-1","-1","-1","-1","-1","5","-1","10222","0","","","","","","","","75","8080","1","1","1873","79","1858","1858","1873","15","48","1873","1799","0","1","4","3","7","1","0","","","","","","","","","","","","","","",
"3","230330_VJ_EY","3265.4","127.0.0.1","http://cms.ndma.gov.pk/public/assets/css/master.css","0","GET","cms.ndma.gov.pk","/public/assets/css/master.css","3265.4","02ECCA037D554393547FD27783D007AB","http://cms.ndma.gov.pk/","200","Stylesheet","493","481","2071","2070.965","380","380","1030","","","text/css","gzip","23","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/","82","","parser","Highest","Highest","","2866","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","380","0","","","","","0","","","2058","8080","","","2564","2071","2552","2552","2564","12","2071","2564","493","1","2","","","","1","0","blocking","","","","","","","","","","","","","",
"3","230330_VJ_EY","3265.5","127.0.0.1","http://cms.ndma.gov.pk/public/assets/styles.css","0","GET","cms.ndma.gov.pk","/public/assets/styles.css","3265.5","02ECCA037D554393547FD27783D007AB","http://cms.ndma.gov.pk/","200","Stylesheet","685","682","2085","2084.951","2905","2905","10744","","","text/css","gzip","25","http/1.1","-1","-1","51","53","-1","-1","http://cms.ndma.gov.pk/","83","","parser","Highest","Highest","","2854","0","0","100","-1","100","-1","-1","-1","-1","-1","2","-1","2905","0","","","","","0","","","2064","8080","","","2770","2085","2767","2767","2770","3","51","2770","687","2","3","","","","1","0","blocking","","","","","","","","","","","","","",
"3","230330_VJ_EY","3265.6","127.0.0.1","http://cms.ndma.gov.pk/public/assets/lightBox/css/lightbox.min.css","0","GET","cms.ndma.gov.pk","/public/assets/lightBox/css/lightbox.min.css","3265.6","02ECCA037D554393547FD27783D007AB","http://cms.ndma.gov.pk/","200","Stylesheet","894","887","2092","2092.156","905","905","2608","","","text/css","gzip","43","http/1.1","2027","2027","2088","2090","-1","-1","http://cms.ndma.gov.pk/","84","","parser","Highest","Highest","","2911","0","0","100","-1","100","-1","-1","-1","-1","0","2","-1","905","0","","","","","0","","","2081","8080","","","2986","2092","2979","2979","2986","7","2088","2986","896","3","4","","","","1","0","blocking","","","","","","","","","","","","","",
"3","230330_VJ_EY","3265.33","127.0.0.1","http://cms.ndma.gov.pk/public/assets/js/jquery-1.11.3.min.js","0","GET","cms.ndma.gov.pk","/public/assets/js/jquery-1.11.3.min.js","3265.33","02ECCA037D554393547FD27783D007AB","http://cms.ndma.gov.pk/","200","Script","1368","1356","2183","2183.148","33363","33363","96169","","","application/javascript","gzip","49","http/1.1","-1","-1","2169","2171","-1","-1","http://cms.ndma.gov.pk/","1375","","parser","High","Medium","","2848","0","0","100","-1","100","-1","-1","-1","-1","-1","2","-1","33363","0","","","","","0","","","2166","8080","","","3551","2183","3539","3539","3551","12","2169","3551","1370","4","5","90","36","165","1","0","in_body_parser_blocking","40","","","","","","","","","","","","",
"3","230330_VJ_EY","3265.34","127.0.0.1","http://cms.ndma.gov.pk/public/assets/js/bootstrap.min.js","0","GET","cms.ndma.gov.pk","/public/assets/js/bootstrap.min.js","3265.34","02ECCA037D554393547FD27783D007AB","http://cms.ndma.gov.pk/","200","Script","933","905","2204","2204.198","9753","9753","36822","","","application/javascript","gzip","55","http/1.1","-1","-1","2175","2176","-1","-1","http://cms.ndma.gov.pk/","1377","","parser","Medium","Medium","","2836","0","0","100","-1","100","-1","-1","-1","-1","-1","1","-1","9753","0","","","","","0","","","2172","8080","","","3137","2204","3109","3109","3137","28","2175","3137","934","5","6","35","14","48","1","0","in_body_parser_blocking","","","","","","","","","","","","","",
"3","230330_VJ_EY","3265.35","127.0.0.1","http://cms.ndma.gov.pk/public/assets/js/modernizr.custom.js","0","GET","cms.ndma.gov.pk","/public/assets/js/modernizr.custom.js","3265.35","02ECCA037D554393547FD27783D007AB","http://cms.ndma.gov.pk/","200","Script","886","879","2209","2208.536","3723","3723","8375","","","application/javascript","gzip","64","http/1.1","-1","-1","2186","2188","-1","-1","http://cms.ndma.gov.pk/","1378","","parser","Medium","Medium","","2845","0","0","100","-1","100","-1","-1","-1","-1","-1","2","-1","3723","0","","","","","0","","","2178","8080","","","3095","2209","3088","3088","3095","7","2186","3095","888","6","7","8","3","11","1","0","in_body_parser_blocking","","","","","","","","","","","","","",
"3","230330_VJ_EY","3265.36","127.0.0.1","http://cms.ndma.gov.pk/public/assets/assets/rendro-easy-pie-chart/dist/jquery.easypiechart.min.js","0","GET","cms.ndma.gov.pk","/public/assets/assets/rendro-easy-pie-chart/dist/jquery.easypiechart.min.js","3265.36","02ECCA037D554393547FD27783D007AB","http://cms.ndma.gov.pk/","200","Script","617","611","2582","2582.027","1668","1668","3926","","","application/javascript","gzip","23","http/1.1","-1","-1","-1","-1","-1","-1","http://cms.ndma.gov.pk/","1380","","parser","Medium","Medium","","2959","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1668","0","","","","","0","","","2180","8080","","","3199","2582","3193","3193","3199","6","2582","3199","617","7","8","2","2","4","1","0","in_body_parser_blocking","","","","","","","","","","","","","",
"3","230330_VJ_EY","3265.75","127.0.0.1","http://fonts.googleapis.com/css?family=Roboto:400,700,300,900,700italic,400italic,500,500italic,300italic","0","GET","fonts.googleapis.com","/css?family=Roboto:400,700,300,900,700italic,400italic,500,500italic,300italic","3265.75","02ECCA037D554393547FD27783D007AB","http://cms.ndma.gov.pk/","200","Stylesheet","466","462","2653","2653.346","1131","1131","23187","Thu, 30 Mar 2023 16:27:33 GMT","private, max-age=86400, stale-while-revalidate=604800","text/css","gzip","143","http/1.1","2580","2580","2635","2637","-1","-1","http://cms.ndma.gov.pk/public/assets/css/master.css","","","parser","Highest","Highest","","1132","50","100","100","-1","100","-1","-1","-1","-1","0","2","-1","1131","0","","","","","86400","Google","","2625","8080","","","3119","2653","3115","3115","3119","4","2635","3119","468","8","9","","","","1","0","blocking","","","","","","","","","","","","","",
"3","230330_VJ_EY","3265.76","127.0.0.1","http://fonts.googleapis.com/css?family=Montserrat:400,700","0","GET","fonts.googleapis.com","/css?family=Montserrat:400,700","3265.76","02ECCA037D554393547FD27783D007AB","http://cms.ndma.gov.pk/","200","Stylesheet","469","465","2655","2654.903","528","528","3272","Thu, 30 Mar 2023 16:27:33 GMT","private, max-age=86400, stale-while-revalidate=604800","text/css","gzip","149","http/1.1","-1","-1","2641","2642","-1","-1","http://cms.ndma.gov.pk/public/assets/css/master.css","","","parser","Highest","Highest","","1132","50","100","100","-1","100","-1","-1","-1","-1","-1","1","-1","528","0","","","","","86400","Google","","2627","8080","","","3124","2655","3120","3120","3124","4","2641","3124","470","9","10","","","","1","0","blocking","","","","","","","","","","","","","",
