"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://mocc.gov.pk/","1","86099","86099","0","86099","86099","100731","100731","0","100731","100731","5199","5199","0","5199","5199","22499","22499","0","22499","22499","12850754","12850754","0","12850754","12850754","133","133","0","133","133","86099","86099","0","86099","86099","67203","67203","0","67203","67203","101850","101850","0","101850","101850","101850","101850","0","101850","101850","230330_0D_W9"
"","https://mocc.gov.pk/index","1","83038","83038","0","83038","83038","101280","101280","0","101280","101280","3530","3530","0","3530","3530","20107","20107","0","20107","20107","12850746","12850746","0","12850746","12850746","133","133","0","133","133","83037","83037","0","83037","83037","65894","65894","0","65894","65894","98787","98787","0","98787","98787","98787","98787","0","98787","98787","230330_15_WA"
"","https://mocc.gov.pk/ProfileDetail/NWY2ZDM2NTQtMTBmMy00NzI0LTliMDktMWQzYTI3NzgxZWVk","1","56488","56488","0","56488","56488","58070","58070","0","58070","58070","2653","2653","0","2653","2653","21138","21138","0","21138","21138","6776652","6776652","0","6776652","6776652","60","60","0","60","60","56488","56488","0","56488","56488","46268","46268","0","46268","46268","56956","56956","0","56956","56956","56956","56956","0","56956","56956","230330_V0_WB"
"","https://mocc.gov.pk/ProfileDetail/OWU4N2Y3MjAtZjdiYy00N2M3LThkYzktNDNhYWFmM2FhY2U2","1","19269","19269","0","19269","19269","20431","20431","0","20431","20431","2970","2970","0","2970","2970","16002","16002","0","16002","16002","3578484","3578484","0","3578484","3578484","59","59","0","59","59","19269","19269","0","19269","19269","16360","16360","0","16360","16360","19390","19390","0","19390","19390","19390","19390","0","19390","19390","230330_ZB_WC"
"","https://mocc.gov.pk/Detail/MTFlZGI0ZmItN2QzYy00ZjI3LWJlNzAtOWQ3YmU3NjJlOTIy","1","1507","1507","0","1507","1507","1507","1507","0","1507","1507","0","0","0","0","0","1585","1585","0","1585","1585","0","0","0","0","0","1","1","0","1","1","1507","1507","0","1507","1507","1585","1585","0","1585","1585","1585","1585","0","1585","1585","1585","1585","0","1585","1585","230330_4B_WD"
"","https://mocc.gov.pk/Detail/YTY0MjVjZTQtZDA4ZC00OWY4LTlmYmQtNWMzZWVjOWZiNDhk","1","20380","20380","0","20380","20380","21408","21408","0","21408","21408","2660","2660","0","2660","2660","17744","17744","0","17744","17744","3564506","3564506","0","3564506","3564506","58","58","0","58","58","20380","20380","0","20380","20380","17948","17948","0","17948","17948","20508","20508","0","20508","20508","20508","20508","0","20508","20508","230330_07_WE"
"","https://mocc.gov.pk/Detail/YjIxNjFmNzAtYjUxOS00MTY2LWIzN2ItNDlkZmFiYTYzYmQz","1","22232","22232","0","22232","22232","23198","23198","0","23198","23198","2176","2176","0","2176","2176","20222","20222","0","20222","20222","3564913","3564913","0","3564913","3564913","58","58","0","58","58","22232","22232","0","22232","22232","20341","20341","0","20341","20341","22124","22124","0","22124","22124","22124","22124","0","22124","22124","230330_WC_WF"
"","https://mocc.gov.pk/Detail/MWE5MmNjNjItMzMwZC00MTI4LWE5OTEtNzQwM2ZjOThmOTZh","1","17539","17539","0","17539","17539","18643","18643","0","18643","18643","2060","2060","0","2060","2060","15301","15301","0","15301","15301","3583017","3583017","0","3583017","3583017","58","58","0","58","58","17539","17539","0","17539","17539","15451","15451","0","15451","15451","17186","17186","0","17186","17186","17186","17186","0","17186","17186","230330_HS_WG"
"","https://mocc.gov.pk/Detail/YjU1MzljYjEtZTM4NC00YmFmLTljOTQtNDViNDBkMzFkMDFl","1","19078","19078","0","19078","19078","20197","20197","0","20197","20197","3629","3629","0","3629","3629","17205","17205","0","17205","17205","3530428","3530428","0","3530428","3530428","55","55","0","55","55","19078","19078","0","19078","19078","17351","17351","0","17351","17351","19077","19077","0","19077","19077","19077","19077","0","19077","19077","230330_K3_WH"
"","https://mocc.gov.pk/Detail/MDk0MDA3MTUtY2Y0Ny00M2NiLWI1NjUtNjM1MTI2ZTYxYTli","1","14571","14571","0","14571","14571","15620","15620","0","15620","15620","2409","2409","0","2409","2409","12619","12619","0","12619","12619","3494440","3494440","0","3494440","3494440","55","55","0","55","55","14571","14571","0","14571","14571","12728","12728","0","12728","12728","14301","14301","0","14301","14301","14301","14301","0","14301","14301","230330_A1_WJ"
