"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","cpu.FunctionCall","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings",
"3","230330_R3_CY","539D0633A582BA90106EC065ECCD97FD","127.0.0.1","https://www.rescue.gov.pk/","1","GET","www.rescue.gov.pk","/","539D0633A582BA90106EC065ECCD97FD","3B35871C4055CAD5D4B92B0FF6DF9FF1","https://www.rescue.gov.pk/","200","Document","3028","3018","1773","1772.519","5328","5328","26687","","private","text/html","gzip","23","HTTP/2","0","0","64","70","70","1763","","","","script","Highest","Highest","","2119","-1","-1","100","-1","100","-1","-1","-1","-1","-1","6","1693","5328","0","","","","","","","","83","1","0","256","1","TLS 1.3","False","h2","4865","8081","1","1","4801","1773","4791","4791","4801","10","64","4801","4727","0","1","3","2","6","1","0","","","","","","",
"3","230330_R3_CY","22609.4","127.0.0.1","https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css","1","GET","cdn.jsdelivr.net","/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css","22609.4","3B35871C4055CAD5D4B92B0FF6DF9FF1","https://www.rescue.gov.pk/","200","Stylesheet","348","324","5307","5306.54","27506","27506","194901","","public, max-age=31536000, s-maxage=31536000, immutable","text/css","gzip","36","HTTP/2","4928","4929","4989","4991","4992","5295","https://www.rescue.gov.pk/","77","","parser","Highest","Highest","","1912","100","100","100","-1","100","-1","-1","-1","-1","1","2","303","27506","0","","","","","30943821","jsDelivr","","4981","1","0","256","1","TLS 1.3","False","h2","4865","8081","","","5655","5307","5631","5631","5655","24","4928","5655","654","1","2","","","","1","0","blocking","","","","","",
"3","230330_R3_CY","22609.5","127.0.0.1","https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/js/bootstrap.bundle.min.js","1","GET","cdn.jsdelivr.net","/npm/bootstrap@5.2.3/dist/js/bootstrap.bundle.min.js","22609.5","3B35871C4055CAD5D4B92B0FF6DF9FF1","https://www.rescue.gov.pk/","200","Script","319","269","5308","5308.436","23301","23301","80420","","public, max-age=31536000, s-maxage=31536000, immutable","application/javascript","gzip","36","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.rescue.gov.pk/","78","","parser","High","High","","1885","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","23301","0","","","","","28403738","jsDelivr","","4995","3","1","220","1","","","","","8081","","","5627","5308","5577","5577","5627","50","5308","5627","319","2","3","42","33","123","1","0","blocking","48","","","","",
"3","230330_R3_CY","22609.8","127.0.0.1","https://www.rescue.gov.pk/Images/abar.gif","1","GET","www.rescue.gov.pk","/Images/abar.gif","22609.8","3B35871C4055CAD5D4B92B0FF6DF9FF1","https://www.rescue.gov.pk/","200","Image","326","323","5887","5886.838","2143","2143","2143","","","image/gif","","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.rescue.gov.pk/","0","","parser","Low","Low","","2125","0","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","2143","0","0","","","5882","3","0","147","1","","","","","8081","","","6213","5887","6210","6210","6213","3","5887","6213","326","3","4","","","","1","0","","","","","","",
"3","230330_R3_CY","22609.9","127.0.0.1","https://www.rescue.gov.pk/Images/RescueLogo.jpg","1","GET","www.rescue.gov.pk","/Images/RescueLogo.jpg","22609.9","3B35871C4055CAD5D4B92B0FF6DF9FF1","https://www.rescue.gov.pk/","200","Image","310","306","5920","5920.005","10115","10115","10115","","","image/jpeg","","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.rescue.gov.pk/","0","","parser","Low","Low","","2143","0","0","-1","-1","100","-1","-1","62","-1","-1","-1","-1","","","","","10115","3785","0","","","5891","5","3","147","1","","","","","8081","","","6230","5920","6226","6226","6230","4","5920","6230","310","4","5","","","","1","0","","","1","50","","",
"3","230330_R3_CY","22609.10","127.0.0.1","https://www.rescue.gov.pk/Images/CenterImage/New1.PNG","1","GET","www.rescue.gov.pk","/Images/CenterImage/New1.PNG","22609.10","3B35871C4055CAD5D4B92B0FF6DF9FF1","https://www.rescue.gov.pk/","200","Image","2235","2159","5963","5962.618","520930","520930","520930","","","image/png","","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.rescue.gov.pk/","0","","parser","High","Low","","2161","0","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","520930","0","0","","","5896","7","5","147","1","","","","","8081","","","8198","5963","8122","8122","8198","76","5963","8198","2235","5","6","","","","1","0","","","","","","",
"3","230330_R3_CY","22609.11","127.0.0.1","https://www.rescue.gov.pk/Images/CenterImage/PMDUImage.jpeg","1","GET","www.rescue.gov.pk","/Images/CenterImage/PMDUImage.jpeg","22609.11","3B35871C4055CAD5D4B92B0FF6DF9FF1","https://www.rescue.gov.pk/","200","Image","1672","1620","5963","5963.39","100121","100121","100121","","","image/jpeg","","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.rescue.gov.pk/","0","","parser","Low","Low","","2179","0","0","-1","-1","100","-1","-1","77","-1","-1","-1","-1","","","","","100121","22424","0","","","5899","9","7","147","1","","","","","8081","","","7635","5963","7583","7583","7635","52","5963","7635","1672","6","7","","","","1","0","","","1","0","","",
"3","230330_R3_CY","22609.12","127.0.0.1","https://www.rescue.gov.pk/Images/CenterImage/New2.PNG","1","GET","www.rescue.gov.pk","/Images/CenterImage/New2.PNG","22609.12","3B35871C4055CAD5D4B92B0FF6DF9FF1","https://www.rescue.gov.pk/","200","Image","6153","6039","5967","5966.902","1404049","1404049","1404049","","","image/png","","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.rescue.gov.pk/","0","","parser","Low","Low","","2161","0","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","1404049","0","0","","","5902","11","9","147","1","","","","","8081","","","12120","5967","12006","12006","12120","114","5967","12120","6153","7","8","","","","1","0","","","","","","",
"3","230330_R3_CY","22609.13","127.0.0.1","https://www.rescue.gov.pk/Images/CenterImage/New3.png","1","GET","www.rescue.gov.pk","/Images/CenterImage/New3.png","22609.13","3B35871C4055CAD5D4B92B0FF6DF9FF1","https://www.rescue.gov.pk/","200","Image","7228","7138","5968","5968.018","817553","817553","817553","","","image/png","","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.rescue.gov.pk/","0","","parser","Low","Low","","2161","0","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","817553","0","0","","","5912","13","11","147","1","","","","","8081","","","13196","5968","13106","13106","13196","90","5968","13196","7228","8","9","","","","1","0","","","","","","",
"3","230330_R3_CY","22609.14","127.0.0.1","https://www.rescue.gov.pk/Images/CenterImage/New4.png","1","GET","www.rescue.gov.pk","/Images/CenterImage/New4.png","22609.14","3B35871C4055CAD5D4B92B0FF6DF9FF1","https://www.rescue.gov.pk/","200","Image","9827","9681","5969","5968.921","1643925","1643925","1643925","","","image/png","","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.rescue.gov.pk/","0","","parser","Low","Low","","2161","0","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","1643925","0","0","","","5916","15","13","147","1","","","","","8081","","","15796","5969","15650","15650","15796","146","5969","15796","9827","9","10","","","","1","0","","","","","","",
