"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://www.nih.org.pk/","1","24074","24074","0","24074","24074","24561","24561","0","24561","24561","923","923","0","923","923","2720","2720","0","2720","2720","12160196","12160196","0","12160196","12160196","122","122","0","122","122","24074","24074","0","24074","24074","3433","3433","0","3433","3433","6942","6942","0","6942","6942","6942","6942","0","6942","6942","230330_1Z_62"
"","https://www.nih.org.pk/home","1","22430","22430","0","22430","22430","22886","22886","0","22886","22886","452","452","0","452","452","1518","1518","0","1518","1518","12153762","12153762","0","12153762","12153762","122","122","0","122","122","22430","22430","0","22430","22430","2024","2024","0","2024","2024","4621","4621","0","4621","4621","4621","4621","0","4621","4621","230330_PB_63"
"","https://www.nih.org.pk/about-us","1","5288","5288","0","5288","5288","5431","5431","0","5431","5431","426","426","0","426","426","1378","1378","0","1378","1378","2144750","2144750","0","2144750","2144750","70","70","0","70","70","5288","5288","0","5288","5288","3306","3306","0","3306","3306","5254","5254","0","5254","5254","5254","5254","0","5254","5254","230330_9Q_64"
"","https://www.nih.org.pk/center-for-disease-control","1","3529","3529","0","3529","3529","5279","5279","0","5279","5279","494","494","0","494","494","1842","1842","0","1842","1842","1312006","1312006","0","1312006","1312006","69","69","0","69","69","3529","3529","0","3529","3529","1884","1884","0","1884","1884","2854","2854","0","2854","2854","2854","2854","0","2854","2854","230330_03_65"
"","https://www.nih.org.pk/health-research-institute","1","3055","3055","0","3055","3055","5126","5126","0","5126","5126","416","416","0","416","416","1617","1617","0","1617","1617","1071360","1071360","0","1071360","1071360","66","66","0","66","66","3055","3055","0","3055","3055","1763","1763","0","1763","1763","2746","2746","0","2746","2746","2746","2746","0","2746","2746","230330_F9_66"
"","https://www.nih.org.pk/national-health-laboratory","1","2085","2085","0","2085","2085","4203","4203","0","4203","4203","426","426","0","426","426","1508","1508","0","1508","1508","561186","561186","0","561186","561186","59","59","0","59","59","2085","2085","0","2085","2085","1610","1610","0","1610","1610","2130","2130","0","2130","2130","2130","2130","0","2130","2130","230330_XK_67"
"","https://www.nih.org.pk/health-data-center","1","20965","20965","0","20965","20965","21569","21569","0","21569","21569","307","307","0","307","307","1280","1280","0","1280","1280","11325715","11325715","0","11325715","11325715","69","69","0","69","69","20965","20965","0","20965","20965","3710","3710","0","3710","3710","5638","5638","0","5638","5638","5638","5638","0","5638","5638","230330_9E_68"
"","https://www.nih.org.pk/institute-of-nutirition-and-health","1","3401","3401","0","3401","3401","5177","5177","0","5177","5177","436","436","0","436","436","1444","1444","0","1444","1444","1456056","1456056","0","1456056","1456056","69","69","0","69","69","3401","3401","0","3401","3401","2158","2158","0","2158","2158","3033","3033","0","3033","3033","3033","3033","0","3033","3033","230330_KN_69"
"","https://www.nih.org.pk/vaccine-and-biological-products-center","1","14505","14505","0","14505","14505","18026","18026","0","18026","18026","412","412","0","412","412","1699","1699","0","1699","1699","6527102","6527102","0","6527102","6527102","86","86","0","86","86","14505","14505","0","14505","14505","2493","2493","0","2493","2493","3385","3385","0","3385","3385","3385","3385","0","3385","3385","230330_M2_6A"
"","https://www.nih.org.pk/center-for-enviromental-and-occupational-health","1","3701","3701","0","3701","3701","5546","5546","0","5546","5546","457","457","0","457","457","1500","1500","0","1500","1500","1302125","1302125","0","1302125","1302125","68","68","0","68","68","3701","3701","0","3701","3701","2307","2307","0","2307","2307","3551","3551","0","3551","3551","3551","3551","0","3551","3551","230330_FF_6B"
