"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpu.FunctionCall","cpuTime","run","cached","renderBlocking","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings",
"3","230330_1Z_62","2D0EB891EFBE62C7615F51C850C5677D","127.0.0.1","https://www.nih.org.pk/","1","GET","www.nih.org.pk","/","2D0EB891EFBE62C7615F51C850C5677D","AD9FB3F933692CC100BC469DF9184EFF","https://www.nih.org.pk/","200","Document","459","441","482","481.557","14141","14141","67219","-1","private, must-revalidate","text/html","gzip","25","HTTP/2","0","0","51","56","56","476","","","","script","Highest","Highest","","2110","-1","100","100","-1","100","-1","-1","-1","-1","-1","5","420","15322","0","","","","","","Cloudflare","","65","1","0","256","1","TLS 1.3","False","h2","4865","8081","1","1","941","482","923","923","941","18","51","941","884","0","1","77","2","4","83","1","0","","","","","",
"3","230330_1Z_62","12395.5","127.0.0.1","https://www.nih.org.pk/css/bootstrap.min.css","1","GET","www.nih.org.pk","/css/bootstrap.min.css","12395.5","AD9FB3F933692CC100BC469DF9184EFF","https://www.nih.org.pk/","200","Stylesheet","649","601","1157","1157.252","21047","21047","140936","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nih.org.pk/","84","","parser","Highest","Highest","","3916","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","21047","0","","","","","14400","Cloudflare","","1129","3","0","256","1","","","","","8081","","","1806","1157","1758","1758","1806","48","1157","1806","649","1","2","","","","","1","0","blocking","","","","",
"3","230330_1Z_62","12395.6","127.0.0.1","https://www.nih.org.pk/css/owl.carousel.min.css","1","GET","www.nih.org.pk","/css/owl.carousel.min.css","12395.6","AD9FB3F933692CC100BC469DF9184EFF","https://www.nih.org.pk/","200","Stylesheet","562","559","1173","1172.547","910","910","2937","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nih.org.pk/","85","","parser","Highest","Highest","","3925","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","910","0","","","","","14400","Cloudflare","","1146","5","3","256","1","","","","","8081","","","1735","1173","1732","1732","1735","3","1173","1735","562","2","3","","","","","1","0","blocking","","","","",
"3","230330_1Z_62","12395.7","127.0.0.1","https://www.nih.org.pk/css/animate.min.css","1","GET","www.nih.org.pk","/css/animate.min.css","12395.7","AD9FB3F933692CC100BC469DF9184EFF","https://www.nih.org.pk/","200","Stylesheet","565","555","1193","1192.728","4891","4891","68606","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nih.org.pk/","86","","parser","Highest","Highest","","3910","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","4891","0","","","","","14400","Cloudflare","","1160","7","5","256","1","","","","","8081","","","1758","1193","1748","1748","1758","10","1193","1758","565","3","4","","","","","1","0","blocking","","","","",
"3","230330_1Z_62","12395.8","127.0.0.1","https://www.nih.org.pk/css/nice-select.css","1","GET","www.nih.org.pk","/css/nice-select.css","12395.8","AD9FB3F933692CC100BC469DF9184EFF","https://www.nih.org.pk/","200","Stylesheet","540","535","1215","1215.151","1057","1057","4007","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nih.org.pk/","87","","parser","Highest","Highest","","3910","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1057","0","","","","","14400","Cloudflare","","1163","9","7","256","1","","","","","8081","","","1755","1215","1750","1750","1755","5","1215","1755","540","4","5","","","","","1","0","blocking","","","","",
"3","230330_1Z_62","12395.9","127.0.0.1","https://www.nih.org.pk/css/magnific-popup.css","1","GET","www.nih.org.pk","/css/magnific-popup.css","12395.9","AD9FB3F933692CC100BC469DF9184EFF","https://www.nih.org.pk/","200","Stylesheet","463","455","1226","1226.5","1816","1816","6951","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nih.org.pk/","88","","parser","Highest","Highest","","3919","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1816","0","","","","","14400","Cloudflare","","1168","11","9","256","1","","","","","8081","","","1689","1226","1681","1681","1689","8","1226","1689","463","5","6","","","","","1","0","blocking","","","","",
"3","230330_1Z_62","12395.10","127.0.0.1","https://www.nih.org.pk/css/all.min.css","1","GET","www.nih.org.pk","/css/all.min.css","12395.10","AD9FB3F933692CC100BC469DF9184EFF","https://www.nih.org.pk/","200","Stylesheet","587","574","1228","1228.134","30747","30747","159714","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nih.org.pk/","89","","parser","Highest","Highest","","3898","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","30747","0","","","","","14400","Cloudflare","","1176","13","11","256","1","","","","","8081","","","1815","1228","1802","1802","1815","13","1228","1815","587","6","7","","","","","1","0","blocking","","","","",
"3","230330_1Z_62","12395.11","127.0.0.1","https://www.nih.org.pk/css/meanmenu.css","1","GET","www.nih.org.pk","/css/meanmenu.css","12395.11","AD9FB3F933692CC100BC469DF9184EFF","https://www.nih.org.pk/","200","Stylesheet","569","558","1231","1231.42","1136","1136","4248","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nih.org.pk/","90","","parser","Highest","Highest","","3901","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1136","0","","","","","14400","Cloudflare","","1178","15","13","256","1","","","","","8081","","","1800","1231","1789","1789","1800","11","1231","1800","569","7","8","","","","","1","0","blocking","","","","",
"3","230330_1Z_62","12395.12","127.0.0.1","https://www.nih.org.pk/css/slick.css","1","GET","www.nih.org.pk","/css/slick.css","12395.12","AD9FB3F933692CC100BC469DF9184EFF","https://www.nih.org.pk/","200","Stylesheet","539","532","1236","1235.853","569","569","1776","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nih.org.pk/","91","","parser","Highest","Highest","","3892","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","569","0","","","","","14400","Cloudflare","","1180","17","15","256","1","","","","","8081","","","1775","1236","1768","1768","1775","7","1236","1775","539","8","9","","","","","1","0","blocking","","","","",
"3","230330_1Z_62","12395.13","127.0.0.1","https://www.nih.org.pk/css/default.css","1","GET","www.nih.org.pk","/css/default.css","12395.13","AD9FB3F933692CC100BC469DF9184EFF","https://www.nih.org.pk/","200","Stylesheet","538","533","1238","1238.148","1738","1738","10365","","max-age=14400","text/css","gzip","25","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nih.org.pk/","92","","parser","Highest","Highest","","3898","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1738","0","","","","","14400","Cloudflare","","1182","19","17","256","1","","","","","8081","","","1776","1238","1771","1771","1776","5","1238","1776","538","9","10","","","","","1","0","blocking","","","","",
