"loadTime","docTime","fullyLoaded","bytesOut","bytesOutDoc","bytesIn","bytesInDoc","requests","requestsFull","requestsDoc","responses_200","responses_404","responses_other","result","testStartOffset","cached","optimization_checked","main_frame","loadEventStart","loadEventEnd","domContentLoadedEventStart","domContentLoadedEventEnd","URL","connections","final_base_page_request","final_base_page_request_id","final_url","firstPaint","firstContentfulPaint","firstImagePaint","firstMeaningfulPaint","domInteractive","renderBlockingCSS","renderBlockingJS","TTFB","basePageSSLTime","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","score_progressive_jpeg","gzip_total","gzip_savings","minify_total","minify_savings","image_total","image_savings","base_page_cdn","cpu.UpdateLayerTree","cpu.EventDispatch","cpu.CommitLoad","cpu.EvaluateScript","cpu.v8.compile","cpu.ParseHTML","cpu.ResourceFetcher::requestResource","cpu.ParseAuthorStyleSheet","cpu.FunctionCall","cpu.UpdateLayoutTree","cpu.MarkDOMContent","cpu.MarkLoad","cpu.Layout","cpu.IntersectionObserverController::computeIntersections","cpu.Paint","cpu.MinorGC","cpu.V8.GC_HEAP_PROLOGUE","cpu.V8.GC_HEAP_EXTERNAL_PROLOGUE","cpu.V8.GC_SCAVENGER_COMPLETE_SWEEP_ARRAY_BUFFERS","cpu.V8.GC_SCAVENGER","cpu.V8.GC_TIME_TO_SAFEPOINT","cpu.V8.GC_HEAP_PROLOGUE_SAFEPOINT","cpu.V8.GC_SCAVENGER_SCAVENGE","cpu.V8.GC_SCAVENGER_SCAVENGE_WEAK_GLOBAL_HANDLES_IDENTIFY","cpu.V8.GC_SCAVENGER_SCAVENGE_ROOTS","cpu.V8.GC_SCAVENGER_SCAVENGE_PARALLEL","cpu.V8.GC_SCAVENGER_SCAVENGE_WEAK_GLOBAL_HANDLES_PROCESS","cpu.V8.GC_SCAVENGER_SCAVENGE_FINALIZE","cpu.V8.GC_SCAVENGER_SCAVENGE_UPDATE_REFS","cpu.V8.GC_SCAVENGER_FREE_REMEMBERED_SET","cpu.V8.GC_SCAVENGER_SWEEP_ARRAY_BUFFERS","cpu.V8.GC_HEAP_EXTERNAL_WEAK_GLOBAL_HANDLES","cpu.V8.GC_HEAP_EPILOGUE_SAFEPOINT","cpu.V8.GC_HEAP_EPILOGUE_REDUCE_NEW_SPACE","cpu.V8.GC_HEAP_EXTERNAL_EPILOGUE","cpu.V8.GC_HEAP_EPILOGUE","cpu.largestContentfulPaint::Candidate","cpu.ResourceChangePriority","cpu.HitTest","cpu.TimerFire","cpu.XHRReadyStateChange","cpu.XHRLoad","cpu.Idle","tester","start_epoch","osVersion","os_version","browserVersion","browser_version","date","document_URL","document_hostname","document_origin","domElements","domComplete","PerformancePaintTiming.first-paint","PerformancePaintTiming.first-contentful-paint","base_page_ip_ptr","base_page_cname","base_page_dns_server","browser_name","eventName","test_run_time_ms","testUrl","lastVisualChange","render","visualComplete85","visualComplete90","visualComplete95","visualComplete99","visualComplete","SpeedIndex","LargestContentfulPaintType","LargestContentfulPaintNodeType","chromeUserTiming.navigationStart","chromeUserTiming.fetchStart","chromeUserTiming.responseEnd","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.commitNavigationEnd","chromeUserTiming.domLoading","chromeUserTiming.firstPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.firstImagePaint","chromeUserTiming.firstMeaningfulPaint","chromeUserTiming.LayoutShift","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.InteractiveTime","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","chromeUserTiming.LargestTextPaint","chromeUserTiming.LargestContentfulPaint","chromeUserTiming.LargestImagePaint","chromeUserTiming.TotalLayoutShift","chromeUserTiming.CumulativeLayoutShift","FirstInteractive","maxFID","TTIMeasurementEnd","LastInteractive","TimeToInteractive","FirstCPUIdle","TotalBlockingTime","testID","run","step","effectiveBps","domTime","aft","titleTime","domLoading","server_rtt","edge-processed","effectiveBpsDoc","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id","cpu.V8.GC_MC_COMPLETE_SWEEPING","cpu.V8.GC_MC_COMPLETE_SWEEP_ARRAY_BUFFERS","cpu.V8.GC_MC_INCREMENTAL_START","cpu.V8.GC_MC_INCREMENTAL_EXTERNAL_PROLOGUE","cpu.V8.GC_MC_INCREMENTAL_EMBEDDER_PROLOGUE","cpu.BlinkGC.IncrementalMarkingStartMarking","cpu.BlinkGC.VisitRoots","cpu.V8.GC_MC_INCREMENTAL_EXTERNAL_EPILOGUE","cpu.V8.GC_MC_INCREMENTAL","cpu.V8.GC_MC_INCREMENTAL_EMBEDDER_TRACING","cpu.BlinkGC.UnifiedMarkingStep","cpu.BlinkGC.IncrementalMarkingWithDeadline","cpu.BlinkGC.MarkProcessWorklists","cpu.BlinkGC.MarkBailOutObjects","cpu.BlinkGC.IncrementalMarkingStep","cpu.BlinkGC.MarkFlushEphemeronPairs","cpu.BlinkGC.MarkFlushV8References","cpu.BlinkGC.MarkProcessNotFullyconstructeddWorklist","cpu.BlinkGC.MarkProcessMarkingWorklist","cpu.BlinkGC.MarkProcessWriteBarrierWorklist","cpu.MajorGC","cpu.V8.GC_MC_INCREMENTAL_FINALIZE","cpu.V8.GC_MC_INCREMENTAL_FINALIZE_BODY","cpu.V8.GC_MARK_COMPACTOR","cpu.V8.GC_MC_PROLOGUE","cpu.V8.GC_MC_MARK","cpu.V8.GC_MC_MARK_FINISH_INCREMENTAL","cpu.BlinkGC.AtomicPauseMarkPrologue","cpu.BlinkGC.AtomicPauseMarkRoots","cpu.V8.GC_MC_MARK_ROOTS","cpu.V8.GC_MC_MARK_MAIN","cpu.V8.GC_MC_MARK_WEAK_CLOSURE","cpu.V8.GC_MC_MARK_EMBEDDER_TRACING_CLOSURE","cpu.V8.GC_MC_MARK_EMBEDDER_TRACING","cpu.BlinkGC.AtomicPauseMarkTransitiveClosure","cpu.BlinkGC.MarkInvokeEphemeronCallbacks","cpu.V8.GC_MC_MARK_WEAK_CLOSURE_EPHEMERON","cpu.V8.GC_MC_MARK_WEAK_CLOSURE_EPHEMERON_MARKING","cpu.V8.GC_MC_MARK_WEAK_CLOSURE_WEAK_HANDLES","cpu.V8.GC_MC_MARK_WEAK_CLOSURE_WEAK_ROOTS","cpu.V8.GC_MC_MARK_WEAK_CLOSURE_HARMONY","cpu.V8.GC_MC_CLEAR","cpu.V8.GC_MC_CLEAR_STRING_TABLE","cpu.V8.GC_MC_CLEAR_FLUSHABLE_BYTECODE","cpu.V8.GC_MC_CLEAR_FLUSHED_JS_FUNCTIONS","cpu.V8.GC_MC_CLEAR_WEAK_LISTS","cpu.V8.GC_MC_CLEAR_MAPS","cpu.V8.GC_MC_CLEAR_WEAK_REFERENCES","cpu.V8.GC_MC_CLEAR_WEAK_COLLECTIONS","cpu.V8.GC_MC_SWEEP","cpu.V8.GC_MC_EVACUATE","cpu.V8.GC_MC_EVACUATE_PROLOGUE","cpu.V8.GC_MC_EVACUATE_COPY","cpu.V8.GC_MC_EVACUATE_COPY_PARALLEL","cpu.V8.GC_MC_EVACUATE_UPDATE_POINTERS","cpu.V8.GC_MC_EVACUATE_UPDATE_POINTERS_TO_NEW_ROOTS","cpu.V8.GC_MC_EVACUATE_UPDATE_POINTERS_SLOTS_MAIN","cpu.V8.GC_MC_EVACUATE_UPDATE_POINTERS_PARALLEL","cpu.V8.GC_MC_EVACUATE_UPDATE_POINTERS_WEAK","cpu.V8.GC_MC_EVACUATE_REBALANCE","cpu.V8.GC_MC_EVACUATE_CLEAN_UP","cpu.V8.GC_MC_EVACUATE_EPILOGUE","cpu.V8.GC_MC_FINISH","cpu.V8.GC_MC_FINISH_SWEEP_ARRAY_BUFFERS","cpu.V8.GC_MC_EPILOGUE","cpu.V8.GC_HEAP_EMBEDDER_TRACING_EPILOGUE","cpu.BlinkGC.AtomicPauseMarkEpilogue","cpu.BlinkGC.AtomicPauseSweepAndCompact","cpu.BlinkGC.LazySweepOnAllocation","cpu.BlinkGC.LazySweepInIdle","LargestContentfulPaintImageURL",
"24074","24074","24561","442236","437603","12163634","12160196","123","123","122","120","2","1","0","0","0","1","AD9FB3F933692CC100BC469DF9184EFF","24074","24123","3563","3608","https://www.nih.org.pk/","8","0","2D0EB891EFBE62C7615F51C850C5677D","https://www.nih.org.pk/","2721.5","2722","2722","2722","3563","15","1","923","420","84","100","57","-1","100","-1","-1","50","-1","2","1231006","534864","-1","-1","10258099","5130585","Cloudflare","137","19","0","82","134","55","205","74","936","183","0","0","674","40","82","1","0","0","0","1","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","9","274","3","0","21640","mukeet-ThinkPad-T490-192.168.0.112","1680178346.6472","","","92.0.4515.131","92.0.4515.131","1680178364.3189","https://www.nih.org.pk/","www.nih.org.pk","https://www.nih.org.pk","1318","24074","2721.5","2721.5","","","izabella.ns.cloudflare.com","android - chrome","Step_1","45192","https://www.nih.org.pk/","6942","2720","3990","5510","6942","6942","6942","3433","text","H1","0","43","957","1000","1000","1004","1005","2721","2721","2721","2721","2721","3947","3563","3563","3608","16115","24074","24074","24123","2722","2722","5506","0.03212490235305","0.03212490235305","11533","887","29255","11533","11533","11533","1944","230330_1Z_62","1","1","514579","0","0","0","0","0","1","525255","17235","5","75291","1018640","32","1565343","119045","19","702459","10328290","54","10460893","0","0","0","680196","10","680196","0","0","0","228","3","182","230330_1Z_62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"22430","22430","22886","443328","438683","12157200","12153762","123","123","122","120","2","1","0","0","0","1","A598A6FAF4F95BC7AD216E1D91C87B8D","22430","22478","2423","2463","https://www.nih.org.pk/home","8","0","9B07656B17F3CB20A6A8C25737328A96","https://www.nih.org.pk/home","1538.9000000004","1539","1539","1539","2423","15","1","452","13","84","100","57","-1","100","-1","-1","50","-1","2","1224452","534864","-1","-1","10258099","5130585","Cloudflare","120","16","1","46","95","44","162","106","600","197","0","0","532","37","75","4","0","0","0","4","0","0","3","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","10","188","5","0","20637","mukeet-ThinkPad-T490-192.168.0.112","1680178411.6943","","","92.0.4515.131","92.0.4515.131","1680178427.4057","https://www.nih.org.pk/home","www.nih.org.pk","https://www.nih.org.pk","1318","22429","1538.9000000004","1538.9000000004","","","izabella.ns.cloudflare.com","android - chrome","Step_1","43316","https://www.nih.org.pk/home","4621","1518","2596","2644","4621","4621","4621","2024","text","H1","0","44","468","534","534","537","538","1538","1538","1538","1538","1538","2640","2422","2423","2463","14473","22429","22430","22477","1539","1539","2555","0.03212490235305","0.03212490235305","10588","630","27562","10588","10588","10588","1624","230330_PB_63","1","1","541909","0","0","0","0","0","1","552996","17236","5","75292","1016733","32","1561489","114517","19","654716","10328290","54","10460893","0","0","0","680196","10","680196","0","0","0","228","3","182","230330_PB_63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"5288","5288","5431","252431","247774","2148188","2144750","71","71","70","70","0","1","0","0","0","1","8D5183DA7175488930F3E5EA00B9C25D","5288","5292","1851","1861","https://www.nih.org.pk/about-us","5","0","17AD01155C0AE0E6ED96F49682A06BA4","https://www.nih.org.pk/about-us","1377.9000000004","1378","1378","1378","1851","15","1","426","8","78","100","100","-1","100","-1","-1","100","-1","0","795576","0","-1","-1","802864","0","Cloudflare","43","4","0","150","180","19","167","120","916","145","0","0","225","10","31","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","1","16","1","0","3386","mukeet-ThinkPad-T490-192.168.0.112","1680178472.919","","","92.0.4515.131","92.0.4515.131","1680178490.7463","https://www.nih.org.pk/about-us","www.nih.org.pk","https://www.nih.org.pk","433","5288","1377.9000000004","1377.9000000004","","","izabella.ns.cloudflare.com","android - chrome","Step_1","18559","https://www.nih.org.pk/about-us","5254","1378","5254","5254","5254","5254","5254","3306","text","P","0","48","441","507","507","510","511","1377","1377","1377","1377","1377","2437","1851","1851","1860","","5288","5288","5292","1378","1378","2514","0.028241344566562","0.028241344566562","","880","8759","5083","","","1168","230330_9Q_64","1","1","429208","0","0","0","0","0","1","441125","7646","2","30298","175935","24","603552","114517","19","654716","1292793","15","1585091","0","0","0","557092","9","557092","0","0","0","205","2","179","230330_9Q_64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"3529","3529","5279","254681","246423","1315472","1312006","71","71","69","69","1","1","0","0","0","1","764C31E0BE1BFC7D27D6DA2F6C27B4E8","3529","3536","1964","1974","https://www.nih.org.pk/center-for-disease-control","5","0","AADFB7CE9FED2FF270A86611D0E2A1EB","https://www.nih.org.pk/center-for-disease-control","1833.3000000007","1833","2773","1833","1964","15","1","494","14","77","100","100","-1","100","-1","-1","100","-1","0","374465","0","-1","-1","390043","0","Cloudflare","52","4","0","111","124","18","158","108","950","112","0","0","305","5","21","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","1","14","1","0","3268","mukeet-ThinkPad-T490-192.168.0.112","1680178510.4251","","","92.0.4515.131","92.0.4515.131","1680178527.3056","https://www.nih.org.pk/center-for-disease-control","www.nih.org.pk","https://www.nih.org.pk","515","3529","1833.3000000007","1833.3000000007","","","ignat.ns.cloudflare.com","android - chrome","Step_1","16683","https://www.nih.org.pk/center-for-disease-control","2854","1842","1842","1842","1842","2854","2854","1884","text","LI","0","51","534","591","591","594","596","1833","1833","1833","2773","1833","2794","1964","1964","1974","","3529","3529","3537","1833","1833","2862","0.028833196901596","0.028833196901596","","912","8523","5039","","","1032","230330_03_65","1","1","274915","0","0","0","0","0","1","432291","9860","3","32120","175664","24","603176","114517","19","654716","458134","14","588671","0","0","0","557092","9","557092","0","0","0","205","2","179","230330_03_65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"3055","3055","5126","241985","233730","1074826","1071360","68","68","66","67","0","1","0","0","0","1","4336F0863F205EEDF1627D2F26DFC6EA","3055","3059","1766","1774","https://www.nih.org.pk/health-research-institute","5","0","E6FCDBD99310C65A19039FC0F8E5F51B","https://www.nih.org.pk/health-research-institute","1614.5","1614","2494","1614","1766","15","1","416","12","77","100","100","-1","100","-1","-1","100","-1","0","372464","0","-1","-1","151690","0","Cloudflare","28","4","0","107","132","17","139","99","1101","103","0","0","190","4","17","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","1","13","1","0","3141","mukeet-ThinkPad-T490-192.168.0.112","1680178546.109","","","92.0.4515.131","92.0.4515.131","1680178564.0873","https://www.nih.org.pk/health-research-institute","www.nih.org.pk","https://www.nih.org.pk","408","3055","1614.5","1614.5","","","izabella.ns.cloudflare.com","android - chrome","Step_1","16292","https://www.nih.org.pk/health-research-institute","2746","1617","1895","2493","2493","2746","2746","1763","text","H1","0","45","451","499","499","503","504","1614","1614","1614","2494","1614","2424","1765","1765","1774","","3054","3055","3059","1614","1614","2494","0.074490650390807","0.074490650390807","","1085","8322","4906","","","1207","230330_F9_66","1","1","228200","0","0","0","0","0","1","405971","6407","2","21511","176824","24","604810","114517","19","654716","219781","12","350318","0","0","0","557092","9","557092","0","0","0","205","2","179","230330_F9_66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2085","2085","4203","228255","211544","568430","561186","63","63","59","62","0","1","0","0","0","1","3B2197D40E0BFBB083C0646CBC5E798A","2085","2087","1815","1826","https://www.nih.org.pk/national-health-laboratory","5","0","E70C1BD2D9FE0AD3319B97B8F8C33D28","https://www.nih.org.pk/national-health-laboratory","1500","1500","1947","1500","1815","15","1","426","8","78","100","100","-1","100","-1","-1","100","-1","0","371788","0","-1","-1","145996","0","Cloudflare","9","2","0","125","157","29","156","112","947","85","0","0","93","2","6","0","0","0","0","0","0","1","0","0","3","28","0","0","0","0","0","0","0","0","0","0","0","0","1","9","1","0","2436","mukeet-ThinkPad-T490-192.168.0.112","1680178581.4659","","","92.0.4515.131","92.0.4515.131","1680178597.5031","https://www.nih.org.pk/national-health-laboratory","www.nih.org.pk","https://www.nih.org.pk","442","2085","1500","1500","","","izabella.ns.cloudflare.com","android - chrome","Step_1","14581","https://www.nih.org.pk/national-health-laboratory","2130","1508","1957","1957","2130","2130","2130","1610","text","LI","0","43","460","487","487","490","492","1499","1499","1499","1946","1499","2026","1815","1815","1826","","2085","2085","2087","1500","1500","2108","0.030496089924706","0.030496089924706","","939","7374","3973","","","1042","230330_XK_67","1","1","150497","0","0","0","0","0","1","338267","7391","2","25038","174770","24","601844","114517","19","654716","214087","12","344624","0","0","0","57460","4","57460","0","0","0","205","2","179","230330_XK_67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"20965","20965","21569","249868","245181","11329153","11325715","70","70","69","69","0","1","0","0","0","1","827B9EC51433AE845F3E2944F50B90B5","20965","20974","1527","1536","https://www.nih.org.pk/health-data-center","5","0","DF565A1FF1383CD2F28B09909A8B70FB","https://www.nih.org.pk/health-data-center","1292.6999999993","1293","1293","1293","1527","15","1","307","13","78","100","100","-1","100","-1","-1","100","-1","0","373021","0","-1","-1","10405546","5770","Cloudflare","32","7","0","18","106","16","147","120","814","56","0","0","179","7","28","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","2","243","0","0","19790","mukeet-ThinkPad-T490-192.168.0.112","1680178614.1969","","","92.0.4515.131","92.0.4515.131","1680178632.3272","https://www.nih.org.pk/health-data-center","www.nih.org.pk","https://www.nih.org.pk","414","20965","1292.6999999993","1292.6999999993","","","ignat.ns.cloudflare.com","android - chrome","Step_1","37139","https://www.nih.org.pk/health-data-center","5638","1280","5638","5638","5638","5638","5638","3710","text","P","0","42","336","377","377","382","384","1292","1292","1292","1292","1292","2236","1527","1527","1536","4749","20965","20965","20974","1293","1293","2327","0.071098881092431","0.071098881092431","4749","822","27084","4749","4749","4749","1031","230330_9E_68","1","1","532835","0","0","0","0","0","1","548248","6461","2","21951","177241","24","607056","114517","19","654716","10473637","14","10604174","0","0","0","557092","9","557092","0","0","0","205","2","179","230330_9E_68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"3401","3401","5177","255962","247680","1459522","1456056","71","71","69","70","0","1","0","0","0","1","0A7973A2DCF4FC81011E78D7700B130A","3401","3408","1684","1694","https://www.nih.org.pk/institute-of-nutirition-and-health","5","0","C16CB06C35BD029AFC14957A46D86D19","https://www.nih.org.pk/institute-of-nutirition-and-health","1435.0999999996","1435","1435","1435","1684","15","1","436","9","78","100","100","-1","100","-1","-1","100","-1","0","377165","0","-1","-1","531963","0","Cloudflare","67","4","0","129","139","21","139","106","953","125","0","0","361","7","21","0","0","0","0","0","0","1","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","1","15","0","0","3060","mukeet-ThinkPad-T490-192.168.0.112","1680178670.5864","","","92.0.4515.131","92.0.4515.131","1680178687.004","https://www.nih.org.pk/institute-of-nutirition-and-health","www.nih.org.pk","https://www.nih.org.pk","583","3401","1435.0999999996","1435.0999999996","","","ignat.ns.cloudflare.com","android - chrome","Step_1","19282","https://www.nih.org.pk/institute-of-nutirition-and-health","3033","1444","3033","3033","3033","3033","3033","2158","text","P","0","39","451","522","522","525","527","1435","1435","1435","1435","1435","2204","1684","1684","1694","","3401","3401","3408","1435","1435","2276","0.063388528131432","0.063388528131432","","917","8442","4959","","","1003","230330_KN_69","1","1","307851","0","0","0","0","0","1","491081","8930","2","30747","178724","24","609305","114517","19","654716","600054","15","730591","0","0","0","557092","9","557092","0","0","0","205","2","179","230330_KN_69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"14505","14505","18026","305182","288311","6530750","6527102","91","91","86","88","0","3","0","0","0","1","FDCE972CC3D7A9097D7A57292BD8BE52","14505","14520","1972","1981","https://www.nih.org.pk/vaccine-and-biological-products-center","10","0","51BDF8BDCC25DF177F1E5F93E0B8E5BF","https://www.nih.org.pk/vaccine-and-biological-products-center","1697.2999999989","1697","1697","1697","1972","16","4","412","9","74","100","39","-1","100","-1","-1","100","-1","0","3515222","2158474","-1","-1","2466217","0","Cloudflare","55","11","1","220","811","13","147","130","1700","80","0","0","301","13","24","0","0","0","0","0","1","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","5","329","109","10","14022","mukeet-ThinkPad-T490-192.168.0.112","1680178708.4239","","","92.0.4515.131","92.0.4515.131","1680178726.4243","https://www.nih.org.pk/vaccine-and-biological-products-center","www.nih.org.pk","https://www.nih.org.pk","547","14504","1697.2999999989","1697.2999999989","","","ignat.ns.cloudflare.com","android - chrome","Step_1","32860","https://www.nih.org.pk/vaccine-and-biological-products-center","3385","1699","3385","3385","3385","3385","3385","2493","background-image","SECTION","0","45","427","513","513","516","519","1697","1697","1697","1697","1697","2856","1972","1972","1981","","14504","14505","14520","1697","3383","3383","0.11698721863333","0.11698721863333","7263","928","21348","17707","","7263","3146","230330_M2_6A","1","1","370770","0","0","0","0","0","1","463144","40246","6","107378","2843451","30","3294863","524578","20","1064777","2534308","18","2664845","0","0","0","557092","9","557092","0","0","0","31075","8","67170","230330_M2_6A","0","0","0","0","3","2","0","0","4","2","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","https://www.nih.org.pk/public/img/institutescenters/vandb.jpg",
"3701","3701","5546","253693","245372","1305591","1302125","70","70","68","69","0","1","0","0","0","1","E8E1165F87AEFD0804B2BBAEEA0896B9","3701","3705","2246","2255","https://www.nih.org.pk/center-for-enviromental-and-occupational-health","5","0","A22DDD010CA5589023B4E7D385BA0392","https://www.nih.org.pk/center-for-enviromental-and-occupational-health","1494.5999999996","1495","1495","1495","2246","15","1","457","12","78","100","100","-1","100","-1","-1","100","-1","0","371623","0","-1","-1","383658","0","Cloudflare","35","5","0","145","171","19","135","122","1033","141","0","0","234","5","19","0","0","0","0","0","0","0","0","0","1","22","0","0","0","0","0","0","0","0","0","0","0","0","1","15","1","0","3440","mukeet-ThinkPad-T490-192.168.0.112","1680178760.3625","","","92.0.4515.131","92.0.4515.131","1680178776.6133","https://www.nih.org.pk/center-for-enviromental-and-occupational-health","www.nih.org.pk","https://www.nih.org.pk","405","3701","1494.5999999996","1494.5999999996","","","ignat.ns.cloudflare.com","android - chrome","Step_1","17797","https://www.nih.org.pk/center-for-enviromental-and-occupational-health","3551","1500","3524","3524","3524","3551","3551","2307","text","H1","0","44","472","548","548","551","552","1494","1494","1494","1494","1494","2752","2246","2246","2255","","3701","3701","3705","1495","1495","2847","0.056310163134408","0.056310163134408","","1001","8754","5305","","","1331","230330_FF_6B","1","1","256551","0","0","0","0","0","1","401394","6211","2","21106","175817","24","603466","114517","19","654716","451749","14","582286","0","0","0","557092","9","557092","0","0","0","205","2","179","230330_FF_6B","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
