"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","cpu.FunctionCall","http2_server_settings","jpeg_scan_count","score_progressive_jpeg","initiator_function",
"3","230330_ED_MC","B8F99D437DA07A40D0F762962F57FBBC","127.0.0.1","https://www.fpsc.gov.pk/","1","GET","www.fpsc.gov.pk","/","B8F99D437DA07A40D0F762962F57FBBC","E8B502F63EC1C1113881EA9B1DACFCD1","https://www.fpsc.gov.pk/","200","Document","2320","2286","7545","7544.905","62682","62682","62682","Sun, 19 Nov 1978 05:00:00 GMT","no-cache, must-revalidate","text/html","","30","http/1.1","6030","6031","6110","6113","6113","7543","","","","script","Highest","Highest","","2089","-1","-1","16","-1","100","-1","-1","-1","-1","1","3","1430","63074","52440","","","","","","","","78","TLS 1.3","False","http/1.1","4865","8081","1","1","9865","7545","9831","9831","9865","34","6030","9865","3754","0","1","17","8","25","1","0","","","","","","","","","","",
"3","230330_ED_MC","4479.4","127.0.0.1","https://www.fpsc.gov.pk/modules/system/system.base.css?rc4kj0","1","GET","www.fpsc.gov.pk","/modules/system/system.base.css?rc4kj0","4479.4","E8B502F63EC1C1113881EA9B1DACFCD1","https://www.fpsc.gov.pk/","200","Stylesheet","242","238","10048","10048.191","5428","5428","5428","Thu, 13 Apr 2023 18:58:07 GMT","max-age=1209600","text/css","","30","http/1.1","-1","-1","-1","-1","-1","-1","https://www.fpsc.gov.pk/","83","","parser","Highest","Highest","","1744","100","0","34","-1","100","-1","-1","-1","-1","-1","-1","-1","5428","3534","","","","","1209600","","","10045","","","","","8081","","","10290","10048","10286","10286","10290","4","10048","10290","242","1","2","","","","1","0","","","","","","","","","","",
"3","230330_ED_MC","4479.5","127.0.0.1","https://www.fpsc.gov.pk/modules/system/system.menus.css?rc4kj0","1","GET","www.fpsc.gov.pk","/modules/system/system.menus.css?rc4kj0","4479.5","E8B502F63EC1C1113881EA9B1DACFCD1","https://www.fpsc.gov.pk/","200","Stylesheet","387","384","10137","10136.584","2035","2035","2035","Thu, 13 Apr 2023 18:58:07 GMT","max-age=1209600","text/css","","44","http/1.1","-1","-1","10067","10070","10071","10083","https://www.fpsc.gov.pk/","83","","parser","Highest","Highest","","1747","100","0","-1","-1","100","-1","-1","-1","-1","-1","3","12","","","","","","","1209600","","","10057","TLS 1.3","False","http/1.1","4865","8081","","","10524","10137","10521","10521","10524","3","10067","10524","402","2","3","","","","1","0","","","","","","","","","","",
"3","230330_ED_MC","4479.6","127.0.0.1","https://www.fpsc.gov.pk/modules/system/system.messages.css?rc4kj0","1","GET","www.fpsc.gov.pk","/modules/system/system.messages.css?rc4kj0","4479.6","E8B502F63EC1C1113881EA9B1DACFCD1","https://www.fpsc.gov.pk/","200","Stylesheet","592","585","10170","10169.585","961","961","961","Thu, 13 Apr 2023 18:58:07 GMT","max-age=1209600","text/css","","50","http/1.1","-1","-1","10079","10084","10084","10094","https://www.fpsc.gov.pk/","83","","parser","Highest","Highest","","1756","100","0","-1","-1","100","-1","-1","-1","-1","-1","5","10","","","","","","","1209600","","","10062","TLS 1.3","True","http/1.1","4865","8081","","","10762","10170","10755","10755","10762","7","10079","10762","607","3","4","","","","1","0","","","","","","","","","","",
"3","230330_ED_MC","4479.7","127.0.0.1","https://www.fpsc.gov.pk/modules/system/system.theme.css?rc4kj0","1","GET","www.fpsc.gov.pk","/modules/system/system.theme.css?rc4kj0","4479.7","E8B502F63EC1C1113881EA9B1DACFCD1","https://www.fpsc.gov.pk/","200","Stylesheet","799","792","10194","10194.108","3711","3711","3711","Thu, 13 Apr 2023 18:58:07 GMT","max-age=1209600","text/css","","60","http/1.1","-1","-1","10101","10103","10103","10113","https://www.fpsc.gov.pk/","83","","parser","Highest","Highest","","1747","100","0","33","-1","100","-1","-1","-1","-1","-1","2","10","3711","2480","","","","","1209600","","","10076","TLS 1.3","True","http/1.1","4865","8081","","","10993","10194","10986","10986","10993","7","10101","10993","811","4","5","","","","1","0","","","","","","","","","","",
"3","230330_ED_MC","4479.8","127.0.0.1","https://www.fpsc.gov.pk/sites/all/modules/jquery_update/replace/ui/themes/base/minified/jquery.ui.core.min.css?rc4kj0","1","GET","www.fpsc.gov.pk","/sites/all/modules/jquery_update/replace/ui/themes/base/minified/jquery.ui.core.min.css?rc4kj0","4479.8","E8B502F63EC1C1113881EA9B1DACFCD1","https://www.fpsc.gov.pk/","200","Stylesheet","959","948","10202","10201.807","928","928","928","Thu, 13 Apr 2023 18:58:07 GMT","max-age=1209600","text/css","","82","http/1.1","-1","-1","10123","10124","10124","10131","https://www.fpsc.gov.pk/","89","","parser","Highest","Highest","","1912","100","0","-1","-1","100","-1","-1","-1","-1","-1","1","7","","","","","","","1209600","","","10088","TLS 1.3","True","http/1.1","4865","8081","","","11161","10202","11150","11150","11161","11","10123","11161","967","5","6","","","","1","0","","","","","","","","","","",
"3","230330_ED_MC","4479.61","127.0.0.1","http://servant.indexisto.com/files/searchbox/searchbox.nocache.js?type=edit","0","GET","servant.indexisto.com","/files/searchbox/searchbox.nocache.js?type=edit","4479.61","E8B502F63EC1C1113881EA9B1DACFCD1","https://www.fpsc.gov.pk/","500","Script","490","490","10210","10210.426","0","0","","","","","","282","http/1.1","10120","10120","10207","10207","-1","-1","https://www.fpsc.gov.pk/","162","","parser","High","High","","982","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","","","","","","","","","","10191","","","","","8080","","","10700","10210","10700","10700","10700","0","10210","10700","490","6","7","","","","1","0","blocking","","","","","","","","","",
"3","230330_ED_MC","4479.9","127.0.0.1","https://www.fpsc.gov.pk/sites/all/modules/jquery_update/replace/ui/themes/base/minified/jquery.ui.theme.min.css?rc4kj0","1","GET","www.fpsc.gov.pk","/sites/all/modules/jquery_update/replace/ui/themes/base/minified/jquery.ui.theme.min.css?rc4kj0","4479.9","E8B502F63EC1C1113881EA9B1DACFCD1","https://www.fpsc.gov.pk/","200","Stylesheet","1087","1070","10299","10298.749","13658","13658","13658","Thu, 13 Apr 2023 18:58:07 GMT","max-age=1209600","text/css","","30","http/1.1","-1","-1","-1","-1","-1","-1","https://www.fpsc.gov.pk/","89","","parser","Highest","Highest","","1915","100","0","16","-1","100","-1","-1","-1","-1","-1","-1","-1","13658","11404","","","","","1209600","","","10090","","","","","8081","","","11386","10299","11369","11369","11386","17","10299","11386","1087","7","8","","","","1","0","","","","","","","","","","",
"3","230330_ED_MC","4479.25","127.0.0.1","https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.4.0/css/font-awesome.min.css","1","GET","cdnjs.cloudflare.com","/ajax/libs/font-awesome/4.4.0/css/font-awesome.min.css","4479.25","E8B502F63EC1C1113881EA9B1DACFCD1","https://www.fpsc.gov.pk/","200","Stylesheet","257","243","10413","10413.08","5936","5936","26711","Tue, 19 Mar 2024 20:13:36 GMT","public, max-age=30672000","text/css","gzip","184","HTTP/2","10097","10097","10178","10179","10179","10409","https://www.fpsc.gov.pk/","107","","parser","Highest","Highest","","1939","100","100","100","-1","100","-1","-1","-1","-1","0","1","230","5936","0","","","","","30002827","Cloudflare","","10134","TLS 1.3","False","h2","4865","8081","","","10670","10413","10656","10656","10670","14","10178","10670","488","8","9","","","","1","0","blocking","1","0","256","1","","","","","",
"3","230330_ED_MC","4479.10","127.0.0.1","https://www.fpsc.gov.pk/sites/all/modules/jquery_update/replace/ui/themes/base/minified/jquery.ui.accordion.min.css?rc4kj0","1","GET","www.fpsc.gov.pk","/sites/all/modules/jquery_update/replace/ui/themes/base/minified/jquery.ui.accordion.min.css?rc4kj0","4479.10","E8B502F63EC1C1113881EA9B1DACFCD1","https://www.fpsc.gov.pk/","200","Stylesheet","689","684","10532","10532.451","651","651","651","Thu, 13 Apr 2023 18:58:08 GMT","max-age=1209600","text/css","","44","http/1.1","-1","-1","-1","-1","-1","-1","https://www.fpsc.gov.pk/","89","","parser","Highest","Highest","","1927","100","0","-1","-1","100","-1","-1","-1","-1","-1","-1","-1","","","","","","","1209600","","","10097","","","","","8081","","","11221","10532","11216","11216","11221","5","10532","11221","689","9","10","","","","1","0","","","","","","","","","","",
