"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://www.nadra.gov.pk/","1","9978","9978","0","9978","9978","11733","11733","0","11733","11733","1633","1633","0","1633","1633","5242","5242","0","5242","5242","2310510","2310510","0","2310510","2310510","56","56","0","56","56","9978","9978","0","9978","9978","12024","12024","0","12024","12024","12360","12360","0","12360","12360","12360","12360","0","12360","12360","230330_WZ_3"
"","https://www.nadra.gov.pk/identity/","1","4094","4094","0","4094","4094","7540","7540","0","7540","7540","631","631","0","631","631","3482","3482","0","3482","3482","1135694","1135694","0","1135694","1135694","32","32","0","32","32","4094","4094","0","4094","4094","7477","7477","0","7477","7477","8358","8358","0","8358","8358","8358","8358","0","8358","8358","230330_HJ_4"
"","https://www.nadra.gov.pk/identity/cancellation-certificate/","1","3402","3402","0","3402","3402","7241","7241","0","7241","7241","583","583","0","583","583","3117","3117","0","3117","3117","1023916","1023916","0","1023916","1023916","25","25","0","25","25","3403","3403","0","3403","3403","6532","6532","0","6532","6532","7429","7429","0","7429","7429","7429","7429","0","7429","7429","230330_68_5"
"","https://www.nadra.gov.pk/identity/identity-crc/","1","4194","4194","0","4194","4194","7281","7281","0","7281","7281","807","807","0","807","807","3649","3649","0","3649","3649","1141404","1141404","0","1141404","1141404","25","25","0","25","25","4194","4194","0","4194","4194","7432","7432","0","7432","7432","8222","8222","0","8222","8222","8222","8222","0","8222","8222","230330_Y7_6"
"","https://www.nadra.gov.pk/identity/identity-frc/","1","3780","3780","0","3780","3780","7276","7276","0","7276","7276","594","594","0","594","594","3536","3536","0","3536","3536","1096328","1096328","0","1096328","1096328","26","26","0","26","26","3780","3780","0","3780","3780","7111","7111","0","7111","7111","7782","7782","0","7782","7782","7782","7782","0","7782","7782","230330_GX_7"
"","https://www.nadra.gov.pk/fee-structure/","1","4198","4198","0","4198","4198","7342","7342","0","7342","7342","675","675","0","675","675","3652","3652","0","3652","3652","1205202","1205202","0","1205202","1205202","29","29","0","29","29","4199","4199","0","4199","4199","7325","7325","0","7325","7325","8155","8155","0","8155","8155","8155","8155","0","8155","8155","230330_ZY_8"
"","https://www.nadra.gov.pk/identity/identity-jvc/","1","3609","3609","0","3609","3609","7224","7224","0","7224","7224","527","527","0","527","527","3227","3227","0","3227","3227","1369656","1369656","0","1369656","1369656","26","26","0","26","26","3609","3609","0","3609","3609","6795","6795","0","6795","6795","7652","7652","0","7652","7652","7652","7652","0","7652","7652","230330_3Q_9"
"","https://www.nadra.gov.pk/identity/identity-cnic/","1","3717","3717","0","3717","3717","7516","7516","0","7516","7516","702","702","0","702","702","3468","3468","0","3468","3468","1027470","1027470","0","1027470","1027470","25","25","0","25","25","3717","3717","0","3717","3717","6924","6924","0","6924","6924","7631","7631","0","7631","7631","7631","7631","0","7631","7631","230330_FZ_A"
"","https://www.nadra.gov.pk/identity/identity-nicop/","1","3707","3707","0","3707","3707","7067","7067","0","7067","7067","562","562","0","562","562","3451","3451","0","3451","3451","1096597","1096597","0","1096597","1096597","26","26","0","26","26","3706","3706","0","3706","3706","6808","6808","0","6808","6808","7909","7909","0","7909","7909","7909","7909","0","7909","7909","230330_WE_B"
"","https://www.nadra.gov.pk/identity/identity-poc/","1","3614","3614","0","3614","3614","7177","7177","0","7177","7177","544","544","0","544","544","3244","3244","0","3244","3244","1152558","1152558","0","1152558","1152558","26","26","0","26","26","3613","3613","0","3613","3613","6638","6638","0","6638","6638","8247","8247","0","8247","8247","8247","8247","0","8247","8247","230330_VQ_C"
"","https://www.nadra.gov.pk/solutions-services/","1","4935","4935","0","4935","4935","8058","8058","0","8058","8058","1505","1505","0","1505","1505","4364","4364","0","4364","4364","1536527","1536527","0","1536527","1536527","44","44","0","44","44","4935","4935","0","4935","4935","8024","8024","0","8024","8024","8707","8707","0","8707","8707","8707","8707","0","8707","8707","230330_YQ_D"
"","https://www.nadra.gov.pk/solutions/","1","4785","4785","0","4785","4785","8159","8159","0","8159","8159","1658","1658","0","1658","1658","4506","4506","0","4506","4506","1225926","1225926","0","1225926","1225926","37","37","0","37","37","4785","4785","0","4785","4785","7895","7895","0","7895","7895","8685","8685","0","8685","8685","8685","8685","0","8685","8685","230330_C8_E"
"","https://www.nadra.gov.pk/solutions/secure-document-solutions/","1","4510","4510","0","4510","4510","8176","8176","0","8176","8176","1490","1490","0","1490","1490","4504","4504","0","4504","4504","1239444","1239444","0","1239444","1239444","26","26","0","26","26","4510","4510","0","4510","4510","7658","7658","0","7658","7658","8603","8603","0","8603","8603","8603","8603","0","8603","8603","230330_WM_F"
"","https://www.nadra.gov.pk/solutions/secure-document-solutions/multi-biometric-identity-management/","1","4579","4579","0","4579","4579","8126","8126","0","8126","8126","1504","1504","0","1504","1504","4354","4354","0","4354","4354","1357017","1357017","0","1357017","1357017","26","26","0","26","26","4579","4579","0","4579","4579","8052","8052","0","8052","8052","8742","8742","0","8742","8742","8742","8742","0","8742","8742","230330_P2_G"
"","https://www.nadra.gov.pk/solutions/secure-document-solutions/multi-biometric-passports/","1","4644","4644","0","4644","4644","8257","8257","0","8257","8257","1537","1537","0","1537","1537","4431","4431","0","4431","4431","1353230","1353230","0","1353230","1353230","26","26","0","26","26","4644","4644","0","4644","4644","7985","7985","0","7985","7985","8704","8704","0","8704","8704","8704","8704","0","8704","8704","230330_36_H"
"","https://www.nadra.gov.pk/solutions/secure-document-solutions/arms-licenses/","1","4414","4414","0","4414","4414","8002","8002","0","8002","8002","1491","1491","0","1491","1491","4192","4192","0","4192","4192","1509137","1509137","0","1509137","1509137","26","26","0","26","26","4414","4414","0","4414","4414","7737","7737","0","7737","7737","8493","8493","0","8493","8493","8493","8493","0","8493","8493","230330_N5_J"
"","https://www.nadra.gov.pk/solutions/secure-document-solutions/e-health-cards/","1","5049","5049","0","5049","5049","7969","7969","0","7969","7969","1450","1450","0","1450","1450","4875","4875","0","4875","4875","1080373","1080373","0","1080373","1080373","26","26","0","26","26","5049","5049","0","5049","5049","8330","8330","0","8330","8330","9197","9197","0","9197","9197","9197","9197","0","9197","9197","230330_A0_K"
"","https://www.nadra.gov.pk/solutions/e-governance/","1","4580","4580","0","4580","4580","8130","8130","0","8130","8130","1495","1495","0","1495","1495","4410","4410","0","4410","4410","1032350","1032350","0","1032350","1032350","25","25","0","25","25","4580","4580","0","4580","4580","7807","7807","0","7807","7807","8652","8652","0","8652","8652","8652","8652","0","8652","8652","230330_Q2_M"
"","https://www.nadra.gov.pk/solutions/e-governance/civil-registration-management/","1","4508","4508","0","4508","4508","8110","8110","0","8110","8110","1463","1463","0","1463","1463","4321","4321","0","4321","4321","1032462","1032462","0","1032462","1032462","26","26","0","26","26","4507","4507","0","4507","4507","7641","7641","0","7641","7641","8469","8469","0","8469","8469","8469","8469","0","8469","8469","230330_50_N"
"","https://www.nadra.gov.pk/solutions/e-governance/automated-border-control/","1","4730","4730","0","4730","4730","8356","8356","0","8356","8356","1664","1664","0","1664","1664","4514","4514","0","4514","4514","1346149","1346149","0","1346149","1346149","27","27","0","27","27","4729","4729","0","4729","4729","8087","8087","0","8087","8087","8769","8769","0","8769","8769","8769","8769","0","8769","8769","230330_XP_P"
"","https://www.nadra.gov.pk/solutions/e-governance/voters-management/","1","4476","4476","0","4476","4476","7951","7951","0","7951","7951","1408","1408","0","1408","1408","4353","4353","0","4353","4353","1287467","1287467","0","1287467","1287467","26","26","0","26","26","4476","4476","0","4476","4476","7861","7861","0","7861","7861","8575","8575","0","8575","8575","8575","8575","0","8575","8575","230330_44_Q"
"","https://www.nadra.gov.pk/solutions/e-governance/social-protection-solutions/","1","3677","3677","0","3677","3677","7051","7051","0","7051","7051","504","504","0","504","504","3449","3449","0","3449","3449","1524958","1524958","0","1524958","1524958","27","27","0","27","27","3677","3677","0","3677","3677","6830","6830","0","6830","6830","7697","7697","0","7697","7697","7697","7697","0","7697","7697","230330_EH_R"
"","https://www.nadra.gov.pk/solutions/security-solutions/","1","4486","4486","0","4486","4486","8031","8031","0","8031","8031","1515","1515","0","1515","1515","4276","4276","0","4276","4276","1376124","1376124","0","1376124","1376124","26","26","0","26","26","4487","4487","0","4487","4487","7848","7848","0","7848","7848","8576","8576","0","8576","8576","8576","8576","0","8576","8576","230330_DJ_S"
"","https://www.nadra.gov.pk/solutions/security-solutions/intelligent-video-surveillance/","1","4236","4236","0","4236","4236","7289","7289","0","7289","7289","565","565","0","565","565","4041","4041","0","4041","4041","1031938","1031938","0","1031938","1031938","25","25","0","25","25","4236","4236","0","4236","4236","7559","7559","0","7559","7559","8330","8330","0","8330","8330","8330","8330","0","8330","8330","230330_T2_T"
"","https://www.nadra.gov.pk/solutions/security-solutions/personnel-access-control-systems/","1","3888","3888","0","3888","3888","7477","7477","0","7477","7477","584","584","0","584","584","3811","3811","0","3811","3811","1423104","1423104","0","1423104","1423104","26","26","0","26","26","3888","3888","0","3888","3888","7215","7215","0","7215","7215","7933","7933","0","7933","7933","7933","7933","0","7933","7933","230330_8M_V"
"","https://www.nadra.gov.pk/solutions/security-solutions/safe-city-solutions/","1","4679","4679","0","4679","4679","8261","8261","0","8261","8261","1539","1539","0","1539","1539","4373","4373","0","4373","4373","1348314","1348314","0","1348314","1348314","26","26","0","26","26","4679","4679","0","4679","4679","7949","7949","0","7949","7949","8694","8694","0","8694","8694","8694","8694","0","8694","8694","230330_P0_W"
"","https://www.nadra.gov.pk/solutions/security-solutions/vehicle-access-control/","1","3594","3594","0","3594","3594","7094","7094","0","7094","7094","578","578","0","578","578","3387","3387","0","3387","3387","1031976","1031976","0","1031976","1031976","25","25","0","25","25","3594","3594","0","3594","3594","6920","6920","0","6920","6920","7580","7580","0","7580","7580","7580","7580","0","7580","7580","230330_FS_X"
"","https://www.nadra.gov.pk/services/","1","3829","3829","0","3829","3829","7292","7292","0","7292","7292","627","627","0","627","627","3641","3641","0","3641","3641","1139915","1139915","0","1139915","1139915","31","31","0","31","31","3829","3829","0","3829","3829","6752","6752","0","6752","6752","7693","7693","0","7693","7693","7693","7693","0","7693","7693","230330_S6_Y"
"","https://www.nadra.gov.pk/services/consultancy-advisory-services/","1","4479","4479","0","4479","4479","8056","8056","0","8056","8056","1452","1452","0","1452","1452","4245","4245","0","4245","4245","1235519","1235519","0","1235519","1235519","26","26","0","26","26","4479","4479","0","4479","4479","7863","7863","0","7863","7863","8529","8529","0","8529","8529","8529","8529","0","8529","8529","230330_B7_Z"
"","https://www.nadra.gov.pk/services/data-warehousing/","1","4548","4548","0","4548","4548","8020","8020","0","8020","8020","1455","1455","0","1455","1455","4346","4346","0","4346","4346","1366110","1366110","0","1366110","1366110","26","26","0","26","26","4548","4548","0","4548","4548","7780","7780","0","7780","7780","8590","8590","0","8590","8590","8590","8590","0","8590","8590","230330_HF_10"
"","https://www.nadra.gov.pk/services/enterprise-level-software-development/","1","5275","5275","0","5275","5275","8511","8511","0","8511","8511","1806","1806","0","1806","1806","5001","5001","0","5001","5001","1291634","1291634","0","1291634","1291634","26","26","0","26","26","5275","5275","0","5275","5275","8622","8622","0","8622","8622","9383","9383","0","9383","9383","9383","9383","0","9383","9383","230330_TR_11"
"","https://www.nadra.gov.pk/services/financial-service-solutions/","1","4792","4792","0","4792","4792","8115","8115","0","8115","8115","1414","1414","0","1414","1414","4584","4584","0","4584","4584","1099885","1099885","0","1099885","1099885","27","27","0","27","27","4792","4792","0","4792","4792","7965","7965","0","7965","7965","8823","8823","0","8823","8823","8823","8823","0","8823","8823","230330_N4_12"
"","https://www.nadra.gov.pk/services/system-integration/","1","4990","4990","0","4990","4990","8137","8137","0","8137","8137","1504","1504","0","1504","1504","4637","4637","0","4637","4637","1285606","1285606","0","1285606","1285606","27","27","0","27","27","4990","4990","0","4990","4990","8111","8111","0","8111","8111","8929","8929","0","8929","8929","8929","8929","0","8929","8929","230330_01_13"
"","https://www.nadra.gov.pk/services/project-management/","1","4584","4584","0","4584","4584","8043","8043","0","8043","8043","1453","1453","0","1453","1453","4214","4214","0","4214","4214","1228156","1228156","0","1228156","1228156","26","26","0","26","26","4584","4584","0","4584","4584","7823","7823","0","7823","7823","8537","8537","0","8537","8537","8537","8537","0","8537","8537","230330_D7_14"
"","https://www.nadra.gov.pk/annual-report/","1","4899","4899","0","4899","4899","8006","8006","0","8006","8006","1552","1552","0","1552","1552","4787","4787","0","4787","4787","950421","950421","0","950421","950421","25","25","0","25","25","4899","4899","0","4899","4899","8278","8278","0","8278","8278","8949","8949","0","8949","8949","8949","8949","0","8949","8949","230330_DD_15"
"","https://www.nadra.gov.pk/projects/","1","3624","3624","0","3624","3624","7029","7029","0","7029","7029","505","505","0","505","505","3699","3699","0","3699","3699","1468780","1468780","0","1468780","1468780","55","55","0","55","55","3624","3624","0","3624","3624","7103","7103","0","7103","7103","7614","7614","0","7614","7614","7614","7614","0","7614","7614","230330_9R_16"
"","https://www.nadra.gov.pk/international-projects/","1","4552","4552","0","4552","4552","7126","7126","0","7126","7126","540","540","0","540","540","4354","4354","0","4354","4354","1771521","1771521","0","1771521","1771521","33","33","0","33","33","4552","4552","0","4552","4552","8276","8276","0","8276","8276","8682","8682","0","8682","8682","8682","8682","0","8682","8682","230330_4J_17"
"","https://www.nadra.gov.pk/local-projects/","1","19920","19920","0","19920","19920","22833","22833","0","22833","22833","1727","1727","0","1727","1727","5417","5417","0","5417","5417","1049117","1049117","0","1049117","1049117","26","26","0","26","26","19920","19920","0","19920","19920","22570","22570","0","22570","22570","23825","23825","0","23825","23825","23825","23825","0","23825","23825","230330_RN_18"
"","https://www.nadra.gov.pk/rho-islamabad/","1","5633","5633","0","5633","5633","7564","7564","0","7564","7564","620","620","0","620","620","3837","3837","0","3837","3837","1932317","1932317","0","1932317","1932317","30","30","0","30","30","5634","5634","0","5634","5634","10056","10056","0","10056","10056","10722","10722","0","10722","10722","10722","10722","0","10722","10722","230330_JZ_19"
"","https://www.nadra.gov.pk/rho-karachi/","1","5594","5594","0","5594","5594","6985","6985","0","6985","6985","572","572","0","572","572","5582","5582","0","5582","5582","1928967","1928967","0","1928967","1928967","30","30","0","30","30","5593","5593","0","5593","5593","9425","9425","0","9425","9425","10102","10102","0","10102","10102","10102","10102","0","10102","10102","230330_3A_1A"
"","https://www.nadra.gov.pk/rho-lahore/","1","5445","5445","0","5445","5445","6930","6930","0","6930","6930","531","531","0","531","531","5062","5062","0","5062","5062","1929477","1929477","0","1929477","1929477","30","30","0","30","30","5445","5445","0","5445","5445","9378","9378","0","9378","9378","10140","10140","0","10140","10140","10140","10140","0","10140","10140","230330_H0_1B"
"","https://www.nadra.gov.pk/rho-peshawar/","1","9213","9213","0","9213","9213","13838","13838","0","13838","13838","552","552","0","552","552","5818","5818","0","5818","5818","1871800","1871800","0","1871800","1871800","31","31","0","31","31","9213","9213","0","9213","9213","14212","14212","0","14212","14212","15129","15129","0","15129","15129","15129","15129","0","15129","15129","230330_YQ_1C"
"","https://www.nadra.gov.pk/rho-quetta/","1","5535","5535","0","5535","5535","6902","6902","0","6902","6902","538","538","0","538","538","5173","5173","0","5173","5173","1927991","1927991","0","1927991","1927991","30","30","0","30","30","5535","5535","0","5535","5535","9272","9272","0","9272","9272","10048","10048","0","10048","10048","10048","10048","0","10048","10048","230330_EQ_1D"
"","https://www.nadra.gov.pk/rho-multan/","1","5455","5455","0","5455","5455","7098","7098","0","7098","7098","503","503","0","503","503","5061","5061","0","5061","5061","1928300","1928300","0","1928300","1928300","30","30","0","30","30","5455","5455","0","5455","5455","9238","9238","0","9238","9238","9970","9970","0","9970","9970","9970","9970","0","9970","9970","230330_33_1E"
"","https://www.nadra.gov.pk/rho-sargodha/","1","6438","6438","0","6438","6438","8207","8207","0","8207","8207","1490","1490","0","1490","1490","6166","6166","0","6166","6166","1928012","1928012","0","1928012","1928012","30","30","0","30","30","6438","6438","0","6438","6438","10338","10338","0","10338","10338","11232","11232","0","11232","11232","11232","11232","0","11232","11232","230330_HZ_1F"
