"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpu.FunctionCall","cpuTime","run","cached","renderBlocking","initiator_function","jpeg_scan_count","score_progressive_jpeg","http2_server_settings",
"3","230330_WZ_3","4AF40CF67AECBC309E35C3EF98DCA40B","127.0.0.1","https://www.nadra.gov.pk/","1","GET","www.nadra.gov.pk","/","4AF40CF67AECBC309E35C3EF98DCA40B","C4C75A3EDEDE390A41FDAE782EC7F2E3","https://www.nadra.gov.pk/","200","Document","1046","1011","622","622.238","20490","20490","126083","","max-age=3, must-revalidate","text/html","gzip","23","HTTP/2","0","0","67","70","71","609","","","","script","Highest","Highest","","2116","-1","100","100","-1","100","-1","-1","-1","-1","-1","3","538","20840","0","","","","","","Cloudflare","","96","1","0","256","1","TLS 1.3","False","h2","4865","8081","1","1","1668","622","1633","1633","1668","35","67","1668","1587","0","1","309","9","2","319","1","0","","","","","",
"3","230330_WZ_3","29051.6","127.0.0.1","https://www.nadra.gov.pk/wp-content/plugins/bwp-minify/min/?f=wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css,wp-includes/css/dist/block-library/style.min.css,wp-includes/css/classic-themes.min.css,wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilities.css,wp-content/plugins/download-manager/assets/bootstrap/css/bootstrap.min.css,wp-content/plugins/download-manager/assets/css/front.css,wp-content/themes/broker/style.css,wp-content/themes/broker/css/font-awesome/font-awesome.min.css,wp-content/themes/broker/css/ionicons.css,wp-content/themes/broker/css/animate.css","1","GET","www.nadra.gov.pk","/wp-content/plugins/bwp-minify/min/?f=wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css,wp-includes/css/dist/block-library/style.min.css,wp-includes/css/classic-themes.min.css,wp-content/plugins/redux-framework/redux-core/assets/css/extendify-utilities.css,wp-content/plugins/download-manager/assets/bootstrap/css/bootstrap.min.css,wp-content/plugins/download-manager/assets/css/front.css,wp-content/themes/broker/style.css,wp-content/themes/broker/css/font-awesome/font-awesome.min.css,wp-content/themes/broker/css/ionicons.css,wp-content/themes/broker/css/animate.css","29051.6","C4C75A3EDEDE390A41FDAE782EC7F2E3","https://www.nadra.gov.pk/","200","Stylesheet","1904","1853","1864","1863.829","89985","89985","404549","Fri, 31 Mar 2023 10:24:33 GMT","max-age=86400","text/css","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nadra.gov.pk/","115","","parser","Highest","Highest","","3715","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","89985","0","","","","","86400","Cloudflare","","1839","3","0","256","1","","","","","8081","","","3768","1864","3717","3717","3768","51","1864","3768","1904","1","2","","","","","1","0","blocking","","","","",
"3","230330_WZ_3","29051.8","127.0.0.1","https://www.nadra.gov.pk/wp-content/plugins/bwp-minify/min/?f=wp-content/themes/broker/inc/core/bootstrap/dist/css/bootstrap.min.css,wp-content/themes/broker/css/commercegurus.css,wp-content/themes/broker/css/responsive.css,wp-content/themes/broker/css/vc.css,wp-content/plugins/js_composer/assets/css/js_composer.min.css","1","GET","www.nadra.gov.pk","/wp-content/plugins/bwp-minify/min/?f=wp-content/themes/broker/inc/core/bootstrap/dist/css/bootstrap.min.css,wp-content/themes/broker/css/commercegurus.css,wp-content/themes/broker/css/responsive.css,wp-content/themes/broker/css/vc.css,wp-content/plugins/js_composer/assets/css/js_composer.min.css","29051.8","C4C75A3EDEDE390A41FDAE782EC7F2E3","https://www.nadra.gov.pk/","200","Stylesheet","2195","1801","1873","1872.863","94420","94420","949808","Fri, 31 Mar 2023 10:24:33 GMT","max-age=86400","text/css","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nadra.gov.pk/","117","","parser","Highest","Highest","","2839","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","94420","0","","","","","86400","Cloudflare","","1856","5","3","256","1","","","","","8081","","","4068","1873","3674","3674","4068","394","1873","4068","2195","2","3","","","","","1","0","blocking","","","","",
"3","230330_WZ_3","29051.9","127.0.0.1","https://www.nadra.gov.pk/wp-includes/js/jquery/jquery.min.js","1","GET","www.nadra.gov.pk","/wp-includes/js/jquery/jquery.min.js","29051.9","C4C75A3EDEDE390A41FDAE782EC7F2E3","https://www.nadra.gov.pk/","200","Script","153","147","1873","1873.493","30977","30977","89684","Fri, 31 Mar 2023 05:48:12 GMT","max-age=86400","application/javascript","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nadra.gov.pk/","125","","parser","High","High","","2014","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","31083","0","","","","","69820","Cloudflare","","1859","7","5","220","1","","","","","8081","","","2026","1873","2020","2020","2026","6","1873","2026","153","3","4","52","22","437","511","1","0","blocking","","","","",
"3","230330_WZ_3","29051.10","127.0.0.1","https://www.nadra.gov.pk/wp-includes/js/jquery/jquery-migrate.min.js","1","GET","www.nadra.gov.pk","/wp-includes/js/jquery/jquery-migrate.min.js","29051.10","C4C75A3EDEDE390A41FDAE782EC7F2E3","https://www.nadra.gov.pk/","200","Script","100","93","1874","1874.096","4165","4165","11224","Fri, 31 Mar 2023 05:48:12 GMT","max-age=86400","application/javascript","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nadra.gov.pk/","126","","parser","High","High","","2038","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","4334","0","","","","","69820","Cloudflare","","1861","9","7","220","1","","","","","8081","","","1974","1874","1967","1967","1974","7","1874","1974","100","4","5","8","3","","11","1","0","blocking","","","","",
"3","230330_WZ_3","29051.11","127.0.0.1","https://www.nadra.gov.pk/wp-content/plugins/bwp-minify/min/?f=wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js,wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js,wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js,wp-content/plugins/download-manager/assets/bootstrap/js/popper.min.js,wp-content/plugins/download-manager/assets/bootstrap/js/bootstrap.min.js,wp-content/plugins/download-manager/assets/js/front.js,wp-content/plugins/the-preloader/js/preloader-script.js,wp-content/themes/broker/js/src/cond/owl.carousel.min.js,wp-content/themes/broker/js/src/cond/modernizr.js,wp-content/themes/broker/js/src/cond/scrollfix.js","1","GET","www.nadra.gov.pk","/wp-content/plugins/bwp-minify/min/?f=wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js,wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js,wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js,wp-content/plugins/download-manager/assets/bootstrap/js/popper.min.js,wp-content/plugins/download-manager/assets/bootstrap/js/bootstrap.min.js,wp-content/plugins/download-manager/assets/js/front.js,wp-content/plugins/the-preloader/js/preloader-script.js,wp-content/themes/broker/js/src/cond/owl.carousel.min.js,wp-content/themes/broker/js/src/cond/modernizr.js,wp-content/themes/broker/js/src/cond/scrollfix.js","29051.11","C4C75A3EDEDE390A41FDAE782EC7F2E3","https://www.nadra.gov.pk/","200","Script","1912","1838","1875","1874.675","190254","190254","420387","Fri, 31 Mar 2023 10:24:33 GMT","max-age=86400","application/x-javascript","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nadra.gov.pk/","138","","parser","High","High","","3955","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","190254","0","","","","","86400","Cloudflare","","1862","11","9","220","1","","","","","8081","","","3787","1875","3713","3713","3787","74","1875","3787","1912","5","6","255","79","320","653","1","0","blocking","","","","",
"3","230330_WZ_3","29051.4","127.0.0.1","https://fonts.googleapis.com/css?family=Source%20Sans%20Pro:200,300,400,600,700,900,200italic,300italic,400italic,600italic,700italic,900italic&display=swap","1","GET","fonts.googleapis.com","/css?family=Source%20Sans%20Pro:200,300,400,600,700,900,200italic,300italic,400italic,600italic,700italic,900italic&display=swap","29051.4","C4C75A3EDEDE390A41FDAE782EC7F2E3","https://www.nadra.gov.pk/","200","Stylesheet","552","546","2310","2309.548","1173","1173","28960","Thu, 30 Mar 2023 10:24:39 GMT","private, max-age=86400, stale-while-revalidate=604800","text/css","gzip","36","HTTP/2","1737","1737","1798","1799","1800","2289","https://www.nadra.gov.pk/","118","","parser","Highest","Highest","","2164","50","100","100","-1","100","-1","-1","-1","-1","0","1","489","1173","0","","","","","86400","Google","","1793","1","0","256","1","TLS 1.3","False","h2","4865","8081","","","2862","2310","2856","2856","2862","6","1798","2862","1042","6","7","","","","","1","0","non_blocking","","","","",
"3","230330_WZ_3","29051.7","127.0.0.1","https://fonts.googleapis.com/css?family=Lato:100,300,regular,700,900%7COpen+Sans:300%7CIndie+Flower:regular%7COswald:300,regular,700&subset=latin%2Clatin-ext","1","GET","fonts.googleapis.com","/css?family=Lato:100,300,regular,700,900%7COpen+Sans:300%7CIndie+Flower:regular%7COswald:300,regular,700&subset=latin%2Clatin-ext","29051.7","C4C75A3EDEDE390A41FDAE782EC7F2E3","https://www.nadra.gov.pk/","200","Stylesheet","558","554","2311","2311.404","975","975","11334","Thu, 30 Mar 2023 10:24:39 GMT","private, max-age=86400, stale-while-revalidate=604800","text/css","gzip","36","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nadra.gov.pk/","116","","parser","Highest","Highest","","2167","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","975","0","","","","","86400","Google","","1854","3","1","256","1","","","","","8081","","","2869","2311","2865","2865","2869","4","2311","2869","558","7","8","","","","","1","0","blocking","","","","",
"3","230330_WZ_3","29051.5","127.0.0.1","https://www.googletagmanager.com/gtag/js?id=G-41WNTLRYH1","1","GET","www.googletagmanager.com","/gtag/js?id=G-41WNTLRYH1","29051.5","C4C75A3EDEDE390A41FDAE782EC7F2E3","https://www.nadra.gov.pk/","200","Script","1037","1009","2319","2318.728","80862","80862","239634","Thu, 30 Mar 2023 10:24:39 GMT","private, max-age=900","application/javascript","gzip","42","HTTP/2","1757","1757","1819","1836","1836","2305","https://www.nadra.gov.pk/","75","","parser","Low","Low","","1822","0","100","100","-1","100","-1","-1","-1","-1","0","17","469","80862","0","","","","","900","Google","","1812","1","0","147","1","TLS 1.3","False","h2","4865","8081","","","3356","2319","3328","3328","3356","28","1819","3356","1523","8","9","140","89","364","592","1","0","potentially_blocking","","","","",
"3","230330_WZ_3","29051.20","127.0.0.1","https://www.nadra.gov.pk/wp-content/plugins/bwp-minify/min/?f=wp-content/uploads/redux/custom-fonts/fonts.css,wp-content/plugins/LayerSlider/static/font-awesome/css/font-awesome.min.css","1","GET","www.nadra.gov.pk","/wp-content/plugins/bwp-minify/min/?f=wp-content/uploads/redux/custom-fonts/fonts.css,wp-content/plugins/LayerSlider/static/font-awesome/css/font-awesome.min.css","29051.20","C4C75A3EDEDE390A41FDAE782EC7F2E3","https://www.nadra.gov.pk/","200","Stylesheet","1356","1345","2375","2375.451","9674","9674","31164","Fri, 31 Mar 2023 10:24:33 GMT","max-age=86400","text/css","gzip","23","HTTP/2","-1","-1","-1","-1","-1","-1","https://www.nadra.gov.pk/","1550","","parser","Highest","Highest","","2431","50","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","9674","0","","","","","86400","Cloudflare","","2362","13","5","256","1","","","","","8081","","","3731","2375","3720","3720","3731","11","2375","3731","1356","9","10","","","","","1","0","in_body_parser_blocking","","","","",
