"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","http://www.mofept.gov.pk/","1","16022","16022","0","16022","16022","25457","25457","0","25457","25457","2456","2456","0","2456","2456","6731","6731","0","6731","6731","7954945","7954945","0","7954945","7954945","89","89","0","89","89","16022","16022","0","16022","16022","13439","13439","0","13439","13439","25634","25634","0","25634","25634","25634","25634","0","25634","25634","230331_14_8A"
"230331_8J_8B"
"","http://www.mofept.gov.pk/Detail/NDM1NDI0ZTQtZmFjMy00ZTVlLWE5M2YtYjgxOTE4YTkyYWNi","1","9561","9561","0","9561","9561","10291","10291","0","10291","10291","2617","2617","0","2617","2617","6777","6777","0","6777","6777","3599133","3599133","0","3599133","3599133","54","54","0","54","54","9561","9561","0","9561","9561","7002","7002","0","7002","7002","8732","8732","0","8732","8732","8732","8732","0","8732","8732","230331_1Q_8C"
"","http://www.mofept.gov.pk/Detail/NWJmMmM2YTQtM2YzYi00NjJkLTgzNDEtYzMxMTI4MTllY2Qw","1","7377","7377","0","7377","7377","14881","14881","0","14881","14881","944","944","0","944","944","5152","5152","0","5152","5152","3601643","3601643","0","3601643","3601643","53","53","0","53","53","7377","7377","0","7377","7377","6481","6481","0","6481","6481","6679","6679","0","6679","6679","6679","6679","0","6679","6679","230331_5K_8D"
"","http://www.mofept.gov.pk/ProfileDetail/ZTRiMTFkZDUtMjQwZi00NzMzLWE3NWItOGVhM2MwOGRlYzBj","1","10182","10182","0","10182","10182","10948","10948","0","10948","10948","3448","3448","0","3448","3448","7522","7522","0","7522","7522","3666924","3666924","0","3666924","3666924","54","54","0","54","54","10183","10183","0","10183","10183","8374","8374","0","8374","8374","9626","9626","0","9626","9626","9626","9626","0","9626","9626","230331_8Q_8E"
"","http://www.mofept.gov.pk/ProfileDetail/ZWZhNzlhNmYtODgxMi00YmZkLWE2NDktNmVhZTE1MDJhOGJj","1","7963","7963","0","7963","7963","8981","8981","0","8981","8981","1579","1579","0","1579","1579","5814","5814","0","5814","5814","3809862","3809862","0","3809862","3809862","52","52","0","52","52","7963","7963","0","7963","7963","6914","6914","0","6914","6914","7508","7508","0","7508","7508","7508","7508","0","7508","7508","230331_JF_8F"
"","http://www.mofept.gov.pk/Detail/MTM2MjU3MDctYWZkMC00MzJmLTlhZjMtNmNlZTA4YThiOTgx","1","13774","13774","0","13774","13774","15912","15912","0","15912","15912","2010","2010","0","2010","2010","7285","7285","0","7285","7285","3699937","3699937","0","3699937","3699937","54","54","0","54","54","13773","13773","0","13773","13773","8574","8574","0","8574","8574","12156","12156","0","12156","12156","12156","12156","0","12156","12156","230331_9P_8G"
"","http://www.mofept.gov.pk/Detail/NWNmYmVjMmQtODM1Yy00Y2RjLWE1YjEtYjYwZjVkODBlYWU4","1","7989","7989","0","7989","7989","8690","8690","0","8690","8690","901","901","0","901","901","5075","5075","0","5075","5075","3596749","3596749","0","3596749","3596749","55","55","0","55","55","7989","7989","0","7989","7989","5286","5286","0","5286","5286","7299","7299","0","7299","7299","7299","7299","0","7299","7299","230331_5V_8H"
"","http://www.mofept.gov.pk/Detail/MDEwYjNkZDEtY2RhMy00ZDU3LTg3OTEtNTI2ZTIxYzYwMDAz","1","8753","8753","0","8753","8753","10953","10953","0","10953","10953","1761","1761","0","1761","1761","5592","5592","0","5592","5592","3603573","3603573","0","3603573","3603573","53","53","0","53","53","8753","8753","0","8753","8753","5804","5804","0","5804","5804","8008","8008","0","8008","8008","8008","8008","0","8008","8008","230331_AW_8J"
"","http://www.mofept.gov.pk/Detail/OTk4ZjM0YjAtMjM0Zi00Yjk5LThkZjQtNTYyMDYyMzM2Njc1","1","8501","8501","0","8501","8501","14108","14108","0","14108","14108","1585","1585","0","1585","1585","5746","5746","0","5746","5746","3611028","3611028","0","3611028","3611028","54","54","0","54","54","8501","8501","0","8501","8501","7592","7592","0","7592","7592","7868","7868","0","7868","7868","7868","7868","0","7868","7868","230331_RV_8K"
