"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","renderBlocking","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings","cpu.EvaluateScript","cpu.v8.compile","cpuTime","cpu.FunctionCall",
"3","230331_14_8A","6E7514451613090B606BDA56D55F9FC7","127.0.0.1","http://www.mofept.gov.pk/","0","GET","www.mofept.gov.pk","/","6E7514451613090B606BDA56D55F9FC7","405F4047B1492AD9A9CC24B42984FF4F","http://www.mofept.gov.pk/","200","Document","2384","2369","87","87.275","83839","83839","83839","","private","text/html","","23","http/1.1","-1","-1","55","59","-1","-1","","","","script","Highest","Highest","","1516","-1","-1","16","-1","100","-1","-1","-1","-1","-1","4","-1","83839","69614","","","","","","","","83","8080","1","1","2471","87","2456","2456","2471","15","55","2471","2388","0","1","1","0","","","","","","","","","","","","","","","","","",
"3","230331_14_8A","11251.4","127.0.0.1","http://www.mofept.gov.pk/Content/css/bootstrap.min.css","0","GET","www.mofept.gov.pk","/Content/css/bootstrap.min.css","11251.4","405F4047B1492AD9A9CC24B42984FF4F","http://www.mofept.gov.pk/","200","Stylesheet","657","637","2670","2670.112","166884","166884","166884","","","text/css","","23","http/1.1","-1","-1","-1","-1","-1","-1","http://www.mofept.gov.pk/","93","","parser","Highest","Highest","","1597","0","0","13","-1","100","-1","-1","-1","-1","-1","-1","-1","166884","144166","","","","","0","","","2656","8080","","","3327","2670","3307","3307","3327","20","2670","3327","657","1","2","1","0","blocking","","","","","","","","","","","","","","","","",
"3","230331_14_8A","11251.5","127.0.0.1","http://www.mofept.gov.pk/Content/css/jquery-ui.min.css","0","GET","www.mofept.gov.pk","/Content/css/jquery-ui.min.css","11251.5","405F4047B1492AD9A9CC24B42984FF4F","http://www.mofept.gov.pk/","200","Stylesheet","810","794","2686","2685.674","29279","29279","29279","","","text/css","","25","http/1.1","-1","-1","57","60","-1","-1","http://www.mofept.gov.pk/","94","","parser","Highest","Highest","","1597","0","0","24","-1","100","-1","-1","-1","-1","-1","3","-1","29279","22066","","","","","0","","","2665","8080","","","3496","2686","3480","3480","3496","16","57","3496","813","2","3","1","0","blocking","","","","","","","","","","","","","","","","",
"3","230331_14_8A","11251.6","127.0.0.1","http://www.mofept.gov.pk/Content/css/animate.css","0","GET","www.mofept.gov.pk","/Content/css/animate.css","11251.6","405F4047B1492AD9A9CC24B42984FF4F","http://www.mofept.gov.pk/","200","Stylesheet","1365","1341","2730","2729.789","88597","88597","88597","","","text/css","","43","http/1.1","2619","2619","2689","2691","-1","-1","http://www.mofept.gov.pk/","95","","parser","Highest","Highest","","1579","0","0","7","-1","100","-1","-1","-1","-1","0","2","-1","88597","82141","","","","","0","","","2682","8080","","","4095","2730","4071","4071","4095","24","2689","4095","1367","3","4","1","0","blocking","","","","","","","","","","","","","","","","",
"3","230331_14_8A","11251.7","127.0.0.1","http://www.mofept.gov.pk/Content/css/css-plugin-collections.css","0","GET","www.mofept.gov.pk","/Content/css/css-plugin-collections.css","11251.7","405F4047B1492AD9A9CC24B42984FF4F","http://www.mofept.gov.pk/","200","Stylesheet","2600","2579","2754","2754.225","341040","341040","341040","","","text/css","","63","http/1.1","-1","-1","2712","2713","-1","-1","http://www.mofept.gov.pk/","96","","parser","Highest","Highest","","1624","0","0","12","-1","100","-1","-1","-1","-1","-1","1","-1","341040","298391","","","","","0","","","2692","8080","","","5354","2754","5333","5333","5354","21","2712","5354","2601","4","5","1","0","blocking","","","","","","","","","","","","","","","","",
"3","230331_14_8A","11251.8","127.0.0.1","http://www.mofept.gov.pk/Content/css/menuzord-skins/menuzord-rounded-boxed.css","0","GET","www.mofept.gov.pk","/Content/css/menuzord-skins/menuzord-rounded-boxed.css","11251.8","405F4047B1492AD9A9CC24B42984FF4F","http://www.mofept.gov.pk/","200","Stylesheet","614","611","2760","2759.954","2501","2501","2501","","","text/css","","75","http/1.1","-1","-1","2720","2721","-1","-1","http://www.mofept.gov.pk/","98","","parser","Highest","Highest","","1669","0","0","24","-1","100","-1","-1","-1","-1","-1","1","-1","2501","1879","","","","","0","","","2694","8080","","","3374","2760","3371","3371","3374","3","2720","3374","615","5","6","1","0","blocking","","","","","","","","","","","","","","","","",
"3","230331_14_8A","11251.9","127.0.0.1","http://www.mofept.gov.pk/Content/css/style-main.css","0","GET","www.mofept.gov.pk","/Content/css/style-main.css","11251.9","405F4047B1492AD9A9CC24B42984FF4F","http://www.mofept.gov.pk/","200","Stylesheet","2260","2243","2763","2762.91","224386","224386","224386","","","text/css","","83","http/1.1","-1","-1","2725","2726","-1","-1","http://www.mofept.gov.pk/","100","","parser","Highest","Highest","","1588","0","0","14","-1","100","-1","-1","-1","-1","-1","1","-1","224386","191816","","","","","0","","","2697","8080","","","5023","2763","5006","5006","5023","17","2725","5023","2261","6","7","1","0","blocking","","","","","","","","","","","","","","","","",
"3","230331_14_8A","11251.15","127.0.0.1","https://code.jquery.com/jquery-2.2.4.min.js","1","GET","code.jquery.com","/jquery-2.2.4.min.js","11251.15","405F4047B1492AD9A9CC24B42984FF4F","http://www.mofept.gov.pk/","200","Script","961","934","2766","2766.315","29811","29811","85578","","max-age=315360000","application/javascript","gzip","99","HTTP/2","2658","2658","2731","2732","2732","2742","http://www.mofept.gov.pk/","111","","parser","High","High","","1669","100","100","100","-1","100","-1","-1","-1","-1","0","1","10","29811","0","","","","","315360000","Highwinds","","2714","8081","","","3727","2766","3700","3700","3727","27","2731","3727","972","7","8","1","0","blocking","1","0","220","1","TLS 1.3","False","h2","4865","","","","","","","","",
"3","230331_14_8A","11251.16","127.0.0.1","https://code.jquery.com/ui/1.12.1/jquery-ui.min.js","1","GET","code.jquery.com","/ui/1.12.1/jquery-ui.min.js","11251.16","405F4047B1492AD9A9CC24B42984FF4F","http://www.mofept.gov.pk/","200","Script","1330","1286","2767","2766.912","67751","67751","253668","","max-age=315360000","application/javascript","gzip","99","HTTP/2","-1","-1","-1","-1","-1","-1","http://www.mofept.gov.pk/","112","","parser","High","High","","1690","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","67751","0","","","","","315360000","Highwinds","","2715","8081","","","4097","2767","4053","4053","4097","44","2767","4097","1330","8","9","1","0","blocking","3","1","220","1","","","","","","","","","","","","",
"3","230331_14_8A","11251.20","127.0.0.1","https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css","1","GET","cdnjs.cloudflare.com","/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css","11251.20","405F4047B1492AD9A9CC24B42984FF4F","http://www.mofept.gov.pk/","200","Stylesheet","320","306","2768","2768.09","6874","6874","31000","Wed, 20 Mar 2024 03:12:17 GMT","public, max-age=30672000","text/css","gzip","123","HTTP/2","2676","2676","2749","2750","2750","2758","http://www.mofept.gov.pk/","116","","parser","Highest","Highest","","1828","100","100","100","-1","100","-1","-1","-1","-1","0","1","8","6874","0","","","","","30034854","Cloudflare","","2723","8081","","","3088","2768","3074","3074","3088","14","2749","3088","329","9","10","1","0","blocking","1","0","256","1","TLS 1.3","False","h2","4865","","","","","","","","",
