"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","cpu.FunctionCall","jpeg_scan_count","score_progressive_jpeg","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","http2_server_settings","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","initiator_function",
"3","230331_82_44","5B2A9E9EEF0CDB7420E698B796450BAA","127.0.0.1","http://www.finance.gov.pk/","0","GET","www.finance.gov.pk","/","5B2A9E9EEF0CDB7420E698B796450BAA","7A574AB82DD7B4B770778C8549CABC8A","http://www.finance.gov.pk/","200","Document","2238","2228","85","85.246","6769","6769","50435","","","text/html","gzip","23","http/1.1","-1","-1","53","58","-1","-1","","","","script","Highest","Highest","","1519","-1","-1","100","-1","100","-1","-1","-1","-1","-1","5","-1","6769","0","","","","","","","","81","8080","1","1","2323","85","2313","2313","2323","10","53","2323","2243","0","1","2","2","4","1","0","","","","","","","","","","","","","","",
"3","230331_82_44","10753.4","127.0.0.1","http://www.finance.gov.pk/style.css","0","GET","www.finance.gov.pk","/style.css","10753.4","7A574AB82DD7B4B770778C8549CABC8A","http://www.finance.gov.pk/","200","Stylesheet","5332","5328","2514","2513.74","1737","1737","5921","","","text/css","gzip","23","http/1.1","-1","-1","-1","-1","-1","-1","http://www.finance.gov.pk/","77","","parser","Highest","Highest","","1216","0","0","100","-1","100","-1","-1","-1","-1","-1","-1","-1","1737","0","","","","","0","","","2501","8080","","","7846","2514","7842","7842","7846","4","2514","7846","5332","1","2","","","","1","0","blocking","","","","","","","","","","","","","",
"3","230331_82_44","10753.5","127.0.0.1","http://www.finance.gov.pk/menu-vertical.css","0","GET","www.finance.gov.pk","/menu-vertical.css","10753.5","7A574AB82DD7B4B770778C8549CABC8A","http://www.finance.gov.pk/","200","Stylesheet","6233","6228","2526","2525.568","809","809","1731","","","text/css","gzip","25","http/1.1","-1","-1","56","58","-1","-1","http://www.finance.gov.pk/","78","","parser","Highest","Highest","","1240","0","0","100","-1","100","-1","-1","-1","-1","-1","2","-1","809","0","","","","","0","","","2506","8080","","","8759","2526","8754","8754","8759","5","56","8759","6235","2","3","","","","1","0","blocking","","","","","","","","","","","","","",
"3","230331_82_44","10753.6","127.0.0.1","http://www.finance.gov.pk/menu-vertical.js","0","GET","www.finance.gov.pk","/menu-vertical.js","10753.6","7A574AB82DD7B4B770778C8549CABC8A","http://www.finance.gov.pk/","200","Script","6011","6006","2537","2537.304","787","787","1430","","","application/javascript","gzip","45","http/1.1","2467","2467","2530","2532","-1","-1","http://www.finance.gov.pk/","79","","parser","High","High","","1192","0","0","100","-1","100","-1","-1","-1","-1","0","2","-1","787","0","","","","","0","","","2518","8080","","","8548","2537","8543","8543","8548","5","2530","8548","6013","3","4","3","1","67","1","0","blocking","63","","","","","","","","","","","","",
"3","230331_82_44","10753.7","127.0.0.1","http://www.finance.gov.pk/thumbnailviewer.js","0","GET","www.finance.gov.pk","/thumbnailviewer.js","10753.7","7A574AB82DD7B4B770778C8549CABC8A","http://www.finance.gov.pk/","200","Script","7150","7143","2541","2540.977","3196","3196","7789","","","application/javascript","gzip","49","http/1.1","-1","-1","2533","2536","-1","-1","http://www.finance.gov.pk/","81","","parser","High","High","","1198","0","0","100","-1","100","-1","-1","-1","-1","-1","3","-1","3196","0","","","","","0","","","2521","8080","","","9691","2541","9684","9684","9691","7","2533","9691","7153","4","5","17","7","26","1","0","blocking","1","","","","","","","","","","","","",
"3","230331_82_44","10753.8","127.0.0.1","http://www.finance.gov.pk/images/gap.jpg","0","GET","www.finance.gov.pk","/images/gap.jpg","10753.8","7A574AB82DD7B4B770778C8549CABC8A","http://www.finance.gov.pk/","200","Image","1013","1010","8780","8779.856","512","512","512","","","image/jpeg","","25","http/1.1","-1","-1","-1","-1","-1","-1","http://www.finance.gov.pk/","415","","parser","Low","Low","","1369","0","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","512","0","0","","","8776","8080","","","9793","8780","9790","9790","9793","3","8780","9793","1013","5","6","","","","1","0","","","14","100","","","","","","","","","","",
"3","230331_82_44","10753.9","127.0.0.1","http://www.finance.gov.pk/arrows_1_2.gif","0","GET","www.finance.gov.pk","/arrows_1_2.gif","10753.9","7A574AB82DD7B4B770778C8549CABC8A","http://www.finance.gov.pk/","200","Image","628","622","9713","9712.614","900","900","900","","","image/gif","","49","http/1.1","-1","-1","-1","-1","-1","-1","http://www.finance.gov.pk/","623","","parser","High","Low","","1369","0","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","900","0","0","","","9707","8080","","","10341","9713","10335","10335","10341","6","9713","10341","628","6","7","","","","1","0","","","","","","","","","","","","","","",
"3","230331_82_44","10753.10","127.0.0.1","http://www.finance.gov.pk/images/bullet.gif","0","GET","www.finance.gov.pk","/images/bullet.gif","10753.10","7A574AB82DD7B4B770778C8549CABC8A","http://www.finance.gov.pk/","200","Image","541","537","9725","9724.606","834","834","834","","","image/gif","","45","http/1.1","-1","-1","-1","-1","-1","-1","http://www.finance.gov.pk/","624","","parser","High","Low","","1378","0","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","834","0","0","","","9720","8080","","","10266","9725","10262","10262","10266","4","9725","10266","541","7","8","","","","1","0","","","","","","","","","","","","","","",
"3","230331_82_44","10753.153","127.0.0.1","http://www.finance.gov.pk/bg.gif","0","GET","www.finance.gov.pk","/bg.gif","10753.153","7A574AB82DD7B4B770778C8549CABC8A","http://www.finance.gov.pk/","200","Image","5976","5972","9806","9805.64","2812","2812","2812","","","image/gif","","25","http/1.1","-1","-1","-1","-1","-1","-1","http://www.finance.gov.pk/menu-vertical.css","","","parser","High","Low","","1396","0","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","2812","0","0","","","9803","8080","","","15782","9806","15778","15778","15782","4","9806","15782","5976","8","9","","","","1","0","","","","","","","","","","","","","","",
"3","230331_82_44","10753.51","127.0.0.1","http://www.finance.gov.pk/loading.gif","0","GET","www.finance.gov.pk","/loading.gif","10753.51","7A574AB82DD7B4B770778C8549CABC8A","http://www.finance.gov.pk/","200","Image","836","831","9986","9986.044","1542","1542","1542","","","image/gif","","23","http/1.1","-1","-1","-1","-1","-1","-1","http://www.finance.gov.pk/","0","","parser","Low","Low","","1360","0","0","-1","-1","100","-1","-1","100","-1","-1","-1","-1","","","","","1542","0","0","","","9972","8080","","","10822","9986","10817","10817","10822","5","9986","10822","836","9","10","","","","1","0","","","","","","","","","","","","","","",
