"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://www.commerce.gov.pk/","1","23604","23604","0","23604","23604","75796","75796","0","75796","75796","3986","3986","0","3986","3986","7428","7428","0","7428","7428","9241747","9241747","0","9241747","9241747","133","133","0","133","133","23604","23604","0","23604","23604","27442","27442","0","27442","27442","79522","79522","0","79522","79522","79522","79522","0","79522","79522","230331_W7_V"
"","https://www.commerce.gov.pk/about-us/about/","1","10601","10601","0","10601","10601","23034","23034","0","23034","23034","3227","3227","0","3227","3227","6877","6877","0","6877","6877","2469252","2469252","0","2469252","2469252","80","80","0","80","80","10600","10600","0","10600","10600","7658","7658","0","7658","7658","9644","9644","0","9644","9644","9644","9644","0","9644","9644","230331_41_W"
"","https://www.commerce.gov.pk/about-us/100days/","1","17100","17100","0","17100","17100","21699","21699","0","21699","21699","2355","2355","0","2355","2355","5590","5590","0","5590","5590","6449613","6449613","0","6449613","6449613","120","120","0","120","120","17100","17100","0","17100","17100","11293","11293","0","11293","11293","24686","24686","0","24686","24686","24686","24686","0","24686","24686","230331_B2_X"
"","https://www.commerce.gov.pk/about-us/organogram/","1","9724","9724","0","9724","9724","20358","20358","0","20358","20358","2927","2927","0","2927","2927","6334","6334","0","6334","6334","2671960","2671960","0","2671960","2671960","84","84","0","84","84","9724","9724","0","9724","9724","7745","7745","0","7745","7745","9477","9477","0","9477","9477","9477","9477","0","9477","9477","230331_E5_Y"
"","https://www.commerce.gov.pk/about-us/trade-mission-services/","1","9320","9320","0","9320","9320","20173","20173","0","20173","20173","3074","3074","0","3074","3074","6234","6234","0","6234","6234","2566434","2566434","0","2566434","2566434","83","83","0","83","83","9320","9320","0","9320","9320","6984","6984","0","6984","6984","9146","9146","0","9146","9146","9146","9146","0","9146","9146","230331_TC_Z"
"","https://www.commerce.gov.pk/about-us/career-jobs/","1","9930","9930","0","9930","9930","20206","20206","0","20206","20206","3017","3017","0","3017","3017","6315","6315","0","6315","6315","2571681","2571681","0","2571681","2571681","82","82","0","82","82","9930","9930","0","9930","9930","7616","7616","0","7616","7616","24072","24072","0","24072","24072","24072","24072","0","24072","24072","230331_FA_10"
"","https://www.commerce.gov.pk/category/news-updates/","1","11797","11797","0","11797","11797","19475","19475","0","19475","19475","2400","2400","0","2400","2400","5987","5987","0","5987","5987","3613337","3613337","0","3613337","3613337","98","98","0","98","98","11796","11796","0","11796","11796","8141","8141","0","8141","8141","10369","10369","0","10369","10369","10369","10369","0","10369","10369","230331_24_11"
"","https://www.commerce.gov.pk/about-us/downloads/","1","10228","10228","0","10228","10228","20859","20859","0","20859","20859","2853","2853","0","2853","2853","6088","6088","0","6088","6088","2935367","2935367","0","2935367","2935367","107","107","0","107","107","10228","10228","0","10228","10228","7398","7398","0","7398","7398","24313","24313","0","24313","24313","24313","24313","0","24313","24313","230331_9D_12"
"","https://www.commerce.gov.pk/about-us/faqs/","1","15866","15866","0","15866","15866","20102","20102","0","20102","20102","2477","2477","0","2477","2477","5691","5691","0","5691","5691","3583556","3583556","0","3583556","3583556","140","140","0","140","140","15866","15866","0","15866","15866","6600","6600","0","6600","6600","9182","9182","0","9182","9182","9182","9182","0","9182","9182","230331_ZJ_13"
"","https://www.commerce.gov.pk/remit/","1","9688","9688","0","9688","9688","21004","21004","0","21004","21004","3178","3178","0","3178","3178","6571","6571","0","6571","6571","2565367","2565367","0","2565367","2565367","83","83","0","83","83","9688","9688","0","9688","9688","7616","7616","0","7616","7616","9708","9708","0","9708","9708","9708","9708","0","9708","9708","230331_Q2_14"
