"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","https://www.agfp.gov.pk/","1","26471","26471","0","26471","26471","27969","27969","0","27969","27969","4732","4732","0","4732","4732","13840","13840","0","13840","13840","6545300","6545300","0","6545300","6545300","68","68","0","68","68","26471","26471","0","26471","26471","23947","23947","0","23947","23947","31554","31554","0","31554","31554","31554","31554","0","31554","31554","230331_6M_2"
"","https://www.agfp.gov.pk/index","1","20810","20810","0","20810","20810","21851","21851","0","21851","21851","3370","3370","0","3370","3370","10847","10847","0","10847","10847","6545300","6545300","0","6545300","6545300","68","68","0","68","68","20811","20811","0","20811","20811","20404","20404","0","20404","20404","24300","24300","0","24300","24300","24300","24300","0","24300","24300","230331_7Q_3"
"","https://www.agfp.gov.pk/Detail/ZTY3MTQ4ZjgtOTNlYi00NTkxLWI4MGItMTg2OTNlM2M2NzE1","1","14977","14977","0","14977","14977","15872","15872","0","15872","15872","3544","3544","0","3544","3544","11699","11699","0","11699","11699","4190319","4190319","0","4190319","4190319","66","66","0","66","66","14977","14977","0","14977","14977","11978","11978","0","11978","11978","13672","13672","0","13672","13672","13672","13672","0","13672","13672","230331_00_4"
"","https://www.agfp.gov.pk/Detail/MDQzMGI0NDMtNGMxOS00MGVmLThlYTMtMTE5M2QwNzk1ZWZj","1","13011","13011","0","13011","13011","14966","14966","0","14966","14966","2096","2096","0","2096","2096","11323","11323","0","11323","11323","3125790","3125790","0","3125790","3125790","58","58","0","58","58","13011","13011","0","13011","13011","11739","11739","0","11739","11739","13132","13132","0","13132","13132","13132","13132","0","13132","13132","230331_MN_5"
"","https://www.agfp.gov.pk/Detail/YmM4NWRlM2QtNDVjYi00YmY3LTk0MzctZjI4ZTRhZGZjYjY3","1","12051","12051","0","12051","12051","12933","12933","0","12933","12933","2706","2706","0","2706","2706","10792","10792","0","10792","10792","2690097","2690097","0","2690097","2690097","44","44","0","44","44","12051","12051","0","12051","12051","10904","10904","0","10904","10904","12079","12079","0","12079","12079","12079","12079","0","12079","12079","230331_N2_6"
"","https://www.agfp.gov.pk/Detail/YWRkNzU0MTgtODI0Ni00MTRjLTgwNDUtNTA2ZTA4Y2YxNzQ4","1","21644","21644","0","21644","21644","23742","23742","0","23742","23742","1959","1959","0","1959","1959","15137","15137","0","15137","15137","3482492","3482492","0","3482492","3482492","54","54","0","54","54","21644","21644","0","21644","21644","15574","15574","0","15574","15574","18007","18007","0","18007","18007","18007","18007","0","18007","18007","230331_6V_7"
"","https://www.agfp.gov.pk/Detail/YTRjZDRiYTMtNDhhMC00MGRlLTg5YzgtMWQwZWY5ZjBiNTZj","1","13000","13000","0","13000","13000","13909","13909","0","13909","13909","3224","3224","0","3224","3224","11133","11133","0","11133","11133","3541528","3541528","0","3541528","3541528","58","58","0","58","58","12999","12999","0","12999","12999","11384","11384","0","11384","11384","13153","13153","0","13153","13153","13153","13153","0","13153","13153","230331_3D_8"
"","https://www.agfp.gov.pk/Detail/MmJiOWMzZTktNmI4Mi00MDZlLTg5ZjItMmI2Mzk1OGZhZDA1","1","15025","15025","0","15025","15025","16861","16861","0","16861","16861","3494","3494","0","3494","3494","12347","12347","0","12347","12347","2710193","2710193","0","2710193","2710193","44","44","0","44","44","15024","15024","0","15024","15024","12601","12601","0","12601","12601","15169","15169","0","15169","15169","15169","15169","0","15169","15169","230331_9S_9"
"","https://www.agfp.gov.pk/Detail/OGJiMzY5NWQtYWFkMy00MzYxLTk0MTAtOTQ0Y2Q3ZWQ1YWVk","1","18736","18736","0","18736","18736","19731","19731","0","19731","19731","2471","2471","0","2471","2471","14187","14187","0","14187","14187","3499491","3499491","0","3499491","3499491","55","55","0","55","55","18735","18735","0","18735","18735","14381","14381","0","14381","14381","15993","15993","0","15993","15993","15993","15993","0","15993","15993","230331_SK_A"
"","https://www.agfp.gov.pk/Jobs","1","15578","15578","0","15578","15578","16615","16615","0","16615","16615","2285","2285","0","2285","2285","13117","13117","0","13117","13117","3537847","3537847","0","3537847","3537847","53","53","0","53","53","15578","15578","0","15578","15578","13210","13210","0","13210","13210","14361","14361","0","14361","14361","14361","14361","0","14361","14361","230331_1G_B"
"","https://www.agfp.gov.pk/Tenders","1","18707","18707","0","18707","18707","19750","19750","0","19750","19750","3224","3224","0","3224","3224","16744","16744","0","16744","16744","3585068","3585068","0","3585068","3585068","56","56","0","56","56","18707","18707","0","18707","18707","16846","16846","0","16846","16846","18056","18056","0","18056","18056","18056","18056","0","18056","18056","230331_0D_C"
"","https://www.agfp.gov.pk/Download","1","16867","16867","0","16867","16867","17907","17907","0","17907","17907","2825","2825","0","2825","2825","14803","14803","0","14803","14803","3537617","3537617","0","3537617","3537617","53","53","0","53","53","16867","16867","0","16867","16867","14912","14912","0","14912","14912","16169","16169","0","16169","16169","16169","16169","0","16169","16169","230331_QM_D"
"","https://www.agfp.gov.pk/Publications","1","14414","14414","0","14414","14414","15501","15501","0","15501","15501","3589","3589","0","3589","3589","11831","11831","0","11831","11831","3561962","3561962","0","3561962","3561962","53","53","0","53","53","14414","14414","0","14414","14414","11953","11953","0","11953","11953","13377","13377","0","13377","13377","13377","13377","0","13377","13377","230331_JM_E"
