"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","cpu.FunctionCall","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings",
"3","230331_6M_2","EAF42A4B40B213FCDF71929A7C99B974","127.0.0.1","https://www.agfp.gov.pk/","1","GET","www.agfp.gov.pk","/","EAF42A4B40B213FCDF71929A7C99B974","2E9AA9CB5D8836DCF9807CCC6F084544","https://www.agfp.gov.pk/","200","Document","3241","3202","1530","1530.077","66133","66133","66133","","private","text/html","","25","http/1.1","0","0","65","74","74","1521","","","","script","Highest","Highest","","2089","-1","-1","15","-1","100","-1","-1","-1","-1","-1","9","1447","66133","55917","","","","","","","","95","TLS 1.3","False","http/1.1","4865","8081","1","1","4771","1530","4732","4732","4771","39","65","4771","4697","0","1","3","2","5","1","0","","","","","","","","","","",
"3","230331_6M_2","8836.4","127.0.0.1","https://www.agfp.gov.pk/css/bootstrap.min.css","1","GET","www.agfp.gov.pk","/css/bootstrap.min.css","8836.4","2E9AA9CB5D8836DCF9807CCC6F084544","https://www.agfp.gov.pk/","200","Stylesheet","908","889","4932","4931.517","121232","121232","121232","","","text/css","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/","90","","parser","Highest","Highest","","2269","0","0","16","-1","100","-1","-1","-1","-1","-1","-1","-1","121232","101601","","","","","0","","","4928","","","","","8081","","","5840","4932","5821","5821","5840","19","4932","5840","908","1","2","","","","1","0","blocking","","","","","","","","","",
"3","230331_6M_2","8836.5","127.0.0.1","https://www.agfp.gov.pk/css/jquery-ui.min.css","1","GET","www.agfp.gov.pk","/css/jquery-ui.min.css","8836.5","2E9AA9CB5D8836DCF9807CCC6F084544","https://www.agfp.gov.pk/","200","Stylesheet","1263","1229","4958","4958.395","29279","29279","29279","","","text/css","","23","http/1.1","-1","-1","63","67","67","1528","https://www.agfp.gov.pk/","91","","parser","Highest","Highest","","2269","0","0","24","-1","100","-1","-1","-1","-1","-1","4","1461","29279","22067","","","","","0","","","4936","TLS 1.3","False","http/1.1","4865","8081","","","6221","4958","6187","6187","6221","34","63","6221","2728","2","3","","","","1","0","blocking","","","","","","","","","",
"3","230331_6M_2","8836.6","127.0.0.1","https://www.agfp.gov.pk/css/animate.css","1","GET","www.agfp.gov.pk","/css/animate.css","8836.6","2E9AA9CB5D8836DCF9807CCC6F084544","https://www.agfp.gov.pk/","200","Stylesheet","2122","2090","5039","5039.274","88597","88597","88597","","","text/css","","43","http/1.1","-1","-1","4962","4964","4965","4976","https://www.agfp.gov.pk/","92","","parser","Highest","Highest","","2251","0","0","7","-1","100","-1","-1","-1","-1","-1","2","11","88597","82142","","","","","0","","","4943","TLS 1.3","True","http/1.1","4865","8081","","","7161","5039","7129","7129","7161","32","4962","7161","2135","3","4","","","","1","0","blocking","","","","","","","","","",
"3","230331_6M_2","8836.7","127.0.0.1","https://www.agfp.gov.pk/css/css-plugin-collections.css","1","GET","www.agfp.gov.pk","/css/css-plugin-collections.css","8836.7","2E9AA9CB5D8836DCF9807CCC6F084544","https://www.agfp.gov.pk/","200","Stylesheet","7725","7677","5044","5043.742","285727","285727","285727","","","text/css","","57","http/1.1","-1","-1","4990","4991","4991","5000","https://www.agfp.gov.pk/","93","","parser","Highest","Highest","","2296","0","0","13","-1","100","-1","-1","-1","-1","-1","1","9","285727","245870","","","","","0","","","4972","TLS 1.3","True","http/1.1","4865","8081","","","12769","5044","12721","12721","12769","48","4990","12769","7735","4","5","","","","1","0","blocking","","","","","","","","","",
"3","230331_6M_2","8836.8","127.0.0.1","https://www.agfp.gov.pk/css/menuzord-skins/menuzord-rounded-boxed.css","1","GET","www.agfp.gov.pk","/css/menuzord-skins/menuzord-rounded-boxed.css","8836.8","2E9AA9CB5D8836DCF9807CCC6F084544","https://www.agfp.gov.pk/","200","Stylesheet","1334","1329","5044","5044.498","2501","2501","2501","","","text/css","","79","http/1.1","-1","-1","5011","5012","5012","5020","https://www.agfp.gov.pk/","95","","parser","Highest","Highest","","2341","0","0","24","-1","100","-1","-1","-1","-1","-1","1","8","2501","1880","","","","","0","","","4977","TLS 1.3","True","http/1.1","4865","8081","","","6378","5044","6373","6373","6378","5","5011","6378","1343","5","6","","","","1","0","blocking","","","","","","","","","",
"3","230331_6M_2","8836.9","127.0.0.1","https://www.agfp.gov.pk/css/style-main.css","1","GET","www.agfp.gov.pk","/css/style-main.css","8836.9","2E9AA9CB5D8836DCF9807CCC6F084544","https://www.agfp.gov.pk/","200","Stylesheet","2307","2290","5045","5045.079","187983","187983","187983","","","text/css","","93","http/1.1","-1","-1","5025","5026","5026","5034","https://www.agfp.gov.pk/","97","","parser","Highest","Highest","","2260","0","0","15","-1","100","-1","-1","-1","-1","-1","1","8","187983","158458","","","","","0","","","4981","TLS 1.3","True","http/1.1","4865","8081","","","7352","5045","7335","7335","7352","17","5025","7352","2316","6","7","","","","1","0","blocking","","","","","","","","","",
"3","230331_6M_2","8836.10","127.0.0.1","https://www.agfp.gov.pk/css/colors/theme-skin-color-set-1.css","1","GET","www.agfp.gov.pk","/css/colors/theme-skin-color-set-1.css","8836.10","2E9AA9CB5D8836DCF9807CCC6F084544","https://www.agfp.gov.pk/","200","Stylesheet","1267","1224","5843","5843.442","39054","39054","39054","","","text/css","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/","99","","parser","Highest","Highest","","2317","0","0","11","-1","100","-1","-1","-1","-1","-1","-1","-1","39054","34413","","","","","0","","","4983","","","","","8081","","","7110","5843","7067","7067","7110","43","5843","7110","1267","7","8","","","","1","0","blocking","","","","","","","","","",
"3","230331_6M_2","8836.11","127.0.0.1","https://www.agfp.gov.pk/css/custom-bootstrap-margin-padding.css","1","GET","www.agfp.gov.pk","/css/custom-bootstrap-margin-padding.css","8836.11","2E9AA9CB5D8836DCF9807CCC6F084544","https://www.agfp.gov.pk/","200","Stylesheet","388","351","6225","6224.592","64598","64598","64598","","","text/css","","23","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/","101","","parser","Highest","Highest","","2323","0","0","10","-1","100","-1","-1","-1","-1","-1","-1","-1","64598","57760","","","","","0","","","4986","","","","","8081","","","6613","6225","6576","6576","6613","37","6225","6613","388","8","9","","","","1","0","blocking","","","","","","","","","",
"3","230331_6M_2","8836.12","127.0.0.1","https://www.agfp.gov.pk/css/responsive.css","1","GET","www.agfp.gov.pk","/css/responsive.css","8836.12","2E9AA9CB5D8836DCF9807CCC6F084544","https://www.agfp.gov.pk/","200","Stylesheet","322","311","6386","6385.701","8208","8208","8208","","","text/css","","79","http/1.1","-1","-1","-1","-1","-1","-1","https://www.agfp.gov.pk/","103","","parser","Highest","Highest","","2260","0","0","25","-1","100","-1","-1","-1","-1","-1","-1","-1","8208","6121","","","","","0","","","4996","","","","","8081","","","6708","6386","6697","6697","6708","11","6386","6708","322","9","10","","","","1","0","blocking","","","","","","","","","",
