"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","cpu.FunctionCall","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings",
"3","230331_59_9W","8C3DBC78529C6DA4607366DD347AA7B7","127.0.0.1","https://mohw.gov.pk/","1","GET","mohw.gov.pk","/","8C3DBC78529C6DA4607366DD347AA7B7","AA1996BEB339A28BCFBADBC2A51E01CC","https://mohw.gov.pk/","200","Document","2429","2394","2313","2312.87","71262","71262","71262","","private","text/html","","30","http/1.1","1132","1132","1206","1208","1209","2311","","","","script","Highest","Highest","","2077","-1","-1","16","-1","100","-1","-1","-1","-1","0","2","1102","71262","59214","","","","","","","","72","TLS 1.3","False","http/1.1","4865","8081","1","1","4742","2313","4707","4707","4742","35","1206","4742","3533","0","1","3","2","5","1","0","","","","","","","","","","",
"3","230331_59_9W","18606.4","127.0.0.1","https://mohw.gov.pk/Content/css/bootstrap.min.css","1","GET","mohw.gov.pk","/Content/css/bootstrap.min.css","18606.4","AA1996BEB339A28BCFBADBC2A51E01CC","https://mohw.gov.pk/","200","Stylesheet","741","713","4943","4942.93","166884","166884","166884","","","text/css","","30","http/1.1","-1","-1","-1","-1","-1","-1","https://mohw.gov.pk/","93","","parser","Highest","Highest","","2149","0","0","13","-1","100","-1","-1","-1","-1","-1","-1","-1","166884","144166","","","","","0","","","4917","","","","","8081","","","5684","4943","5656","5656","5684","28","4943","5684","741","1","2","","","","1","0","blocking","","","","","","","","","",
"3","230331_59_9W","18606.5","127.0.0.1","https://mohw.gov.pk/Content/css/jquery-ui.min.css","1","GET","mohw.gov.pk","/Content/css/jquery-ui.min.css","18606.5","AA1996BEB339A28BCFBADBC2A51E01CC","https://mohw.gov.pk/","200","Stylesheet","930","914","5020","5019.998","29279","29279","29279","","","text/css","","52","http/1.1","-1","-1","4961","4962","4963","4973","https://mohw.gov.pk/","94","","parser","Highest","Highest","","2149","0","0","24","-1","100","-1","-1","-1","-1","-1","1","10","29279","22066","","","","","0","","","4941","TLS 1.3","False","http/1.1","4865","8081","","","5950","5020","5934","5934","5950","16","4961","5950","941","2","3","","","","1","0","blocking","","","","","","","","","",
"3","230331_59_9W","18606.6","127.0.0.1","https://mohw.gov.pk/Content/css/animate.css","1","GET","mohw.gov.pk","/Content/css/animate.css","18606.6","AA1996BEB339A28BCFBADBC2A51E01CC","https://mohw.gov.pk/","200","Stylesheet","1335","1311","5025","5025.409","88597","88597","88597","","","text/css","","66","http/1.1","-1","-1","4982","4984","4984","4992","https://mohw.gov.pk/","95","","parser","Highest","Highest","","2131","0","0","7","-1","100","-1","-1","-1","-1","-1","2","8","88597","82141","","","","","0","","","4947","TLS 1.3","True","http/1.1","4865","8081","","","6360","5025","6336","6336","6360","24","4982","6360","1345","3","4","","","","1","0","blocking","","","","","","","","","",
"3","230331_59_9W","18606.7","127.0.0.1","https://mohw.gov.pk/Content/css/css-plugin-collections.css","1","GET","mohw.gov.pk","/Content/css/css-plugin-collections.css","18606.7","AA1996BEB339A28BCFBADBC2A51E01CC","https://mohw.gov.pk/","200","Stylesheet","2778","2742","5026","5026.197","321706","321706","321706","","","text/css","","74","http/1.1","-1","-1","4988","4989","4989","4994","https://mohw.gov.pk/","96","","parser","Highest","Highest","","2176","0","0","12","-1","100","-1","-1","-1","-1","-1","1","5","321706","281297","","","","","0","","","4950","TLS 1.3","False","http/1.1","4865","8081","","","7804","5026","7768","7768","7804","36","4988","7804","2784","4","5","","","","1","0","blocking","","","","","","","","","",
"3","230331_59_9W","18606.8","127.0.0.1","https://mohw.gov.pk/Content/css/menuzord-skins/menuzord-rounded-boxed.css","1","GET","mohw.gov.pk","/Content/css/menuzord-skins/menuzord-rounded-boxed.css","18606.8","AA1996BEB339A28BCFBADBC2A51E01CC","https://mohw.gov.pk/","200","Stylesheet","1226","1218","5027","5026.921","2510","2510","2510","","","text/css","","82","http/1.1","-1","-1","4996","4997","4997","5001","https://mohw.gov.pk/","98","","parser","Highest","Highest","","2221","0","0","25","-1","100","-1","-1","-1","-1","-1","1","4","2510","1878","","","","","0","","","4953","TLS 1.3","True","http/1.1","4865","8081","","","6253","5027","6245","6245","6253","8","4996","6253","1231","5","6","","","","1","0","blocking","","","","","","","","","",
"3","230331_59_9W","18606.15","127.0.0.1","https://code.jquery.com/jquery-2.2.4.min.js","1","GET","code.jquery.com","/jquery-2.2.4.min.js","18606.15","AA1996BEB339A28BCFBADBC2A51E01CC","https://mohw.gov.pk/","200","Script","251","236","5028","5028.295","29811","29811","85578","","max-age=315360000","application/javascript","gzip","104","HTTP/2","4929","4929","5007","5008","5008","5013","https://mohw.gov.pk/","111","","parser","High","High","","1669","100","100","100","-1","100","-1","-1","-1","-1","0","1","5","29811","0","","","","","315360000","Highwinds","","4980","TLS 1.3","False","h2","4865","8081","","","5279","5028","5264","5264","5279","15","5007","5279","257","6","7","89","36","396","1","0","blocking","1","0","220","1","272","","","","",
"3","230331_59_9W","18606.16","127.0.0.1","https://code.jquery.com/ui/1.12.1/jquery-ui.min.js","1","GET","code.jquery.com","/ui/1.12.1/jquery-ui.min.js","18606.16","AA1996BEB339A28BCFBADBC2A51E01CC","https://mohw.gov.pk/","200","Script","460","440","5029","5029.107","67751","67751","253668","","max-age=315360000","application/javascript","gzip","104","HTTP/2","-1","-1","-1","-1","-1","-1","https://mohw.gov.pk/","112","","parser","High","High","","1690","100","100","100","-1","100","-1","-1","-1","-1","-1","-1","-1","67751","0","","","","","315360000","Highwinds","","4985","","","","","8081","","","5489","5029","5469","5469","5489","20","5029","5489","460","7","8","148","84","232","1","0","blocking","3","1","220","1","","","","","",
"3","230331_59_9W","18606.36","127.0.0.1","https://cdnjs.cloudflare.com/ajax/libs/prettyPhoto/3.1.6/js/jquery.prettyPhoto.min.js","1","GET","cdnjs.cloudflare.com","/ajax/libs/prettyPhoto/3.1.6/js/jquery.prettyPhoto.min.js","18606.36","AA1996BEB339A28BCFBADBC2A51E01CC","https://mohw.gov.pk/","200","Script","116","106","5031","5031.099","6168","6168","23576","Wed, 20 Mar 2024 03:51:42 GMT","public, max-age=30672000","application/javascript","gzip","120","HTTP/2","4939","4939","5018","5019","5019","5025","https://mohw.gov.pk/","1183","","parser","High","High","","1795","100","100","100","-1","100","-1","-1","-1","-1","0","1","6","6168","0","","","","","30331567","Cloudflare","","5002","TLS 1.3","False","h2","4865","8081","","","5147","5031","5137","5137","5147","10","5018","5147","123","8","9","6","6","12","1","0","in_body_parser_blocking","1","0","220","1","","","","","",
"3","230331_59_9W","18606.9","127.0.0.1","https://mohw.gov.pk/Content/css/style-main.css","1","GET","mohw.gov.pk","/Content/css/style-main.css","18606.9","AA1996BEB339A28BCFBADBC2A51E01CC","https://mohw.gov.pk/","200","Stylesheet","2233","2210","5688","5688.169","225342","225342","225342","","","text/css","","30","http/1.1","-1","-1","-1","-1","-1","-1","https://mohw.gov.pk/","100","","parser","Highest","Highest","","2140","0","0","14","-1","100","-1","-1","-1","-1","-1","-1","-1","225342","192648","","","","","0","","","4955","","","","","8081","","","7921","5688","7898","7898","7921","23","5688","7921","2233","9","10","","","","1","0","blocking","","","","","","","","","",
