"loadTime","docTime","fullyLoaded","bytesOut","bytesOutDoc","bytesIn","bytesInDoc","requests","requestsFull","requestsDoc","responses_200","responses_404","responses_other","result","testStartOffset","cached","optimization_checked","main_frame","loadEventStart","loadEventEnd","domContentLoadedEventStart","domContentLoadedEventEnd","URL","connections","final_base_page_request","final_base_page_request_id","final_url","firstPaint","firstContentfulPaint","firstMeaningfulPaint","firstImagePaint","domInteractive","renderBlockingCSS","renderBlockingJS","TTFB","basePageSSLTime","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","score_progressive_jpeg","gzip_total","gzip_savings","minify_total","minify_savings","image_total","image_savings","base_page_cdn","cpu.UpdateLayerTree","cpu.EventDispatch","cpu.CommitLoad","cpu.EvaluateScript","cpu.v8.compile","cpu.ParseHTML","cpu.ResourceFetcher::requestResource","cpu.ParseAuthorStyleSheet","cpu.MinorGC","cpu.V8.GC_HEAP_PROLOGUE","cpu.V8.GC_HEAP_EXTERNAL_PROLOGUE","cpu.V8.GC_SCAVENGER_COMPLETE_SWEEP_ARRAY_BUFFERS","cpu.V8.GC_SCAVENGER","cpu.V8.GC_TIME_TO_SAFEPOINT","cpu.V8.GC_HEAP_PROLOGUE_SAFEPOINT","cpu.V8.GC_SCAVENGER_SCAVENGE","cpu.V8.GC_SCAVENGER_SCAVENGE_WEAK_GLOBAL_HANDLES_IDENTIFY","cpu.V8.GC_SCAVENGER_SCAVENGE_ROOTS","cpu.V8.GC_SCAVENGER_SCAVENGE_PARALLEL","cpu.V8.GC_SCAVENGER_SCAVENGE_WEAK_GLOBAL_HANDLES_PROCESS","cpu.V8.GC_SCAVENGER_SCAVENGE_FINALIZE","cpu.V8.GC_SCAVENGER_SCAVENGE_UPDATE_REFS","cpu.V8.GC_SCAVENGER_FREE_REMEMBERED_SET","cpu.V8.GC_SCAVENGER_SWEEP_ARRAY_BUFFERS","cpu.V8.GC_HEAP_EXTERNAL_WEAK_GLOBAL_HANDLES","cpu.V8.GC_HEAP_EPILOGUE_SAFEPOINT","cpu.V8.GC_HEAP_EPILOGUE_REDUCE_NEW_SPACE","cpu.V8.GC_HEAP_EXTERNAL_EPILOGUE","cpu.V8.GC_HEAP_EPILOGUE","cpu.UpdateLayoutTree","cpu.Layout","cpu.IntersectionObserverController::computeIntersections","cpu.Paint","cpu.largestContentfulPaint::Candidate","cpu.FireAnimationFrame","cpu.FunctionCall","cpu.ResourceChangePriority","cpu.HitTest","cpu.MarkDOMContent","cpu.TimerFire","cpu.MarkLoad","cpu.Idle","tester","start_epoch","osVersion","os_version","browserVersion","browser_version","date","document_URL","document_hostname","document_origin","domElements","domComplete","PerformancePaintTiming.first-paint","PerformancePaintTiming.first-contentful-paint","base_page_ip_ptr","base_page_cname","base_page_dns_server","browser_name","eventName","test_run_time_ms","testUrl","lastVisualChange","render","visualComplete85","visualComplete90","visualComplete95","visualComplete99","visualComplete","SpeedIndex","LargestContentfulPaintType","LargestContentfulPaintNodeType","LargestContentfulPaintImageURL","chromeUserTiming.navigationStart","chromeUserTiming.fetchStart","chromeUserTiming.responseEnd","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.commitNavigationEnd","chromeUserTiming.domLoading","chromeUserTiming.firstPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.firstMeaningfulPaint","chromeUserTiming.LayoutShift","chromeUserTiming.firstImagePaint","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","chromeUserTiming.InteractiveTime","chromeUserTiming.LargestTextPaint","chromeUserTiming.LargestContentfulPaint","chromeUserTiming.LargestImagePaint","chromeUserTiming.TotalLayoutShift","chromeUserTiming.CumulativeLayoutShift","maxFID","TTIMeasurementEnd","LastInteractive","TotalBlockingTime","testID","run","step","effectiveBps","domTime","aft","titleTime","domLoading","server_rtt","edge-processed","effectiveBpsDoc","smallImageCount","bigImageCount","maybeCaptcha","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id","FirstInteractive","FirstCPUIdle","chromeUserTiming.markAsMainFrame","error",
"24616","24616","38219","483975","206663","15306220","10213441","223","223","96","222","0","1","0","0","0","1","AA1996BEB339A28BCFBADBC2A51E01CC","24616","24703","10488","10575","https://mohw.gov.pk/","25","0","8C3DBC78529C6DA4607366DD347AA7B7","https://mohw.gov.pk/","9748","9748","9748","10452","10484","19","18","4707","1102","55","73","53","-1","100","-1","-1","92","-1","85","4714631","2229149","-1","-1","10375564","838962","","991","16","1","303","446","29","103","220","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","889","259","624","222","0","3527","3770","0","22","0","58","0","26724","mukeet-ThinkPad-T490-192.168.0.112","1680234677.8303","","","92.0.4515.131","92.0.4515.131","1680234697.3884","https://mohw.gov.pk/","mohw.gov.pk","https://mohw.gov.pk","859","24616","9748","9748","","","ns4.ntc.net.pk","android - chrome","Step_1","69675","https://mohw.gov.pk/","41254","9758","41254","41254","41254","41254","41254","22900","background-image","DIV","https://mohw.gov.pk/SiteImage/Slider/kashmir-810x400.jpg","0","44","4743","4793","4793","4799","4801","9747","9747","9747","9747","23372","10451","10484","10487","10575","24615","24616","24702","24704","11082","11736","11736","0.58777652437132","0.58758279465098","2344","41691","37701","6112","230331_59_9W","1","1","456738","0","0","0","0","0","1","513006","12","32","0","258965","7","616101","3407066","74","7704702","1095239","26","1201348","10378115","109","10381140","0","0","0","164552","3","164552","0","0","0","2283","4","25027","230331_59_9W","","","","",
"22841","22841","35725","484047","268037","15322687","11761669","223","223","123","222","0","1","0","0","0","1","A637032DF6BCB1D9C2A2AE757DFAC8F5","22841","22923","9235","9331","https://mohw.gov.pk/index","25","0","0AA4B9EFAC586DA8E966DFB15418F647","https://mohw.gov.pk/index","8761.1999999955","8761","8761","10136","9235","19","18","3822","8","55","73","53","-1","100","-1","-1","92","-1","85","4714570","2229150","-1","-1","10375686","838962","","894","20","0","198","453","15","112","217","3","0","0","0","2","0","1","1","1","0","6","0","0","0","0","0","0","0","0","0","0","748","283","549","204","0","3020","3204","0","27","0","43","0","25723","mukeet-ThinkPad-T490-192.168.0.112","1680234769.3722","","","92.0.4515.131","92.0.4515.131","1680234789.218","https://mohw.gov.pk/index","mohw.gov.pk","https://mohw.gov.pk","859","22841","8761.1999999955","8761.1999999955","","","ns.cyber.net.pk","android - chrome","Step_1","67258","https://mohw.gov.pk/index","35675","8749","35505","35675","35675","35675","35675","21622","background-image","DIV","https://mohw.gov.pk/SiteImage/Slider/kashmir-810x400.jpg","0","51","3859","3911","3911","3916","3918","8761","8761","8761","8761","22671","10136","9235","9236","9331","22841","22841","22923","22925","9841","13464","13464","0.58305098922242","0.58285725950208","2085","39242","35162","4897","230331_1P_9X","1","1","480289","0","0","0","0","0","1","618416","","","","275355","7","632502","3407021","74","7704703","1095239","26","1201348","10378237","109","10381262","0","0","0","164552","3","164552","0","0","0","2283","4","25027","230331_1P_9X","22923","22923","","",
"9922","9922","10804","106485","101926","3917377","3873015","52","52","50","52","0","0","0","0","0","1","1F17FB3AF5CD54CE8E2FE541E9D98565","9922","9974","7421","7445","https://mohw.gov.pk/Detail/NTNhOTc4NTMtNGJmMy00Njc2LTlhNjgtZTRiOGQ3MmNlODU5","17","0","284BBEA2884C4E135E1D95A14B9378AC","https://mohw.gov.pk/Detail/NTNhOTc4NTMtNGJmMy00Njc2LTlhNjgtZTRiOGQ3MmNlODU5","6834.099999994","6834","6834","7798","7421","17","5","1994","14","28","41","33","-1","100","-1","-1","91","-1","0","3236941","2187340","-1","-1","502712","47171","","14","3","0","422","481","22","99","225","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","115","86","2","16","0","8","150","0","1","0","1","0","9134","mukeet-ThinkPad-T490-192.168.0.112","1680234858.768","","","92.0.4515.131","92.0.4515.131","1680234878.5932","https://mohw.gov.pk/Detail/NTNhOTc4NTMtNGJmMy00Njc2LTlhNjgtZTRiOGQ3MmNlODU5","mohw.gov.pk","https://mohw.gov.pk","316","9921","6834.099999994","6834.099999994","","","ns5.ntc.net.pk","android - chrome","Step_1","23543","https://mohw.gov.pk/Detail/NTNhOTc4NTMtNGJmMy00Njc2LTlhNjgtZTRiOGQ3MmNlODU5","10033","6853","7164","7713","8352","10033","10033","7102","text","P","","0","57","2033","2083","2083","2087","2089","6834","6834","6834","6834","7766","7797","7421","7421","7445","9921","9922","9974","","6834","6834","10029","0.24486549752248","0.24486549752248","470","12925","9984","913","230331_35_9Y","1","1","444651","0","0","0","0","0","1","488523","","","","202855","4","429524","2042023","20","2707748","1063405","17","1076051","502712","6","502712","0","0","0","105996","2","105996","0","0","0","386","3","735","230331_35_9Y","","","","",
"14160","14160","15448","106485","99879","3860609","3815963","52","52","49","52","0","0","0","0","0","1","0E23CC3D7DEACF52B23A57E573109C1C","14160","14201","13381","13424","https://mohw.gov.pk/Detail/MzZiMGJmMDMtZGRiNS00OTNhLWE1M2ItMGZkN2U4NWZiZDM1","17","0","59FF8003EC034698BF720FD08C81792B","https://mohw.gov.pk/Detail/MzZiMGJmMDMtZGRiNS00OTNhLWE1M2ItMGZkN2U4NWZiZDM1","9144.900000006","9145","9145","9949","13380","17","5","2827","13","28","41","33","-1","100","-1","-1","91","-1","0","3247836","2196050","-1","-1","502712","47171","","28","4","0","457","560","20","101","226","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","129","117","5","27","0","18","203","0","2","0","3","0","13523","mukeet-ThinkPad-T490-192.168.0.112","1680234903.2177","","","92.0.4515.131","92.0.4515.131","1680234921.0379","https://mohw.gov.pk/Detail/MzZiMGJmMDMtZGRiNS00OTNhLWE1M2ItMGZkN2U4NWZiZDM1","mohw.gov.pk","https://mohw.gov.pk","423","14159","9144.900000006","9144.900000006","","","ns4.rapidcompute.com","android - chrome","Step_1","30029","https://mohw.gov.pk/Detail/MzZiMGJmMDMtZGRiNS00OTNhLWE1M2ItMGZkN2U4NWZiZDM1","13591","9149","9336","9336","10757","13591","13591","9417","text","P","","0","42","2866","2911","2912","2916","2917","9144","9144","9144","9144","13567","9949","13380","13380","13424","14158","14160","14201","","9145","9145","10749","0.24881988169676","0.23977612633854","502","17688","14800","1030","230331_5F_9Z","1","1","305887","0","0","0","0","0","1","336712","","","","146087","4","372757","2042023","20","2707748","1063405","17","1076051","502712","6","502712","0","0","0","105996","2","105996","0","0","0","386","3","735","230331_5F_9Z","","","","",
"9431","9431","10120","106485","99879","3916711","3872065","52","52","49","52","0","0","0","0","0","1","9AEA459BC0B6104685B59704F798BD59","9431","9479","8573","8609","https://mohw.gov.pk/Detail/N2IzMDVlNWEtZDQyYy00ZDdiLTk4ZDMtOGMyNGNhOWZmYTRj","17","0","45266DF45305222063BDFE1F981CA1F6","https://mohw.gov.pk/Detail/N2IzMDVlNWEtZDQyYy00ZDdiLTk4ZDMtOGMyNGNhOWZmYTRj","6666.200000003","6666","6666","7619","8572","17","5","2288","20","28","41","33","-1","100","-1","-1","91","-1","0","3236275","2186902","-1","-1","502712","47171","","15","4","0","465","555","18","113","232","0","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","113","99","2","19","0","8","173","0","1","0","3","0","8269","mukeet-ThinkPad-T490-192.168.0.112","1680234953.2065","","","92.0.4515.131","92.0.4515.131","1680234972.5105","https://mohw.gov.pk/Detail/N2IzMDVlNWEtZDQyYy00ZDdiLTk4ZDMtOGMyNGNhOWZmYTRj","mohw.gov.pk","https://mohw.gov.pk","317","9430","6666.200000003","6666.200000003","","","ns3.rapidcompute.com","android - chrome","Step_1","25262","https://mohw.gov.pk/Detail/N2IzMDVlNWEtZDQyYy00ZDdiLTk4ZDMtOGMyNGNhOWZmYTRj","9204","6657","6877","7101","8767","9204","9204","6860","text","P","","0","45","2329","2359","2359","2363","2364","6666","6666","6666","6666","8756","7618","8573","8573","8610","9430","9431","9480","","6666","6666","8844","0.2511331598876","0.23977612633854","732","13026","9979","1094","230331_FX_A0","1","1","500090","0","0","0","0","0","1","542078","","","","202189","4","428856","2042023","20","2707748","1063405","17","1076051","502712","6","502712","0","0","0","105996","2","105996","0","0","0","386","3","735","230331_FX_A0","","","","",
"10828","10828","11652","106485","99879","3849049","3804403","52","52","49","52","0","0","0","0","0","1","34ACA92803E10A22F589B60019D39014","10828","10869","9830","9862","https://mohw.gov.pk/Detail/M2I1N2ZiZWEtZDhiZS00NDVkLThjMmUtNjQ1MTU4MDJkYmIw","17","0","25368B2D5C1EDB7934B7B2B2FF4D0F3D","https://mohw.gov.pk/Detail/M2I1N2ZiZWEtZDhiZS00NDVkLThjMmUtNjQ1MTU4MDJkYmIw","7412","7412","7412","8277","9830","17","5","2596","16","28","41","33","-1","100","-1","-1","91","-1","0","3236276","2186843","-1","-1","502712","47171","","13","4","0","551","570","20","106","223","0","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","0","0","0","0","0","123","93","2","11","0","12","167","0","2","0","3","0","9716","mukeet-ThinkPad-T490-192.168.0.112","1680234998.8513","","","92.0.4515.131","92.0.4515.131","1680235015.3845","https://mohw.gov.pk/Detail/M2I1N2ZiZWEtZDhiZS00NDVkLThjMmUtNjQ1MTU4MDJkYmIw","mohw.gov.pk","https://mohw.gov.pk","313","10827","7412","7412","","","ns4.rapidcompute.com","android - chrome","Step_1","25324","https://mohw.gov.pk/Detail/M2I1N2ZiZWEtZDhiZS00NDVkLThjMmUtNjQ1MTU4MDJkYmIw","10064","7390","7390","7917","10012","10064","10064","7623","text","P","","0","41","2636","2675","2675","2681","2682","7411","7411","7411","7411","10001","8276","9830","9830","9862","10827","10828","10869","","7412","7412","10085","0.25343501557881","0.23977612633854","681","14272","11342","1077","230331_BK_A1","1","1","425027","0","0","0","0","0","1","462148","","","","134527","4","361200","2042023","20","2707748","1063405","17","1076051","502712","6","502712","0","0","0","105996","2","105996","0","0","0","386","3","735","230331_BK_A1","","","","",
"9561","9561","10384","108799","104240","4081265","4036903","53","53","51","53","0","0","0","0","0","1","81609D729418EF14DE43B82DE935493D","9561","9591","8335","8371","https://mohw.gov.pk/Detail/ZDdlOWE4ZjEtZGQwNS00OGM1LTk4M2QtMjA0YmY1YWJhZGJi","17","0","14B9EA2EB569B363186C3BF19FBD23A3","https://mohw.gov.pk/Detail/ZDdlOWE4ZjEtZGQwNS00OGM1LTk4M2QtMjA0YmY1YWJhZGJi","6663.3000000045","6663","6663","7491","8334","17","5","2063","17","27","40","33","-1","100","-1","-1","93","-1","0","3234828","2185929","-1","-1","668713","47171","","16","3","0","508","559","21","99","232","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0","120","143","2","17","0","8","154","0","1","0","1","0","8475","mukeet-ThinkPad-T490-192.168.0.112","1680235042.7577","","","92.0.4515.131","92.0.4515.131","1680235059.5297","https://mohw.gov.pk/Detail/ZDdlOWE4ZjEtZGQwNS00OGM1LTk4M2QtMjA0YmY1YWJhZGJi","mohw.gov.pk","https://mohw.gov.pk","296","9560","6663.3000000045","6663.3000000045","","","ns5.ntc.net.pk","android - chrome","Step_1","24410","https://mohw.gov.pk/Detail/ZDdlOWE4ZjEtZGQwNS00OGM1LTk4M2QtMjA0YmY1YWJhZGJi","9641","6674","8627","8627","9211","9641","9641","7529","image","IMG","https://mohw.gov.pk/SiteImage/Misc/images/Organogram-2.png","0","47","2093","2137","2137","2141","2142","6663","6663","6663","6663","8525","7491","8335","8335","8372","9560","9561","9592","","6663","8617","8617","0.24881988169676","0.23977612633854","642","13084","10147","996","230331_S2_A2","1","1","490477","0","0","0","0","0","1","538397","","","","200742","4","427411","2042023","20","2707748","1063405","17","1076051","668713","7","668713","0","0","0","105996","2","105996","0","0","0","386","3","735","230331_S2_A2","","","","",
"10579","10579","14460","149073","99879","4130342","3870642","67","67","49","67","0","0","0","0","0","1","DEF555C2A9EC9D7785E20FDF1A3CD970","10580","10628","9725","9755","https://mohw.gov.pk/Detail/Njk4MmI3M2UtMmQxZS00MzVjLTk1OTUtN2JmNTc3OWI1Mjhh","17","0","458E7768795D0438EC216660B4122CF3","https://mohw.gov.pk/Detail/Njk4MmI3M2UtMmQxZS00MzVjLTk1OTUtN2JmNTc3OWI1Mjhh","7157.8000000045","7158","7158","8038","9725","17","5","2735","10","30","55","33","-1","100","-1","-1","93","-1","0","3335374","2250519","-1","-1","616918","47171","","14","4","0","507","563","17","121","223","0","0","0","0","0","0","0","0","1","0","23","0","0","0","0","0","0","0","0","0","0","110","87","1","15","0","4","180","0","1","0","2","0","12586","mukeet-ThinkPad-T490-192.168.0.112","1680235085.0243","","","92.0.4515.131","92.0.4515.131","1680235101.9725","https://mohw.gov.pk/Detail/Njk4MmI3M2UtMmQxZS00MzVjLTk1OTUtN2JmNTc3OWI1Mjhh","mohw.gov.pk","https://mohw.gov.pk","298","10578","7157.8000000045","7157.8000000045","","","ns4.rapidcompute.com","android - chrome","Step_1","27696","https://mohw.gov.pk/Detail/Njk4MmI3M2UtMmQxZS00MzVjLTk1OTUtN2JmNTc3OWI1Mjhh","12963","7164","10875","10875","10875","12963","12963","8712","image","DIV","https://mohw.gov.pk/images/1.png","0","39","2752","2814","2814","2817","2819","7157","7157","7157","7157","9898","8037","9724","9725","9755","10578","10579","10628","11120","7158","9956","9956","0.24881988169676","0.23977612633854","627","17609","12815","1297","230331_GY_A3","1","1","352267","0","0","0","0","0","1","493452","","","","200766","4","427435","2139325","26","2825947","1065115","19","1101183","617244","12","617244","0","0","0","105996","2","105996","0","0","0","1896","4","7153","230331_GY_A3","","","","",
"10655","10655","12631","149073","127406","4130395","3973889","67","67","57","67","0","0","0","0","0","1","C86EDEBA866853C9C232FE920705F366","10655","10720","9900","9940","https://mohw.gov.pk/Detail/NGY0NzhkZTYtZGQ0Ni00N2JiLWFlN2EtYzQ0MDI0NWI1NDhm","17","0","B883CAA8460C15291FD853EE7A14CAA4","https://mohw.gov.pk/Detail/NGY0NzhkZTYtZGQ0Ni00N2JiLWFlN2EtYzQ0MDI0NWI1NDhm","6507.1999999955","6507","6507","7565","9900","17","5","2156","16","30","55","33","-1","100","-1","-1","93","-1","0","3335427","2250558","-1","-1","616918","47171","","15","4","0","563","599","18","103","216","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","120","92","3","34","0","9","212","0","1","0","3","0","10614","mukeet-ThinkPad-T490-192.168.0.112","1680235131.8557","","","92.0.4515.131","92.0.4515.131","1680235151.4057","https://mohw.gov.pk/Detail/NGY0NzhkZTYtZGQ0Ni00N2JiLWFlN2EtYzQ0MDI0NWI1NDhm","mohw.gov.pk","https://mohw.gov.pk","298","10654","6507.1999999955","6507.1999999955","","","ns3.rapidcompute.com","android - chrome","Step_1","25404","https://mohw.gov.pk/Detail/NGY0NzhkZTYtZGQ0Ni00N2JiLWFlN2EtYzQ0MDI0NWI1NDhm","11852","6524","10285","10285","10285","11852","11852","7834","image","DIV","https://mohw.gov.pk/images/1.png","0","41","2203","2234","2234","2237","2238","6507","6507","6507","6507","10095","7565","9899","9900","9940","10654","10655","10720","","6507","8801","8801","0.27063088056538","0.23977612633854","688","15824","11792","1393","230331_GV_A4","1","1","394309","0","0","0","0","0","1","467571","","","","200819","4","427490","2139325","26","2825947","1065115","19","1101183","617244","12","617244","0","0","0","105996","2","105996","0","0","0","1896","4","7153","230331_GV_A4","","","","",
"11446","11446","13397","149073","127406","4130312","3973806","67","67","57","67","0","0","0","0","0","1","B0D62BF722C15AFB8722838B6BB2BFF5","11446","11492","10618","10657","https://mohw.gov.pk/Detail/MmI0MTE3NDgtZDViNi00NzFkLThjZDgtZDkxNjFiZGQyOThk","17","0","61473E18EEB895254327462563D602A1","https://mohw.gov.pk/Detail/MmI0MTE3NDgtZDViNi00NzFkLThjZDgtZDkxNjFiZGQyOThk","7038","7038","7038","7899","10617","17","5","2587","8","30","55","33","-1","100","-1","-1","93","-1","0","3335344","2250518","-1","-1","616918","47171","","16","3","0","528","562","19","102","228","0","0","0","0","0","1","0","0","0","1","24","0","0","0","0","0","0","0","0","0","0","122","93","1","31","0","9","188","0","1","0","3","0","11464","mukeet-ThinkPad-T490-192.168.0.112","1680235177.9081","","","92.0.4515.131","92.0.4515.131","1680235196.4354","https://mohw.gov.pk/Detail/MmI0MTE3NDgtZDViNi00NzFkLThjZDgtZDkxNjFiZGQyOThk","mohw.gov.pk","https://mohw.gov.pk","296","11446","7038","7038","","","ns4.ntc.net.pk","android - chrome","Step_1","26854","https://mohw.gov.pk/Detail/MmI0MTE3NDgtZDViNi00NzFkLThjZDgtZDkxNjFiZGQyOThk","12690","7031","10826","10826","11574","12690","12690","8609","image","DIV","https://mohw.gov.pk/images/1.png","0","41","2620","2665","2666","2670","2671","7038","7038","7038","7038","10815","7899","10617","10618","10656","11446","11446","11492","","7038","9604","9604","0.24881988169676","0.23977612633854","695","16544","12436","1444","230331_9F_A5","1","1","382082","0","0","0","0","0","1","448561","","","","200736","4","427404","2139325","26","2825947","1065115","19","1101183","617244","12","617244","0","0","0","105996","2","105996","0","0","0","1896","4","7153","230331_9F_A5","","","","",
