"loadTime","docTime","fullyLoaded","bytesOut","bytesOutDoc","bytesIn","bytesInDoc","requests","requestsFull","requestsDoc","responses_200","responses_404","responses_other","result","testStartOffset","cached","optimization_checked","main_frame","loadEventStart","loadEventEnd","domContentLoadedEventStart","domContentLoadedEventEnd","connections","domInteractive","firstPaint","firstContentfulPaint","firstImagePaint","renderBlockingCSS","renderBlockingJS","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","score_progressive_jpeg","gzip_total","gzip_savings","minify_total","minify_savings","image_total","image_savings","base_page_cdn","cpu.ParseHTML","cpu.EventDispatch","cpu.MarkDOMContent","cpu.CommitLoad","cpu.EvaluateScript","cpu.v8.compile","cpu.UpdateLayoutTree","cpu.Layout","cpu.ResourceFetcher::requestResource","cpu.FunctionCall","cpu.UpdateLayerTree","cpu.Paint","cpu.MarkLoad","cpu.largestContentfulPaint::Candidate","cpu.Idle","tester","start_epoch","osVersion","os_version","browserVersion","browser_version","date","URL","base_page_ip_ptr","base_page_cname","base_page_dns_server","browser_name","eventName","test_run_time_ms","testUrl","lastVisualChange","render","visualComplete85","visualComplete90","visualComplete95","visualComplete99","visualComplete","SpeedIndex","LargestContentfulPaintType","LargestContentfulPaintNodeType","chromeUserTiming.navigationStart","chromeUserTiming.fetchStart","chromeUserTiming.domLoading","chromeUserTiming.responseEnd","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.domComplete","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.markAsMainFrame","chromeUserTiming.commitNavigationEnd","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","chromeUserTiming.firstPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstImagePaint","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.LargestTextPaint","chromeUserTiming.LargestContentfulPaint","chromeUserTiming.TotalLayoutShift","chromeUserTiming.CumulativeLayoutShift","maxFID","TTIMeasurementEnd","LastInteractive","TotalBlockingTime","testID","run","step","TTFB","domTime","aft","titleTime","domLoading","server_rtt","error","edge-processed","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id","chromeUserTiming.LayoutShift","smallImageCount","bigImageCount","maybeCaptcha","wappalyzer_failed","axe_failed",
"2743","2743","2743","0","0","0","0","0","0","0","0","0","0","0","0","0","1","306B506C4B4CB3320D069D083B66D82F","2743","2743","2695","2698","0","2695","0","2790","2790","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","13","0","0","0","27","40","4","31","3","1","1","1","0","0","2619","topic-XPS-13-9350-10.130.144.38","1682449108.072","","","92.0.4515.131","92.0.4515.131","1682449124.8688","https://www.mohr.gov.pk:443/","","","","android - chrome","Step_1","8650","https://www.mohr.gov.pk:443/","2826","2826","2826","2826","2826","2826","2826","2826","text","H1","2532","45","2549","2582","2695","2695","2698","2743","2547","2547","2548","2548","2743","2743","2790","2790","2790","2790","2790","2790","0","0","0","2826","2826","0","230425_3D_3R","1","1","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230425_3D_3R","","","","","","",
"1669","1669","1669","0","0","0","0","0","0","0","0","0","0","0","0","0","1","E6A30455009C47B73F2D216B6AFE8B79","1669","1669","1661","1663","0","1661","0","","","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","21","1","0","0","36","55","7","30","4","1","1","0","0","","1512","topic-XPS-13-9350-10.130.144.38","1682449134.5431","","","92.0.4515.131","92.0.4515.131","1682449151.3231","https://www.mohr.gov.pk:443/","","","","android - chrome","Step_1","7547","https://www.mohr.gov.pk:443/","1754","1754","1754","1754","1754","1754","1754","1754","","","1413","44","1436","1468","1661","1661","1663","1668","1433","1433","1434","1435","1669","1669","1703","","","1703","","","0.0070709174207716","0.0070709174207716","0","1754","1754","0","230425_3D_3R","2","1","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230425_3D_3R","1676","0","0","0","","",
"1624","1624","1624","0","0","0","0","0","0","0","0","0","0","0","0","0","1","D1B05B656887BD740FC2168DDBE9E0E6","1624","1624","1617","1618","0","1616","0","","","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","17","0","0","0","31","45","6","29","4","1","1","1","0","","1488","topic-XPS-13-9350-10.130.144.38","1682449160.957","","","92.0.4515.131","92.0.4515.131","1682449178.8714","https://www.mohr.gov.pk:443/","","","","android - chrome","Step_1","7524","https://www.mohr.gov.pk:443/","1718","1718","1718","1718","1718","1718","1718","1718","","","1395","46","1415","1447","1616","1617","1618","1624","1412","1412","1413","1414","1624","1624","","","","","","","0.0070709174207716","0.0070709174207716","0","1718","1718","0","230425_3D_3R","3","1","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230425_3D_3R","1631","","","","","",
"1839","1839","1839","0","0","0","0","0","0","0","0","0","0","0","0","0","1","D3544A10C375DDE0F358D65F7D6A7D24","1839","1839","1831","1833","0","1831","0","","","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","23","1","0","0","34","54","7","31","4","1","1","0","0","","1682","topic-XPS-13-9350-10.130.144.38","1682449187.5128","","","92.0.4515.131","92.0.4515.131","1682449204.369","https://www.mohr.gov.pk:443/index","","","","android - chrome","Step_1","7759","https://www.mohr.gov.pk:443/index","1929","1929","1929","1929","1929","1929","1929","1929","","","1568","43","1591","1625","1831","1831","1833","1839","1588","1588","1589","1590","1839","1839","","","","","","","0.0070709174207716","0.0070709174207716","0","1929","1929","0","230425_29_3S","1","1","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230425_29_3S","1847","","","","","",
"1532","1532","1532","0","0","0","0","0","0","0","0","0","0","0","0","0","1","548EFCFA976C04088F6041B58F92D8E9","1532","1532","1525","1527","0","1524","0","","","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","20","0","0","0","33","45","6","23","3","1","1","0","0","","1398","topic-XPS-13-9350-10.130.144.38","1682449213.1928","","","92.0.4515.131","92.0.4515.131","1682449230.157","https://www.mohr.gov.pk:443/index","","","","android - chrome","Step_1","7454","https://www.mohr.gov.pk:443/index","1632","1632","1632","1632","1632","1632","1632","1632","","","1303","48","1320","1353","1524","1525","1527","1532","1318","1318","1318","1319","1532","1532","","","","","","","0.0070709174207716","0.0070709174207716","0","1632","1632","0","230425_29_3S","2","1","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230425_29_3S","1539","","","","","",
"1577","1577","1577","0","0","0","0","0","0","0","0","0","0","0","0","0","1","E336E8375D618503B1B8C1CBF5023BF4","1577","1577","1517","1519","0","1517","0","1601","1601","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","19","1","0","0","36","53","5","32","4","2","1","1","0","0","1423","topic-XPS-13-9350-10.130.144.38","1682449239.7208","","","92.0.4515.131","92.0.4515.131","1682449258.4833","https://www.mohr.gov.pk:443/index","","","","android - chrome","Step_1","7989","https://www.mohr.gov.pk:443/index","1627","1627","1627","1627","1627","1627","1627","1627","text","H1","1330","40","1347","1380","1517","1517","1519","1577","1345","1345","1346","1347","1577","1577","1600","1600","1600","1600","1601","1601","0","0","0","1627","1627","0","230425_29_3S","3","1","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230425_29_3S","","","","","","",
"1606","1606","1606","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3AD57ACB3CDA4AE64195ABB1FED350D6","1606","1606","1597","1599","0","1597","0","","","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","19","0","0","0","33","46","6","29","4","1","1","1","0","","1466","topic-XPS-13-9350-10.130.144.38","1682449267.5576","","","92.0.4515.131","92.0.4515.131","1682449287.715","https://www.mohr.gov.pk:443/Detail/ZGMxM2YzNjQtYWM0Yi00MmM3LWJjZGUtYTNiZjhkYzM3MGI2","","","","android - chrome","Step_1","8140","https://www.mohr.gov.pk:443/Detail/ZGMxM2YzNjQtYWM0Yi00MmM3LWJjZGUtYTNiZjhkYzM3MGI2","1699","1699","1699","1699","1699","1699","1699","1699","","","1366","55","1388","1422","1597","1597","1599","1605","1386","1386","1387","1388","1606","1606","","","","","","","0.0070709174207716","0.0070709174207716","0","1699","1699","0","230425_89_3T","1","1","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230425_89_3T","1613","","","","","",
"1604","1604","1604","0","0","0","0","0","0","0","0","0","0","0","0","0","1","78A27AA978EC7601C73068A35B434B64","1604","1604","1596","1598","0","1596","0","","","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","19","1","0","0","38","49","6","25","3","2","1","0","0","","1461","topic-XPS-13-9350-10.130.144.38","1682449296.9156","","","92.0.4515.131","92.0.4515.131","1682449315.9769","https://www.mohr.gov.pk:443/Detail/ZGMxM2YzNjQtYWM0Yi00MmM3LWJjZGUtYTNiZjhkYzM3MGI2","","","","android - chrome","Step_1","7593","https://www.mohr.gov.pk:443/Detail/ZGMxM2YzNjQtYWM0Yi00MmM3LWJjZGUtYTNiZjhkYzM3MGI2","1717","1717","1717","1717","1717","1717","1717","1717","","","1366","57","1387","1419","1596","1596","1598","1604","1384","1384","1385","1386","1604","1604","1660","","","1660","","","0.0070709174207716","0.0070709174207716","0","1717","1717","0","230425_89_3T","2","1","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230425_89_3T","1612","","","","","",
"1561","1561","1561","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2578716E22AEC29837253E201A98CE27","1561","1561","1551","1552","0","1550","0","1667","1667","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","17","0","0","0","31","41","5","1","3","1","0","0","0","0","1462","topic-XPS-13-9350-10.130.144.38","1682449325.6764","","","92.0.4515.131","92.0.4515.131","1682449344.3928","https://www.mohr.gov.pk:443/Detail/ZGMxM2YzNjQtYWM0Yi00MmM3LWJjZGUtYTNiZjhkYzM3MGI2","","","","android - chrome","Step_1","8050","https://www.mohr.gov.pk:443/Detail/ZGMxM2YzNjQtYWM0Yi00MmM3LWJjZGUtYTNiZjhkYzM3MGI2","1731","1731","1731","1731","1731","1731","1731","1731","text","H1","1382","52","1401","1435","1550","1551","1552","1561","1399","1399","1399","1400","1561","1561","1667","1667","1667","1667","1667","1667","0","0","0","1731","1731","0","230425_89_3T","3","1","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230425_89_3T","","","","","","",
"1552","1552","1552","0","0","0","0","0","0","0","0","0","0","0","0","0","1","D6213A431AAF439429349F2122CD5B99","1552","1552","1545","1547","0","1545","0","","","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","17","0","0","0","32","49","6","27","4","1","1","1","0","","1415","topic-XPS-13-9350-10.130.144.38","1682449353.5229","","","92.0.4515.131","92.0.4515.131","1682449372.3447","https://www.mohr.gov.pk:443/Detail/NzQwMTE4MWMtZDJiOS00YzUwLTk5Y2EtZjllYTY4YjdlYTcz","","","","android - chrome","Step_1","8077","https://www.mohr.gov.pk:443/Detail/NzQwMTE4MWMtZDJiOS00YzUwLTk5Y2EtZjllYTY4YjdlYTcz","1628","1628","1628","1628","1628","1628","1628","1628","","","1325","43","1342","1372","1545","1545","1547","1552","1340","1340","1341","1342","1552","1552","1598","","","1598","","","0.0070709174207716","0.0070709174207716","0","1628","1628","0","230425_NA_3V","1","1","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230425_NA_3V","1560","","","","","",
