"Test","URL","FV Successful Tests","FV Document Complete Median","FV Document Complete Avg","FV Document Complete Std. Dev","FV Document Complete Min","FV Document Complete Max","FV Fully Loaded Median","FV Fully Loaded Avg","FV Fully Loaded Std. Dev","FV Fully Loaded Min","FV Fully Loaded Max","FV First Byte Median","FV First Byte Avg","FV First Byte Std. Dev","FV First Byte Min","FV First Byte Max","FV Start Render Median","FV Start Render Avg","FV Start Render Std. Dev","FV Start Render Min","FV Start Render Max","FV Bytes In (Doc) Median","FV Bytes In (Doc) Avg","FV Bytes In (Doc) Std. Dev","FV Bytes In (Doc) Min","FV Bytes In (Doc) Max","FV Requests (Doc) Median","FV Requests (Doc) Avg","FV Requests (Doc) Std. Dev","FV Requests (Doc) Min","FV Requests (Doc) Max","FV Load Event Start Median","FV Load Event Start Avg","FV Load Event Start Std. Dev","FV Load Event Start Min","FV Load Event Start Max","FV Speed Index Median","FV Speed Index Avg","FV Speed Index Std. Dev","FV Speed Index Min","FV Speed Index Max","FV Last Visual Change Median","FV Last Visual Change Avg","FV Last Visual Change Std. Dev","FV Last Visual Change Min","FV Last Visual Change Max","FV Visually Complete Median","FV Visually Complete Avg","FV Visually Complete Std. Dev","FV Visually Complete Min","FV Visually Complete Max",Test ID
"","http://www.moit.gov.pk/","3","106835","105214.66666667","10916.025843787","91109","117700","108142","106316.66666667","10903.4086821","92144","118664","3061","2954","592.3214217523","2181","3620","10430","10946.666666667","1674.1583623487","9204","13206","28285205","28062414.333333","1353246.6564117","26304906","29597132","132","253.66666666667","172.06265008873","132","497","106834","105214","10916.40710124","91108","117700","39874","36705.666666667","5764.0999490139","28617","41626","108330","106754","12415.953635008","90821","121111","108330","106754","12415.953635008","90821","121111","230509_7S_A"
"","http://www.moit.gov.pk/index","3","0","37213.666666667","52628.072105632","0","111641","98899","98698.333333333","11441.629963525","84586","112610","5979","5114.6666666667","2366.0803499083","1883","7482","11760","10415.666666667","1958.0153784438","7647","11840","0","10511232.333333","14865127.323055","0","31533697","0","75.333333333333","106.53742169877","0","226","111641","79981.333333333","56962.945981479","0","128303","43962","44479","9135.3411540019","33558","55917","118320","117063.66666667","3703.5651592606","112032","120839","118320","117063.66666667","3703.5651592606","112032","120839","230509_R6_B"
"230509_YR_C"
"230509_TT_D"
"230509_FB_E"
"230509_PN_F"
"230509_JE_G"
"230509_JH_H"
"","http://www.moit.gov.pk/Detail/YzNhYzdjZDMtNWMwMC00Y2YyLWE5YzItMjk5MWQyYTk3ZmNk","2","750","718","32","686","750","750","718","32","686","750","0","0","0","0","0","861","818.5","42.5","776","861","0","0","0","0","0","0","0","0","0","0","750","718","32","686","750","861","818.5","42.5","776","861","861","818.5","42.5","776","861","861","818.5","42.5","776","861","230509_W9_J"
"","http://www.moit.gov.pk/LatestNews","3","740","750","18.547236990991","734","776","740","750","18.547236990991","734","776","0","0","0","0","0","858","863.33333333333","21.561282171728","840","892","0","0","0","0","0","0","0","0","0","0","740","750","18.547236990991","734","776","858","863.33333333333","21.561282171728","840","892","858","863.33333333333","21.561282171728","840","892","858","863.33333333333","21.561282171728","840","892","230509_2T_K"
"","http://www.moit.gov.pk/Detail/ZGJjZWM3ZDMtYTJjZi00ZjZhLTg0M2EtZjhkYzg3Y2JkOGQx","3","704","717","26.545558322753","693","754","704","717","26.545558322753","693","754","0","0","0","0","0","816","826.66666666667","22.528993664954","806","858","0","0","0","0","0","0","0","0","0","0","704","717","26.545558322753","693","754","816","826.66666666667","22.528993664954","806","858","816","826.66666666667","22.528993664954","806","858","816","826.66666666667","22.528993664954","806","858","230509_C5_M"
"","http://www.moit.gov.pk/Detail/ZTA5MTI4ZWUtMzdhMS00ZDRhLWE0YmUtZjJjNThhYTdjNzdl","3","687","482.66666666667","342.63132113428","0","761","687","482.66666666667","342.63132113428","0","761","0","0","0","0","0","814","812.66666666667","23.697163449568","783","841","0","0","0","0","0","0","0","0","0","0","687","482.66666666667","342.63132113428","0","761","814","812.66666666667","23.697163449568","783","841","814","812.66666666667","23.697163449568","783","841","814","812.66666666667","23.697163449568","783","841","230509_4Q_N"
"","http://www.moit.gov.pk/Detail/NzUyZGE0MWMtMmYzZC00YmIzLTk2ODUtYmVjNTk1Nzg4MTBm","3","747","734","41.448763552125","678","777","747","734","41.448763552125","678","777","0","0","0","0","0","821","832","47.588514020367","780","895","0","0","0","0","0","0","0","0","0","0","747","734","41.448763552125","678","777","821","832","47.588514020367","780","895","821","832","47.588514020367","780","895","821","832","47.588514020367","780","895","230509_YT_P"
"","http://www.moit.gov.pk/Detail/MDA4MjM0N2ItOGVmYi00OWI5LWE2NmQtMTJhYjNmMDUxNTM1","3","746","743","28.248893783651","707","776","746","743","28.248893783651","707","776","0","0","0","0","0","857","841.66666666667","46.991725039864","778","890","0","0","0","0","0","0","0","0","0","0","746","743","28.248893783651","707","776","857","841.66666666667","46.991725039864","778","890","857","841.66666666667","46.991725039864","778","890","857","841.66666666667","46.991725039864","778","890","230509_VZ_Q"
"","http://www.moit.gov.pk/Detail/Mzg0M2I4NzctMjE1ZS00ZGM0LTkyNmItMDViODFhZjE4Njhk","3","756","746.66666666667","13.912424503139","727","757","756","746.66666666667","13.912424503139","727","757","0","0","0","0","0","866","862","25.468935326524","829","891","0","0","0","0","0","0","0","0","0","0","756","746.66666666667","13.912424503139","727","757","866","862","25.468935326524","829","891","866","862","25.468935326524","829","891","866","862","25.468935326524","829","891","230509_X5_R"
"","http://www.moit.gov.pk/Detail/MTBmMGQ3NDItOWM2Mi00N2M0LWE1ZGUtMjRlNWJlOGYwZGU0","3","682","683.33333333333","11.469767022724","670","698","682","683.33333333333","11.469767022724","670","698","0","0","0","0","0","777","785.33333333333","21.638443156157","764","815","0","0","0","0","0","0","0","0","0","0","682","683.33333333333","11.469767022724","670","698","777","785.33333333333","21.638443156157","764","815","777","785.33333333333","21.638443156157","764","815","777","785.33333333333","21.638443156157","764","815","230509_5Z_S"
"","http://www.moit.gov.pk/Detail/Y2VjM2U3YzMtM2I0YS00Nzc2LThmZTAtMzNhMGY2OTZjZmI3","3","771","742.66666666667","43.652669512363","681","776","771","742.66666666667","43.652669512363","681","776","0","0","0","0","0","892","855.33333333333","56.876083628261","775","899","0","0","0","0","0","0","0","0","0","0","771","742.66666666667","43.652669512363","681","776","892","855.33333333333","56.876083628261","775","899","892","855.33333333333","56.876083628261","775","899","892","855.33333333333","56.876083628261","775","899","230509_EA_T"
"","http://www.moit.gov.pk/Detail/YjVmNzU0MWMtYzBkMC00Yjg5LTk1ODktOTJiODYzZTY5ZWRk","3","732","722.66666666667","23.795424396766","690","746","732","722.66666666667","23.795424396766","690","746","0","0","0","0","0","843","831.33333333333","28.569603116288","792","859","0","0","0","0","0","0","0","0","0","0","732","722.66666666667","23.795424396766","690","746","843","831.33333333333","28.569603116288","792","859","843","831.33333333333","28.569603116288","792","859","843","831.33333333333","28.569603116288","792","859","230509_21_V"
"","http://www.moit.gov.pk/Detail/OWIyNzRiMWMtNGRhZS00YjQxLWFlYTQtZjU3MzAwNmU3NjI3","3","727","733.66666666667","36.233808644537","693","781","727","733.66666666667","36.233808644537","693","781","0","0","0","0","0","807","831.33333333333","43.926706632248","794","893","0","0","0","0","0","0","0","0","0","0","727","733.66666666667","36.233808644537","693","781","807","831.33333333333","43.926706632248","794","893","807","831.33333333333","43.926706632248","794","893","807","831.33333333333","43.926706632248","794","893","230509_BC_W"
"","http://www.moit.gov.pk/Tenders","3","683","708.66666666667","40.614720921798","677","766","683","708.66666666667","40.614720921798","677","766","0","0","0","0","0","808","830.66666666667","57.00487308604","775","909","0","0","0","0","0","0","0","0","0","0","683","708.66666666667","40.614720921798","677","766","808","830.66666666667","57.00487308604","775","909","808","830.66666666667","57.00487308604","775","909","808","830.66666666667","57.00487308604","775","909","230509_XE_X"
"","http://www.moit.gov.pk/Jobs","3","751","747.33333333333","15.32608524343","727","764","751","747.33333333333","15.32608524343","727","764","0","0","0","0","0","854","847.33333333333","24.944382578493","814","874","0","0","0","0","0","0","0","0","0","0","751","747.33333333333","15.32608524343","727","764","854","847.33333333333","24.944382578493","814","874","854","847.33333333333","24.944382578493","814","874","854","847.33333333333","24.944382578493","814","874","230509_JP_Y"
"","http://www.moit.gov.pk/Detail/MWY1MjI2MTQtZjk1ZS00M2NiLWI0MzAtN2QwYTZmMDQzNjU5","3","774","772","17.204650534085","750","792","774","772","17.204650534085","750","792","0","0","0","0","0","884","882","8.286535263104","871","891","0","0","0","0","0","0","0","0","0","0","774","772","17.204650534085","750","792","884","882","8.286535263104","871","891","884","882","8.286535263104","871","891","884","882","8.286535263104","871","891","230509_EX_Z"
"","http://www.moit.gov.pk/Detail/MTBlNDNlNzItOTJkMi00OTg5LTlmNDgtNDEzZDA1NDljM2E4","3","750","750.66666666667","8.1785627642569","741","761","750","750.66666666667","8.1785627642569","741","761","0","0","0","0","0","856","861","9.2736184954957","853","874","0","0","0","0","0","0","0","0","0","0","750","750.66666666667","8.1785627642569","741","761","856","861","9.2736184954957","853","874","856","861","9.2736184954957","853","874","856","861","9.2736184954957","853","874","230509_BK_10"
"","http://www.moit.gov.pk/Detail/NGM2MGMzNmItMDA2Ni00MzVhLWE5YjgtNGJlYzQyNjhhZTI5","3","761","750.66666666667","24.390344173236","717","774","761","750.66666666667","24.390344173236","717","774","0","0","0","0","0","887","864","35.393031329157","814","891","0","0","0","0","0","0","0","0","0","0","761","750.66666666667","24.390344173236","717","774","887","864","35.393031329157","814","891","887","864","35.393031329157","814","891","887","864","35.393031329157","814","891","230509_6D_11"
"","http://www.moit.gov.pk/Detail/OTJlYjhjZGEtNGIwMS00YzFjLTg1MzQtMTVlY2NhODA0NDRj","3","660","467","331.8704566544","0","741","660","467","331.8704566544","0","741","0","0","0","0","0","818","820.33333333333","38.818666758261","774","869","0","0","0","0","0","0","0","0","0","0","660","467","331.8704566544","0","741","818","820.33333333333","38.818666758261","774","869","818","820.33333333333","38.818666758261","774","869","818","820.33333333333","38.818666758261","774","869","230509_9J_12"
"","http://www.moit.gov.pk/ProfileDetail/ZTRiMTFkZDUtMjQwZi00NzMzLWE3NWItOGVhM2MwOGRlYzBj","3","684","705.33333333333","32.314427462392","681","751","684","705.33333333333","32.314427462392","681","751","0","0","0","0","0","789","806","24.041630560343","789","840","0","0","0","0","0","0","0","0","0","0","684","705.33333333333","32.314427462392","681","751","789","806","24.041630560343","789","840","789","806","24.041630560343","789","840","789","806","24.041630560343","789","840","230509_EZ_13"
"","http://www.moit.gov.pk/ProfileDetail/YzgxZGFkYjEtZDY5My00NWE1LThkY2YtZDBhYTAyYTNjYjUx","3","722","725.33333333333","46.599952312803","670","784","722","725.33333333333","46.599952312803","670","784","0","0","0","0","0","838","835.33333333333","45.762672804615","778","890","0","0","0","0","0","0","0","0","0","0","722","725.33333333333","46.599952312803","670","784","838","835.33333333333","45.762672804615","778","890","838","835.33333333333","45.762672804615","778","890","838","835.33333333333","45.762672804615","778","890","230509_1T_14"
"","http://www.moit.gov.pk/ProfileDetail/N2FhMWYxNGEtNjA4YS00M2VjLWExZWUtYzRlYWUxOWU2NzM4","3","789","773","30.735430152621","730","800","789","773","30.735430152621","730","800","0","0","0","0","0","915","898.33333333333","28.662790435608","858","922","0","0","0","0","0","0","0","0","0","0","789","773","30.735430152621","730","800","915","898.33333333333","28.662790435608","858","922","915","898.33333333333","28.662790435608","858","922","915","898.33333333333","28.662790435608","858","922","230509_4C_15"
"","http://www.moit.gov.pk/ProfileDetail/YmFhZmNkYWQtM2U4Mi00ZjRlLTlkNzAtM2EwYzIyYzZmYWY4","3","693","696","6.4807406984079","690","705","693","696","6.4807406984079","690","705","0","0","0","0","0","798","798.66666666667","5.7348835113618","792","806","0","0","0","0","0","0","0","0","0","0","693","696","6.4807406984079","690","705","798","798.66666666667","5.7348835113618","792","806","798","798.66666666667","5.7348835113618","792","806","798","798.66666666667","5.7348835113618","792","806","230509_9D_16"
"","http://www.moit.gov.pk/Overview","3","742","741.33333333333","28.581268146968","706","776","742","741.33333333333","28.581268146968","706","776","0","0","0","0","0","859","841.66666666667","30.346151137976","799","867","0","0","0","0","0","0","0","0","0","0","742","741.33333333333","28.581268146968","706","776","859","841.66666666667","30.346151137976","799","867","859","841.66666666667","30.346151137976","799","867","859","841.66666666667","30.346151137976","799","867","230509_6R_17"
"","http://www.moit.gov.pk/TopStoryDetail","3","726","732","28.890598240027","700","770","726","732","28.890598240027","700","770","0","0","0","0","0","841","837.33333333333","31.54185931249","797","874","0","0","0","0","0","0","0","0","0","0","726","732","28.890598240027","700","770","841","837.33333333333","31.54185931249","797","874","841","837.33333333333","31.54185931249","797","874","841","837.33333333333","31.54185931249","797","874","230509_70_18"
