"loadTime","docTime","fullyLoaded","bytesOut","bytesOutDoc","bytesIn","bytesInDoc","requests","requestsFull","requestsDoc","responses_200","responses_404","responses_other","result","testStartOffset","cached","optimization_checked","main_frame","connections","domInteractive","domContentLoadedEventStart","domContentLoadedEventEnd","renderBlockingCSS","renderBlockingJS","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","score_progressive_jpeg","gzip_total","gzip_savings","minify_total","minify_savings","image_total","image_savings","base_page_cdn","tester","start_epoch","osVersion","os_version","browserVersion","browser_version","date","URL","base_page_ip_ptr","base_page_cname","base_page_dns_server","browser_name","eventName","test_run_time_ms","testUrl","lastVisualChange","render","visualComplete85","visualComplete90","visualComplete95","visualComplete99","visualComplete","SpeedIndex","chromeUserTiming.navigationStart","chromeUserTiming.fetchStart","chromeUserTiming.domLoading","chromeUserTiming.responseEnd","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.domComplete","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.markAsMainFrame","chromeUserTiming.commitNavigationEnd","chromeUserTiming.TotalLayoutShift","chromeUserTiming.CumulativeLayoutShift","maxFID","TTIMeasurementEnd","LastInteractive","TotalBlockingTime","testID","run","step","TTFB","domTime","aft","titleTime","loadEventStart","loadEventEnd","domLoading","server_rtt","firstPaint","error","edge-processed","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id","cpu.ParseHTML","cpu.EventDispatch","cpu.MarkDOMContent","cpu.CommitLoad","cpu.EvaluateScript","cpu.v8.compile","cpu.UpdateLayoutTree","cpu.Layout","cpu.ResourceFetcher::requestResource","cpu.UpdateLayerTree","cpu.Paint","cpu.FunctionCall","cpu.MarkLoad","cpu.Idle","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","chromeUserTiming.LayoutShift","chromeUserTiming.firstPaint","chromeUserTiming.firstMeaningfulPaintCandidate","firstContentfulPaint","firstImagePaint","cpu.largestContentfulPaint::Candidate","LargestContentfulPaintType","LargestContentfulPaintNodeType","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstImagePaint","chromeUserTiming.LargestTextPaint","chromeUserTiming.LargestContentfulPaint",
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","FF6D96E2623280FC56A76C72A4BD5D60","0","697","697","699","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","topic-XPS-13-9350-10.130.144.38","1683658533.0001","","","92.0.4515.131","92.0.4515.131","1683658551.4139","https://www.ipc.gov.pk:443/","","","","android - chrome","Step_1","6572","https://www.ipc.gov.pk:443/","807","807","807","807","807","807","807","807","473","35","490","522","697","697","699","476","488","488","488","489","0","0","0","807","807","0","230509_P9_1V","1","1","0","0","0","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_P9_1V","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"770","770","770","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7860D372549B32FB9B139D0A11D90E5D","0","761","761","763","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","topic-XPS-13-9350-10.130.144.38","1683658559.0373","","","92.0.4515.131","92.0.4515.131","1683658576.3063","https://www.ipc.gov.pk:443/","","","","android - chrome","Step_1","6826","https://www.ipc.gov.pk:443/","864","864","864","864","864","864","864","864","524","37","545","577","761","761","763","770","543","543","543","544","0.049032600053008","0.049032600053008","0","864","864","0","230509_P9_1V","2","1","0","0","0","0","770","770","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_P9_1V","21","1","0","0","34","51","8","27","4","1","0","1","0","621","770","770","778","809","809","","","","","","","","","",
"774","774","774","0","0","0","0","0","0","0","0","0","0","0","0","0","1","EFA1D91A085292E8F75BB6ADA479901D","0","765","766","767","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","topic-XPS-13-9350-10.130.144.38","1683658584.3452","","","92.0.4515.131","92.0.4515.131","1683658601.9299","https://www.ipc.gov.pk:443/","","","","android - chrome","Step_1","6746","https://www.ipc.gov.pk:443/","871","871","871","871","871","871","871","871","552","43","569","603","765","766","767","774","567","567","568","569","0.049032600053008","0.049032600053008","0","871","871","0","230509_P9_1V","3","1","0","0","0","0","774","774","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_P9_1V","17","1","0","0","32","41","6","28","3","1","1","1","0","644","774","774","782","","","","","","","","","","","",
"776","776","776","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9B6E448BC75BB432DBC25BDF37E1586A","0","767","767","769","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","topic-XPS-13-9350-10.130.144.38","1683658610.8083","","","92.0.4515.131","92.0.4515.131","1683658628.1781","https://www.ipc.gov.pk:443/index","","","","android - chrome","Step_1","6750","https://www.ipc.gov.pk:443/index","892","892","892","892","892","892","892","892","529","35","555","590","767","767","769","776","551","551","552","554","0.049032600053008","0.049032600053008","0","892","892","0","230509_R4_1W","1","1","0","0","0","0","776","776","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_R4_1W","20","1","0","0","34","49","6","27","3","1","0","1","0","633","776","776","785","","","","","","","","","","","",
"738","738","738","0","0","0","0","0","0","0","0","0","0","0","0","0","1","A0DAEF915B4701F4BE57E2A0431069AA","0","729","729","731","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","topic-XPS-13-9350-10.130.144.38","1683658635.9927","","","92.0.4515.131","92.0.4515.131","1683658653.7817","https://www.ipc.gov.pk:443/index","","","","android - chrome","Step_1","7007","https://www.ipc.gov.pk:443/index","842","842","842","842","842","842","842","842","498","37","519","552","729","729","731","738","516","516","517","518","0","0","0","842","842","0","230509_R4_1W","2","1","0","0","0","0","738","738","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_R4_1W","20","1","0","0","34","50","6","27","4","1","0","1","0","595","738","738","","","","","","","","","","","","",
"719","719","719","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4AAE23CAC442353D8B9AC3D5C27AC1D7","0","711","711","713","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","topic-XPS-13-9350-10.130.144.38","1683658661.9414","","","92.0.4515.131","92.0.4515.131","1683658679.8459","https://www.ipc.gov.pk:443/index","","","","android - chrome","Step_1","6718","https://www.ipc.gov.pk:443/index","828","828","828","828","828","828","828","828","499","36","517","550","711","711","713","719","515","515","515","516","0.049032600053008","0.049032600053008","0","828","828","0","230509_R4_1W","3","1","0","0","0","0","719","719","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_R4_1W","17","0","0","0","32","41","7","27","3","1","1","1","0","589","719","719","727","","","","","","","","","","","",
"784","784","784","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5370971952773B0A127B4231F06FAA00","0","775","775","777","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","topic-XPS-13-9350-10.130.144.38","1683658688.7636","","","92.0.4515.131","92.0.4515.131","1683658706.1615","https://www.ipc.gov.pk:443/Detail/ZWVmY2Y0MmQtNjFmNC00ZTZkLTgzZGEtN2ZhZTAzYWQ5MjUz","","","","android - chrome","Step_1","7035","https://www.ipc.gov.pk:443/Detail/ZWVmY2Y0MmQtNjFmNC00ZTZkLTgzZGEtN2ZhZTAzYWQ5MjUz","891","891","891","891","891","891","891","891","526","36","550","585","775","775","777","784","547","547","548","550","0","0","0","891","891","0","230509_C5_1X","1","1","0","0","0","0","784","784","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_C5_1X","19","1","0","0","33","57","7","27","3","1","0","1","0","635","784","784","","","","","","","","","","","","",
"784","784","784","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0EE198025E21D6E8C0E62DCF2E942ADC","0","776","776","778","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","topic-XPS-13-9350-10.130.144.38","1683658714.4815","","","92.0.4515.131","92.0.4515.131","1683658732.3964","https://www.ipc.gov.pk:443/Detail/ZWVmY2Y0MmQtNjFmNC00ZTZkLTgzZGEtN2ZhZTAzYWQ5MjUz","","","","android - chrome","Step_1","6822","https://www.ipc.gov.pk:443/Detail/ZWVmY2Y0MmQtNjFmNC00ZTZkLTgzZGEtN2ZhZTAzYWQ5MjUz","889","889","889","889","889","889","889","889","532","41","555","587","776","776","778","784","553","553","553","554","0.049032600053008","0.049032600053008","0","889","889","0","230509_C5_1X","2","1","0","0","0","0","784","784","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_C5_1X","21","1","0","0","34","51","6","27","10","1","1","1","0","631","784","784","793","","","","","","","","","","","",
"762","762","762","0","0","0","0","0","0","0","0","0","0","0","0","0","1","323D4409A2CABD6A3D657EE0C0CFC935","0","754","754","756","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","topic-XPS-13-9350-10.130.144.38","1683658740.3396","","","92.0.4515.131","92.0.4515.131","1683658757.8301","https://www.ipc.gov.pk:443/Detail/ZWVmY2Y0MmQtNjFmNC00ZTZkLTgzZGEtN2ZhZTAzYWQ5MjUz","","","","android - chrome","Step_1","6816","https://www.ipc.gov.pk:443/Detail/ZWVmY2Y0MmQtNjFmNC00ZTZkLTgzZGEtN2ZhZTAzYWQ5MjUz","857","857","857","857","857","857","857","857","518","36","541","574","754","754","756","762","538","538","539","540","0","0","0","857","857","0","230509_C5_1X","3","1","0","0","0","0","762","763","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_C5_1X","21","0","0","0","35","51","7","27","4","1","1","1","0","615","762","763","","","","","","","","","","","","",
"763","763","763","0","0","0","0","0","0","0","0","0","0","0","0","0","1","272F406EAC0EBACF9B0C160DF3132A76","0","714","714","716","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","topic-XPS-13-9350-10.130.144.38","1683658766.9127","","","92.0.4515.131","92.0.4515.131","1683658785.4061","https://www.ipc.gov.pk:443/Detail/ZDAzNTQwZjgtNTgzMi00ODAxLThjYmUtZGI2Y2UzYzcwM2E2","","","","android - chrome","Step_1","6806","https://www.ipc.gov.pk:443/Detail/ZDAzNTQwZjgtNTgzMi00ODAxLThjYmUtZGI2Y2UzYzcwM2E2","875","875","875","875","875","875","875","875","528","40","547","582","714","714","716","762","545","545","546","547","0","0","0","875","875","0","230509_N5_1Y","1","1","0","0","0","0","763","763","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_N5_1Y","18","1","0","0","34","47","6","32","4","1","1","2","0","618","763","763","","","","","","","","","","","","",
