"loadTime","docTime","fullyLoaded","bytesOut","bytesOutDoc","bytesIn","bytesInDoc","requests","requestsFull","requestsDoc","responses_200","responses_404","responses_other","result","testStartOffset","cached","optimization_checked","main_frame","connections","domInteractive","domContentLoadedEventStart","domContentLoadedEventEnd","loadEventStart","loadEventEnd","renderBlockingCSS","renderBlockingJS","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","score_progressive_jpeg","gzip_total","gzip_savings","minify_total","minify_savings","image_total","image_savings","base_page_cdn","cpu.ParseHTML","cpu.EventDispatch","cpu.MarkDOMContent","cpu.CommitLoad","cpu.EvaluateScript","cpu.v8.compile","cpu.UpdateLayoutTree","cpu.Layout","cpu.ResourceFetcher::requestResource","cpu.UpdateLayerTree","cpu.Paint","cpu.FunctionCall","cpu.MarkLoad","cpu.Idle","tester","start_epoch","osVersion","os_version","browserVersion","browser_version","date","URL","base_page_ip_ptr","base_page_cname","base_page_dns_server","browser_name","eventName","test_run_time_ms","testUrl","lastVisualChange","render","visualComplete85","visualComplete90","visualComplete95","visualComplete99","visualComplete","SpeedIndex","chromeUserTiming.navigationStart","chromeUserTiming.fetchStart","chromeUserTiming.domLoading","chromeUserTiming.responseEnd","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.domComplete","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.markAsMainFrame","chromeUserTiming.commitNavigationEnd","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","chromeUserTiming.LayoutShift","chromeUserTiming.TotalLayoutShift","chromeUserTiming.CumulativeLayoutShift","maxFID","TTIMeasurementEnd","LastInteractive","TotalBlockingTime","testID","run","step","TTFB","domTime","aft","titleTime","domLoading","server_rtt","firstPaint","error","edge-processed","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.video","requests.video","bytesUncompressed.video","bytes.other","requests.other","bytesUncompressed.other","id","firstContentfulPaint","firstImagePaint","cpu.largestContentfulPaint::Candidate","LargestContentfulPaintType","LargestContentfulPaintNodeType","chromeUserTiming.firstPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstImagePaint","chromeUserTiming.firstMeaningfulPaintCandidate","chromeUserTiming.LargestTextPaint","chromeUserTiming.LargestContentfulPaint",
"2705","2705","2705","0","0","0","0","0","0","0","0","0","0","0","0","0","1","833243DDE453DF5860D3BBF9A7EAAADD","0","2697","2697","2699","2705","2705","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","22","0","0","0","30","52","6","594","4","1","1","1","0","1993","topic-XPS-13-9350-10.130.144.38","1683628130.002","","","92.0.4515.131","92.0.4515.131","1683628238.3","https://www.moip.gov.pk:443/wingssection.aspx","","","","android - chrome","Step_1","8603","https://www.moip.gov.pk:443/wingssection.aspx","2811","105","2811","2811","2811","2811","2811","2434","1867","42","1893","1928","2697","2697","2699","2705","1890","1890","1891","1893","2705","2705","2713","0.0070709174207716","0.0070709174207716","543","2718","2631","568","230509_77_3","1","1","0","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_77_3","","","","","","","","","","","",
"1632","1632","1632","0","0","0","0","0","0","0","0","0","0","0","0","0","1","146318AEF8AFD688267F9D396E081CA6","0","1623","1624","1625","1632","1632","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","10","0","0","0","25","25","3","1","2","0","0","1","0","1563","topic-XPS-13-9350-10.130.144.38","1683628248.9038","","","92.0.4515.131","92.0.4515.131","1683628266.7506","https://www.moip.gov.pk:443/wingssection.aspx","","","","android - chrome","Step_1","7699","https://www.moip.gov.pk:443/wingssection.aspx","1748","1748","1748","1748","1748","1748","1748","1748","1515","43","1527","1546","1623","1624","1625","1631","1525","1525","1526","1526","1632","1632","","0","0","0","1748","1748","0","230509_77_3","2","1","0","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_77_3","1697","1697","0","text","H1","1696","1696","1696","1696","1697","1697",
"1879","1879","1879","0","0","0","0","0","0","0","0","0","0","0","0","0","1","BFC33238CBB966EC8D8DE06172CDF09A","0","1869","1869","1872","1879","1879","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","20","1","0","0","38","51","6","27","4","1","1","2","0","1729","topic-XPS-13-9350-10.130.144.38","1683628275.5526","","","92.0.4515.131","92.0.4515.131","1683628292.1478","https://www.moip.gov.pk:443/wingssection.aspx","","","","android - chrome","Step_1","7839","https://www.moip.gov.pk:443/wingssection.aspx","1930","1930","1930","1930","1930","1930","1930","1930","1631","43","1654","1687","1869","1869","1872","1879","1651","1651","1652","1653","1879","1879","","0","0","0","1930","1930","0","230509_77_3","3","1","0","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_77_3","","","","","","","","","","","",
"1801","1801","1801","0","0","0","0","0","0","0","0","0","0","0","0","0","1","FFD729BC87F8B3223EC50ADE119E52A1","0","1793","1793","1795","1801","1801","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","16","0","0","0","30","39","6","28","3","1","0","1","0","1675","topic-XPS-13-9350-10.130.144.38","1683628301.044","","","92.0.4515.131","92.0.4515.131","1683628318.5233","https://www.moip.gov.pk:443/policiesDetails.aspx","","","","android - chrome","Step_1","7871","https://www.moip.gov.pk:443/policiesDetails.aspx","1883","1883","1883","1883","1883","1883","1883","1883","1586","35","1603","1633","1793","1793","1795","1801","1601","1601","1602","1603","1801","1801","1809","0.0070709174207716","0.0070709174207716","0","1883","1883","0","230509_NM_4","1","1","0","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_NM_4","","","","","","","","","","","",
"2103","2103","2103","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0A248CD4B2B90B8500081A5DB5D4BDB2","0","2096","2096","2098","2103","2103","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","13","0","0","0","25","43","6","29","4","1","1","1","0","1980","topic-XPS-13-9350-10.130.144.38","1683628328.5034","","","92.0.4515.131","92.0.4515.131","1683628346.4207","https://www.moip.gov.pk:443/policiesDetails.aspx","","","","android - chrome","Step_1","7843","https://www.moip.gov.pk:443/policiesDetails.aspx","2177","2177","2177","2177","2177","2177","2177","2177","1876","60","1895","1928","2096","2096","2098","2103","1893","1893","1894","1895","2103","2103","2111","0.0070709174207716","0.0070709174207716","0","2177","2177","0","230509_NM_4","2","1","0","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_NM_4","","","","","","","","","","","",
"1827","1827","1827","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8F455F5D5DEF527DE88780BA03550B17","0","1819","1819","1821","1827","1827","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","16","1","0","0","30","40","6","28","3","1","0","1","0","1701","topic-XPS-13-9350-10.130.144.38","1683628355.3016","","","92.0.4515.131","92.0.4515.131","1683628372.4225","https://www.moip.gov.pk:443/policiesDetails.aspx","","","","android - chrome","Step_1","7826","https://www.moip.gov.pk:443/policiesDetails.aspx","1930","1930","1930","1930","1930","1930","1930","1930","1604","37","1622","1655","1819","1819","1821","1827","1620","1620","1621","1622","1827","1827","1835","0.0070709174207716","0.0070709174207716","0","1930","1930","0","230509_NM_4","3","1","0","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_NM_4","","","","","","","","","","","",
"1779","1779","1779","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4A60C73AF99CEFA7E6EED9014D1B7104","0","1736","1736","1738","1779","1779","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","16","0","0","0","36","51","4","29","3","1","1","2","0","1636","topic-XPS-13-9350-10.130.144.38","1683628381.3407","","","92.0.4515.131","92.0.4515.131","1683628397.7799","https://www.moip.gov.pk:443/pubDetails.aspx","","","","android - chrome","Step_1","8014","https://www.moip.gov.pk:443/pubDetails.aspx","1833","1833","1833","1833","1833","1833","1833","1833","1544","42","1561","1593","1736","1736","1738","1779","1559","1559","1560","1561","1779","1779","","0","0","0","1857","1833","0","230509_3X_5","1","1","0","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_3X_5","1833","1833","0","text","H1","1832","1832","1832","1832","1833","1833",
"1835","1835","1835","0","0","0","0","0","0","0","0","0","0","0","0","0","1","36378F1AC10EFFDB1A92B31BF5813FE4","0","1827","1827","1829","1835","1835","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","23","1","0","0","33","51","6","27","4","1","1","1","0","1687","topic-XPS-13-9350-10.130.144.38","1683628407.8478","","","92.0.4515.131","92.0.4515.131","1683628424.5148","https://www.moip.gov.pk:443/pubDetails.aspx","","","","android - chrome","Step_1","7795","https://www.moip.gov.pk:443/pubDetails.aspx","1918","1918","1918","1918","1918","1918","1918","1918","1583","35","1605","1638","1827","1827","1829","1835","1602","1602","1603","1604","1835","1835","1843","0.0070709174207716","0.0070709174207716","0","1918","1918","0","230509_3X_5","2","1","0","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_3X_5","","","","","","","","","","","",
"1705","1705","1705","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9B45DF26162A75153B7EB6E5B1AABBC0","0","1645","1646","1647","1705","1705","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","16","1","0","0","35","40","5","31","3","1","1","2","0","1570","topic-XPS-13-9350-10.130.144.38","1683628433.3821","","","92.0.4515.131","92.0.4515.131","1683628450.0637","https://www.moip.gov.pk:443/pubDetails.aspx","","","","android - chrome","Step_1","7714","https://www.moip.gov.pk:443/pubDetails.aspx","1819","1819","1819","1819","1819","1819","1819","1819","1480","30","1498","1530","1645","1646","1647","1704","1496","1496","1496","1497","1705","1705","","0","0","0","1819","1819","0","230509_3X_5","3","1","0","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_3X_5","1751","","","","","1750","1750","","","","",
"1800","1800","1800","0","0","0","0","0","0","0","0","0","0","0","0","0","1","347F28C318EEC29A3CBB6D8A4353F0FC","0","1792","1793","1794","1800","1800","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","","22","1","0","0","33","52","7","28","4","1","1","1","0","1650","topic-XPS-13-9350-10.130.144.38","1683628458.8303","","","92.0.4515.131","92.0.4515.131","1683628475.004","https://www.moip.gov.pk:443/newsDetails.aspx","","","","android - chrome","Step_1","7740","https://www.moip.gov.pk:443/newsDetails.aspx","1856","1856","1856","1856","1856","1856","1856","1856","1548","36","1573","1607","1792","1793","1794","1800","1570","1570","1571","1572","1800","1800","1808","0.0070709174207716","0.0070709174207716","0","1856","1856","0","230509_GQ_6","1","1","0","0","0","0","0","0","0","Unhandled exception running test: '>=' not supported between instances of 'NoneType' and 'float'","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","230509_GQ_6","","","","","","","","","","","",
