"type","id","request_id","ip_addr","full_url","is_secure","method","host","url","raw_id","frame_id","documentURL","responseCode","request_type","load_ms","ttfb_ms","load_start","load_start_float","bytesIn","objectSize","objectSizeUncompressed","expires","cacheControl","contentType","contentEncoding","socket","protocol","dns_start","dns_end","connect_start","connect_end","ssl_start","ssl_end","initiator","initiator_line","initiator_column","initiator_type","priority","initial_priority","server_rtt","bytesOut","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","dns_ms","connect_ms","ssl_ms","gzip_total","gzip_save","minify_total","minify_save","image_total","image_save","cache_time","cdn_provider","server_count","created","tls_version","tls_resumed","tls_next_proto","tls_cipher_suite","server_port","final_base_page","is_base_page","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","cpu.EvaluateScript","cpu.v8.compile","cpuTime","run","cached","renderBlocking","cpu.FunctionCall","http2_stream_id","http2_stream_dependency","http2_stream_weight","http2_stream_exclusive","jpeg_scan_count","score_progressive_jpeg","initiator_function","http2_server_settings",
"3","230510_VH_2","1B5BC8125E877F8F738C8FA8930F20A5","127.0.0.1","https://nhsrc.gov.pk/","1","GET","nhsrc.gov.pk","/","1B5BC8125E877F8F738C8FA8930F20A5","02BA7FD26FEDD3F9D21401547A04EC65","https://nhsrc.gov.pk/","200","Document","5267","5251","1828","1828.152","88328","88328","88328","","private","text/html","","25","http/1.1","0","0","52","55","55","1826","","","","script","Highest","Highest","","2080","-1","-1","14","-1","100","-1","-1","-1","-1","-1","3","1771","88328","75542","","","","","","","","60","TLS 1.3","False","http/1.1","4865","8081","1","1","7095","1828","7079","7079","7095","16","52","7095","7041","0","1","2","2","4","1","0","","","","","","","","","","",
"3","230510_VH_2","1128.4","127.0.0.1","https://nhsrc.gov.pk/css/bootstrap.min.css","1","GET","nhsrc.gov.pk","/css/bootstrap.min.css","1128.4","02BA7FD26FEDD3F9D21401547A04EC65","https://nhsrc.gov.pk/","200","Stylesheet","895","862","7293","7293.177","121232","121232","121232","","","text/css","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://nhsrc.gov.pk/","90","","parser","Highest","Highest","","2260","0","0","16","-1","100","-1","-1","-1","-1","-1","-1","-1","121232","101601","","","","","0","","","7283","","","","","8081","","","8188","7293","8155","8155","8188","33","7293","8188","895","1","2","","","","1","0","blocking","","","","","","","","","",
"3","230510_VH_2","1128.5","127.0.0.1","https://nhsrc.gov.pk/css/jquery-ui.min.css","1","GET","nhsrc.gov.pk","/css/jquery-ui.min.css","1128.5","02BA7FD26FEDD3F9D21401547A04EC65","https://nhsrc.gov.pk/","200","Stylesheet","1285","1274","7300","7299.554","29279","29279","29279","","","text/css","","30","http/1.1","-1","-1","1268","1269","1269","2640","https://nhsrc.gov.pk/","91","","parser","Highest","Highest","","2260","0","0","24","-1","100","-1","-1","-1","-1","-1","1","1371","29279","22067","","","","","0","","","7290","TLS 1.3","False","http/1.1","4865","8081","","","8585","7300","8574","8574","8585","11","1268","8585","2657","2","3","","","","1","0","blocking","","","","","","","","","",
"3","230510_VH_2","1128.6","127.0.0.1","https://nhsrc.gov.pk/css/animate.css","1","GET","nhsrc.gov.pk","/css/animate.css","1128.6","02BA7FD26FEDD3F9D21401547A04EC65","https://nhsrc.gov.pk/","200","Stylesheet","1724","1706","7384","7384.072","88597","88597","88597","","","text/css","","44","http/1.1","-1","-1","7311","7314","7315","7328","https://nhsrc.gov.pk/","92","","parser","Highest","Highest","","2242","0","0","7","-1","100","-1","-1","-1","-1","-1","3","13","88597","82142","","","","","0","","","7298","TLS 1.3","True","http/1.1","4865","8081","","","9108","7384","9090","9090","9108","18","7311","9108","1740","3","4","","","","1","0","blocking","","","","","","","","","",
"3","230510_VH_2","1128.7","127.0.0.1","https://nhsrc.gov.pk/css/css-plugin-collections.css","1","GET","nhsrc.gov.pk","/css/css-plugin-collections.css","1128.7","02BA7FD26FEDD3F9D21401547A04EC65","https://nhsrc.gov.pk/","200","Stylesheet","3340","3159","7392","7391.801","285727","285727","285727","","","text/css","","50","http/1.1","-1","-1","7331","7332","7333","7341","https://nhsrc.gov.pk/","93","","parser","Highest","Highest","","2287","0","0","13","-1","100","-1","-1","-1","-1","-1","1","8","285727","245870","","","","","0","","","7318","TLS 1.3","True","http/1.1","4865","8081","","","10732","7392","10551","10551","10732","181","7331","10732","3349","4","5","","","","1","0","blocking","","","","","","","","","",
"3","230510_VH_2","1128.8","127.0.0.1","https://nhsrc.gov.pk/css/menuzord-skins/menuzord-rounded-boxed.css","1","GET","nhsrc.gov.pk","/css/menuzord-skins/menuzord-rounded-boxed.css","1128.8","02BA7FD26FEDD3F9D21401547A04EC65","https://nhsrc.gov.pk/","200","Stylesheet","1586","1579","7396","7396.377","2501","2501","2501","","","text/css","","66","http/1.1","-1","-1","7356","7358","7358","7365","https://nhsrc.gov.pk/","95","","parser","Highest","Highest","","2332","0","0","24","-1","100","-1","-1","-1","-1","-1","2","7","2501","1880","","","","","0","","","7337","TLS 1.3","True","http/1.1","4865","8081","","","8982","7396","8975","8975","8982","7","7356","8982","1595","5","6","","","","1","0","blocking","","","","","","","","","",
"3","230510_VH_2","1128.9","127.0.0.1","https://nhsrc.gov.pk/css/style-main.css","1","GET","nhsrc.gov.pk","/css/style-main.css","1128.9","02BA7FD26FEDD3F9D21401547A04EC65","https://nhsrc.gov.pk/","200","Stylesheet","3360","3322","7397","7397.278","187983","187983","187983","","","text/css","","84","http/1.1","-1","-1","7372","7373","7373","7378","https://nhsrc.gov.pk/","97","","parser","Highest","Highest","","2251","0","0","15","-1","100","-1","-1","-1","-1","-1","1","5","187983","158458","","","","","0","","","7342","TLS 1.3","True","http/1.1","4865","8081","","","10757","7397","10719","10719","10757","38","7372","10757","3366","6","7","","","","1","0","blocking","","","","","","","","","",
"3","230510_VH_2","1128.10","127.0.0.1","https://nhsrc.gov.pk/css/colors/theme-skin-color-set-1.css","1","GET","nhsrc.gov.pk","/css/colors/theme-skin-color-set-1.css","1128.10","02BA7FD26FEDD3F9D21401547A04EC65","https://nhsrc.gov.pk/","200","Stylesheet","1315","1306","8194","8194.226","39054","39054","39054","","","text/css","","25","http/1.1","-1","-1","-1","-1","-1","-1","https://nhsrc.gov.pk/","99","","parser","Highest","Highest","","2308","0","0","11","-1","100","-1","-1","-1","-1","-1","-1","-1","39054","34413","","","","","0","","","7346","","","","","8081","","","9509","8194","9500","9500","9509","9","8194","9509","1315","7","8","","","","1","0","blocking","","","","","","","","","",
"3","230510_VH_2","1128.11","127.0.0.1","https://nhsrc.gov.pk/css/custom-bootstrap-margin-padding.css","1","GET","nhsrc.gov.pk","/css/custom-bootstrap-margin-padding.css","1128.11","02BA7FD26FEDD3F9D21401547A04EC65","https://nhsrc.gov.pk/","200","Stylesheet","1645","1628","8590","8589.573","64598","64598","64598","","","text/css","","30","http/1.1","-1","-1","-1","-1","-1","-1","https://nhsrc.gov.pk/","101","","parser","Highest","Highest","","2314","0","0","10","-1","100","-1","-1","-1","-1","-1","-1","-1","64598","57760","","","","","0","","","7349","","","","","8081","","","10235","8590","10218","10218","10235","17","8590","10235","1645","8","9","","","","1","0","blocking","","","","","","","","","",
"3","230510_VH_2","1128.12","127.0.0.1","https://nhsrc.gov.pk/css/responsive.css","1","GET","nhsrc.gov.pk","/css/responsive.css","1128.12","02BA7FD26FEDD3F9D21401547A04EC65","https://nhsrc.gov.pk/","200","Stylesheet","453","426","8986","8986.402","8208","8208","8208","","","text/css","","66","http/1.1","-1","-1","-1","-1","-1","-1","https://nhsrc.gov.pk/","103","","parser","Highest","Highest","","2251","0","0","25","-1","100","-1","-1","-1","-1","-1","-1","-1","8208","6121","","","","","0","","","7351","","","","","8081","","","9439","8986","9412","9412","9439","27","8986","9439","453","9","10","","","","1","0","blocking","","","","","","","","","",
